Name,AttachLocator,AttachToParent,Beam,CameraShake,CameraShakeInReplay,CameraShakeTimeMS,DestroyWhenParentDies,DetachAfterStart,EmitterDelayMs,IsoLayer,Looping,LowEndMaxPitch,LowEndMinPitch,LowEndSound,LowEndVolume,MaxCount,MaxPitch,MinLifeTime,MinPitch,OffsetFromGunBone,OrientToParent,ParticleEmitter,PitchIncrease,SWF,SortInFrontOfParent,Sound,SoundDelay,StopSound,Targeted,Volume,ExportName,AltParticleEmitter
,,,,,,,,,,,,,,,,,110,,90,,,,,,,sfx/arrow_hit_07v2.ogg,,,,50,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,sfx/arrow_hit_07v3.ogg,,,,50,,
Archer Deploy,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Objects,FALSE,100,100,sfx/gob_attack_01.ogg,40,0,100,0,100,FALSE,FALSE,Deploy,0,,FALSE,sfx/archer_deploy_09.ogg,0,FALSE,FALSE,70,,
,,,,,,,,,,,,,,,,,100,,100,,,,,,,sfx/archer_deploy_09v2.ogg,,,,70,,
,,,,,,,,,,,,,,,,,100,,100,,,,,,,sfx/archer_deploy_09v3.ogg,,,,70,,
Archer Die,,TRUE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,105,95,sfx/archer_death_05.ogg,40,0,105,0,95,FALSE,FALSE,Splat,0,,FALSE,sfx/archer_death_05.ogg,0,FALSE,FALSE,30,,
,,,,,,,,,,,,,,,,,105,,95,,,,,,,sfx/archer_death_05v2.ogg,,,,30,,
Archer Hit,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Objects,FALSE,110,90,sfx/arrow_hit_12.ogg,60,0,110,0,90,FALSE,FALSE,Hit,0,,FALSE,sfx/arrow_hit_12.ogg,0,FALSE,FALSE,50,,
Archer Queen Deploy,,FALSE,FALSE,10,TRUE,100,FALSE,FALSE,,Objects,FALSE,100,100,sfx/archer_queen_deploy_01.ogg,90,0,100,0,100,FALSE,FALSE,,0,,FALSE,sfx/archer_queen_deploy_01.ogg,0,FALSE,FALSE,90,,
Archer Queen Die,,FALSE,FALSE,100,TRUE,1000,FALSE,FALSE,0,Top,FALSE,100,100,sfx/archer_queen_die_01.ogg,80,0,100,0,100,FALSE,FALSE,Mortar_lightFlash,0,,FALSE,sfx/archer_queen_die_01.ogg,0,FALSE,FALSE,80,,
,,,,,,,,,0,,,,,,,,,,,,,Ring,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Place,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,MortarHit_lvl6,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,hero_die_force,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Grass,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Grass,,,,,,,,,,
Archer Queen Hit,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Objects,FALSE,120,120,sfx/mage_attack_02.ogg,50,0,100,0,100,FALSE,FALSE,hero_arrow_trail1,0,,FALSE,sfx/explosive_arrow_01v2.ogg,0,FALSE,FALSE,65,,
,,,,,,,,,0,,,,,,,,,,,,,hero_hit2,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,hero_hit3,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,hero_hit4,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Arrow_Tower_lightFlash,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,xmas_fun2,,,,,,,,,,
Archer Queen Scream,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,None,FALSE,100,100,,100,0,,0,,FALSE,FALSE,,0,,FALSE,,0,FALSE,FALSE,,,
Archer2 Attack,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,None,FALSE,110,90,sfx/arrow_hit_07.ogg,50,0,102,0,98,FALSE,FALSE,,0,,FALSE,sfx/new_archer_atk_01.ogg,0,FALSE,FALSE,50,,
,,,,,,,,,,,,,,,,,102,,98,,,,,,,sfx/new_archer_atk_02.ogg,,,,50,,
,,,,,,,,,,,,,,,,,102,,98,,,,,,,sfx/new_archer_atk_03.ogg,,,,50,,
Archer2 Deploy,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Objects,FALSE,100,100,sfx/gob_attack_01.ogg,40,0,102,0,98,FALSE,FALSE,Deploy,0,,FALSE,sfx/crowwbow_archer_01.ogg,0,FALSE,FALSE,70,,
,,,,,,,,,,,,,,,,,102,,98,,,,,,,sfx/crowwbow_archer_02.ogg,,,,70,,
Archer2 Die,,TRUE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,105,95,sfx/archer_death_05.ogg,40,0,105,0,95,FALSE,FALSE,Splat,0,,FALSE,sfx/archer_death_05.ogg,0,FALSE,FALSE,30,,
,,,,,,,,,,,,,,,,,105,,95,,,,,,,sfx/archer_death_05v2.ogg,,,,30,,
Archer2 Hit,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Objects,FALSE,110,90,sfx/arrow_hit_12.ogg,60,0,110,0,90,FALSE,FALSE,Hit,0,,FALSE,sfx/new_archer_impact_01.ogg,0,FALSE,FALSE,40,,
ArcherQueen Attack,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,105,95,sfx/archer_queen_attack_02.ogg,80,0,105,0,95,FALSE,FALSE,ArcherQueen_attack,0,,FALSE,sfx/archer_queen_attack_02.ogg,0,FALSE,FALSE,80,,
,,,,,,,,,,,,,,,,,105,,95,,,,,,,sfx/archer_queen_attack_01.ogg,,,,80,,
,,,,,,,,,,,,,,,,,105,,95,,,,,,,sfx/archer_queen_attack_01.ogg,,,,80,,
Artillery Attack,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,None,FALSE,105,95,sfx/mortar_fire_02_with_fall.ogg,70,0,105,0,95,FALSE,FALSE,,0,,FALSE,sfx/ancient_fire_02.ogg,0,FALSE,FALSE,85,,
Artillery Hit,,TRUE,FALSE,60,TRUE,700,FALSE,FALSE,0,Objects,FALSE,105,95,sfx/mortar_hit_01.ogg,80,0,105,0,95,FALSE,FALSE,Explosion_flash,0,,FALSE,sfx/mortar_hit_01.ogg,0,FALSE,FALSE,80,,
,,,,,,,,,0,,,,,,,,,,,,,Fire_explosion,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Fire_balls,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Stone_explosion,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,ArtilleryHit_mushcloud,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,ArtilleryHit_spark,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,ArtilleryHit_dustring,,,,,,,,,,
Artillery Load,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,80,75,sfx/mage_attack_02.ogg,80,0,100,0,100,FALSE,FALSE,Smoke,0,,FALSE,sfx/mech_eagle_reload_01.ogg,0,FALSE,FALSE,80,,
Artillery No Ammo,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,80,70,sfx/bad_move_06.ogg,80,0,100,0,100,FALSE,FALSE,Dust2,0,,FALSE,sfx/mech_eagle_sad_no_ammo_01.ogg,0,FALSE,FALSE,80,,
Artillery Placing,,TRUE,FALSE,0,FALSE,0,FALSE,FALSE,0,Objects,FALSE,100,100,sfx/cannon_drop2.ogg,60,0,100,0,100,FALSE,FALSE,Place,0,,FALSE,sfx/ancient_place_mecha_eagle_01.ogg,0,FALSE,FALSE,80,,
,,,,,,,,,0,,,,,,,,,,,,,Grass,,,,,,,,,,
Artillery PreAttack,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,None,FALSE,105,95,,70,0,105,0,95,FALSE,FALSE,,0,,FALSE,sfx/ancient_target_02.ogg,0,FALSE,FALSE,80,,
Artillery Trail,,TRUE,FALSE,0,FALSE,0,FALSE,FALSE,0,Objects,TRUE,100,100,,100,6,,0,,FALSE,FALSE,doom_trail_emitter,0,,FALSE,,0,FALSE,FALSE,,,
Artillery WakeUp 1,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,None,FALSE,100,100,sfx/ancient_defcon_1.ogg,60,0,100,0,100,FALSE,FALSE,,0,,FALSE,sfx/ancient_defcon_1.ogg,0,FALSE,FALSE,90,,
Artillery WakeUp 2,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,None,FALSE,100,100,sfx/ancient_defcon_4.ogg,70,0,100,0,100,FALSE,FALSE,,0,,FALSE,sfx/ancient_defcon_2.ogg,0,FALSE,FALSE,80,,
Artillery WakeUp 3,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,None,FALSE,100,100,sfx/ancient_defcon_4.ogg,80,0,100,0,100,FALSE,FALSE,,0,,FALSE,sfx/ancient_defcon_3.ogg,0,FALSE,FALSE,70,,
Artillery WakeUp 4,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,None,FALSE,100,100,sfx/ancient_defcon_4.ogg,90,0,100,0,100,FALSE,FALSE,,0,,FALSE,sfx/ancient_defcon_4.ogg,0,FALSE,FALSE,60,,
Autumn Spawn Effect,,TRUE,FALSE,0,FALSE,0,FALSE,FALSE,60,Objects,FALSE,100,100,,100,0,,0,,FALSE,FALSE,hero_autumn_lightray,0,,FALSE,,0,FALSE,FALSE,,,
,,,,,,,,,0,,,,,,,,,,,,,hero_autumn_leaf_02,,,,,,,,,,
,,,,,,,,,300,,,,,,,,,,,,,hero_autumn_leaf_03,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,hero_autumn_leaf_04,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,hero_autumn_leaf_01,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,hero_autumn_leaf_burts,,,,,,,,,,
Balloon Exposion,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Objects,FALSE,120,110,sfx/mortar_hit_01.ogg,50,8,105,0,85,FALSE,FALSE,Stone,0,,FALSE,sfx/cannon_fire3.ogg,0,FALSE,FALSE,60,,
,,,,,,,,,0,,,,,,,,,,,,,Grass,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Ring,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Wizard_Tower_lightFlash,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Explosion_3,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Fire_balls,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Smoke,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Balloon_Die_wood,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Balloon_Die_bloon,,,,,,,,,,
Balloon Goblin Attack,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,None,FALSE,150,150,sfx/mortar_hit_01.ogg,40,0,110,0,90,FALSE,FALSE,,0,,FALSE,sfx/cannon_fire3.ogg,0,FALSE,FALSE,70,,
Balloon Goblin Deploy,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,None,FALSE,80,80,sfx/gob_attack_01.ogg,40,0,100,0,100,FALSE,FALSE,,0,,FALSE,sfx/balloon_deploy_02.ogg,0,FALSE,FALSE,80,,
Balloon Goblin Die,,TRUE,FALSE,0,FALSE,0,FALSE,FALSE,,Top,FALSE,75,60,sfx/mage_attack_02.ogg,70,0,105,0,95,FALSE,FALSE,,0,,FALSE,sfx/balloon_die_01.ogg,0,FALSE,FALSE,80,,
Balloon Goblin Hit,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,105,95,sfx/balloon_hit_01.ogg,70,0,105,0,95,FALSE,FALSE,Wizard_Tower_lightFlash,0,,FALSE,sfx/balloon_hit_01.ogg,0,FALSE,FALSE,80,,
,,,,,,,,,0,,,,,,,,,,,,,Ring,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Grass,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Stone,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Explosion_3,,,,,,,,,,
Balloon Skeleton Deploy,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Ground,FALSE,70,60,sfx/healer_hit_01.ogg,40,0,105,0,95,FALSE,FALSE,Deploy,0,,FALSE,sfx/upfromground_05.ogg,0,FALSE,FALSE,70,,
,,,,,,,,,0,,,,,,,,,,,,,Spawn_Smoke_ring,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Spawn_Dust,,,,,,,,,,
Barbarian Attack,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,None,FALSE,110,90,sfx/barbarian_sword_swing_hit_14.ogg,40,0,110,0,90,FALSE,FALSE,,0,,FALSE,sfx/barbarian_sword_swing_hit_14.ogg,0,FALSE,FALSE,40,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,sfx/barbarian_sword_swing_hit_14v3.ogg,,,,40,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,sfx/barbarian_sword_swing_hit_14v2.ogg,,,,40,,
Barbarian Deploy,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Objects,FALSE,100,100,sfx/gob_attack_01.ogg,40,0,100,0,100,FALSE,FALSE,Deploy,0,,FALSE,sfx/barb_deploy_11.ogg,0,FALSE,FALSE,40,,
,,,,,,,,,,,,,,,,,100,,100,,,,,,,sfx/barb_deploy_11v2.ogg,,,,40,,
,,,,,,,,,,,,,,,,,100,,100,,,,,,,sfx/barb_deploy_11v3.ogg,,,,40,,
Barbarian Die,,TRUE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,110,90,sfx/barbarian_death_01.ogg,50,0,110,0,90,FALSE,FALSE,Splat,0,,FALSE,sfx/barbarian_death_01.ogg,0,FALSE,FALSE,50,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,sfx/barbarian_death_02.ogg,,,,50,,
Barbarian Hit,,TRUE,FALSE,0,FALSE,0,FALSE,FALSE,0,Objects,FALSE,110,90,sfx/barbarian_hit_stuff2.ogg,40,0,110,0,90,FALSE,FALSE,Hit,0,,FALSE,sfx/barbarian_hit_stuff2.ogg,0,FALSE,FALSE,40,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,sfx/barbarian_hit_stuff3.ogg,,,,35,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,sfx/barbarian_hit_stuff4.ogg,,,,30,,
Barbarian King Attack,,TRUE,FALSE,0,FALSE,0,FALSE,FALSE,0,Objects,FALSE,130,75,sfx/barbarian_king_attack_01.ogg,60,0,130,0,75,FALSE,FALSE,Hit,0,,FALSE,sfx/barbarian_king_attack_01.ogg,0,FALSE,FALSE,60,,
Barbarian King Deploy,,FALSE,FALSE,20,TRUE,200,FALSE,FALSE,,Objects,FALSE,100,100,sfx/barbarian_king_deploy.ogg,90,0,100,0,100,FALSE,FALSE,,0,,FALSE,sfx/barbarian_king_deploy.ogg,0,FALSE,FALSE,90,,
Barbarian King Die,,FALSE,FALSE,100,TRUE,1000,FALSE,FALSE,0,Top,FALSE,100,100,sfx/barbarian_king_die_01.ogg,90,0,100,0,100,FALSE,FALSE,Mortar_lightFlash,0,,FALSE,sfx/barbarian_king_die_01.ogg,0,FALSE,FALSE,90,,
,,,,,,,,,0,,,,,,,,,,,,,Ring,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Place,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,MortarHit_lvl6,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,hero_die_force,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Force,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Grass,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Smoke,,,,,,,,,,
Barbarian King Hit,,TRUE,FALSE,0,FALSE,0,FALSE,FALSE,0,Objects,FALSE,65,55,sfx/barbarian_hit_stuff.ogg,50,0,65,0,55,FALSE,FALSE,Arrow_Tower_lightFlash,0,,FALSE,sfx/barbarian_hit_stuff4.ogg,0,FALSE,FALSE,70,,
,,,,,,,,,0,,,,,,,,,,,,,hero_hit2,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,hero_hit3,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,hero_hit4,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,Deploy,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,hero_hit1,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,hero_hit5,,,,,,,,,,
Barbarian King Scream,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,None,FALSE,100,100,,100,0,,0,,FALSE,FALSE,,0,,FALSE,,0,FALSE,FALSE,,,
Barbarian2 Attack,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,,None,FALSE,110,90,sfx/barbarian_sword_swing_hit_14.ogg,40,0,110,0,90,FALSE,FALSE,,0,,FALSE,sfx/barbarian_sword_swing_hit_14.ogg,0,FALSE,FALSE,40,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,sfx/barbarian_sword_swing_hit_14v3.ogg,,,,40,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,sfx/barbarian_sword_swing_hit_14v2.ogg,,,,40,,
Barbarian2 Deploy,,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,0,Objects,FALSE,100,100,sfx/gob_attack_01.ogg,40,0,100,0,100,FALSE,FALSE,Deploy,0,,FALSE,sfx/barb_deploy_11.ogg,0,FALSE,FALSE,40,,
,,,,,,,,,,,,,,,,,100,,100,,,,,,,sfx/barb_deploy_11v2.ogg,,,,40,,
,,,,,,,,,,,,,,,,,100,,100,,,,,,,sfx/barb_deploy_11v3.ogg,,,,40,,
Barbarian2 Die,,TRUE,FALSE,0,FALSE,0,FALSE,FALSE,0,Top,FALSE,110,90,sfx/barbarian_death_01.ogg,50,0,110,0,90,FALSE,FALSE,Splat,0,,FALSE,sfx/barbarian_death_01.ogg,0,FALSE,FALSE,50,,
,,,,,,,,,,,,,,,,,110,,90,,,,,,,sfx/barbarian_death_02.ogg,,,,50,,
