TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN,KR,RU
TID_ACCONT_LOCKED_TEXT,Your account has been locked for security reasons. Enter the unlock code to recover your account.,Votre compte a été verrouillé pour des raisons de sécurité. Saisissez le code de déverrouillage pour récupérer votre compte.,"Dein Konto wurde aus Sicherheitsgründen gesperrt. Gib den Freischaltcode ein, um dein Konto wiederherzustellen.",Tu cuenta ha sido bloqueada por motivos de seguridad. Introduce el código de desbloqueo para recuperarla.,Il tuo account è stato bloccato per motivi di sicurezza. Inserisci il codice di sblocco per riattivare l'account.,Je account is om veiligheidsredenen vergrendeld. Voer de ontgrendelcode in om je account te herstellen.,Kontoen din har blitt låst av sikkerhetsgrunner. Skriv inn opplåsningskoden for å få tilbake kontoen din.,Sua conta foi bloqueada por razões de segurança. Insira o código de desbloqueio para recuperar a conta.,Hesabın güvenlik sebeplerinden ötürü kilitlendi. Hesabını geri almak için kilit açma kodunu gir.,セキュリティ上の理由により、お使いのアカウントはロックされています。アンロックコードを入力し、再度アカウントを有効にしてください。,出于安全原因，您的账户已被锁定。请输入解锁代码恢复您的账户。,보안상 이유로 계정이 잠겼습니다. 잠금 해제 코드를 입력해서 계정을 복구하세요.,Ваша учетная запись заблокирована из соображений безопасности. Введите код разблокировки для ее восстановления.
TID_ACCOUNT,Devices,Appareils,Geräte,Dispositivos,Dispositivi,Apparaten,Enheter,Dispositivos,Cihazlar,デバイス,设备,기기,Устройства
TID_ACCOUNT_LOCKED_INVALID_CODE,Invalid unlock code!,Code de déverrouillage non valide !,Ungültiger Freischaltcode!,Código de desbloqueo no válido,Codice di sblocco non valido!,Ongeldige ontgrendelcode!,Ugyldig opplåsningskode!,Código de desbloqueio inválido!,Geçersiz kilit açma kodu!,アンロックコードが無効です！,解锁代码无效！,잘못된 잠금 해제 코드입니다!,Неверный код разблокировки!
TID_ACCOUNT_LOCKED_TEXT2,Enter unlock code here:,Saisissez le code de déverrouillage ici :,Gib hier den Freischaltcode ein:,Introduce el código de desbloqueo aquí:,Inserisci qui il codice di sblocco:,Voer hier de ontgrendelcode in:,Skriv inn opplåsningskoden her:,Insira o código de desbloqueio aqui:,Kilit açma kodunu buraya gir:,アンロックコードを入力してください：,在此输入解锁代码：,잠금 해제 코드:,Введите код разблокировки:
TID_ACCOUNT_LOCKED_TITLE,Account Locked,Compte verrouillé,Konto gesperrt,Cuenta bloqueada,Account bloccato,Account vergrendeld,Konto låst,Conta bloqueada,Hesap Kilitli,アカウントがロックされました,账户已锁定,계정 잠금,Учетная запись Заблокирована
TID_ACHIEVEMENTS_COMPLETED,Completed:,Terminé :,Abgeschlossen:,Completado:,Completato:,Voltooid:,Fullført:,Concluído:,Tamamlanan:,達成,已取得：,완료:,Завершено:
TID_ACHIEVEMENTS_INFO,Achievements also in Game Center,Succès également dans le Game Center,Errungenschaften auch bei Game Center,Comparte tus logros en Game Center.,Obiettivi anche in Game Center,Prestaties tevens in Game Center,Prestasjoner også i Game Center,Conquistas também no Game Center,Başarılar ayrıca Oyun Merkezi'nde,達成項目は Game Center からも確認できます,您的成就在游戏中心也可显示,Game Center에도 도전 과제가 있습니다.,Достижения в Game Center
TID_ACHIEVEMENTS_INFO_ANDROID,Achievements also in Google Play,Succès également dans Google Play,Errungenschaften auch bei Google Play,Logros también en Google Play,Obiettivi anche in Google Play,Prestaties ook in Google Play,Prestasjoner også i Google Play,Conquistas também no Google Play,Başarılar da Google Play'de,達成項目はGoogle Playからも確認できます,Google Play 同样有成就功能,Google Play에서도 도전 과제를 달성할 수 있습니다.,Достижения в Google Play
TID_ACHIEVEMENTS_REWARD,Rewards:,Récompenses :,Belohnungen:,Premios:,Premi:,Beloningen:,Belønninger:,Recompensas:,Ödüller:,達成時,战利品：,보상:,Награды:
TID_ACHIEVEMENT_CASTLE_COMPLETED,Current Clan Castle level: <value>,Niveau actuel du château de clan : <value>,Derzeitiges Clanburg-Level: <value>,Nivel actual del castillo del clan: <value>,Livello Castello del clan attuale: <value>,Huidige level clankasteel: <value>,Gjeldende nivå på klanslott: <value>,Nível atual do Castelo do Clã: <value>,Klan Kalesi mevcut seviyesi: <value>,現在のクランの城のレベル：<value>,目前的部落城堡等级：<value>,현재 클랜 성 레벨: <value>,Уровень Крепости Клана: <value>
TID_ACHIEVEMENT_CASTLE_REPAIR,Rebuild the Clan Castle,Reconstruisez le château de clan.,Die Clanburg wieder aufbauen,Reconstruye el castillo del clan.,Ricostruisci il castello del clan,Het clankasteel restaureren,Bygg klanslottet på nytt!,Reconstruir o Castelo do Clã,Klan Kalesini Tekrar Kur,クランの城を再建する,重建部落城堡,클랜 성 재건,Восстановите Крепость Клана
TID_ACHIEVEMENT_CASTLE_TITLE,Empire Builder,Bâtisseur d´empire,Imperiumsmeister,Constructor de Imperios,Costruttore di imperi,Rijkbouwer,Fyrstedømmebygger,Construtor de império,İmparator İnşaatçı,覇権への道,帝国缔造者,제국 건설자,Строитель Империй
TID_ACHIEVEMENT_CASTLE_UPGRADE,Upgrade Clan Castle to level <number>,Améliorez le château de clan au niveau <number>.,Verbessere die Clanburg auf Level <number>,Mejora el castillo del clan al nivel <number>.,Migliora il castello del clan fino al livello <number>,Upgrade het clankasteel naar <number>,Oppgrader klanslottet til nivå <number>,Atualize o Castelo do Clã para o nível <number>,Klan Kalesini <number>. seviyeye yükselt,クランの城をレベル <number> にアップグレードする,升级部落城堡至<number>级,클랜 성 <number>레벨 업그레이드,Улучшите Крепость Клана до <number> уровня
TID_ACHIEVEMENT_CHALLENGE_BUTTON,Challenge friends,Défier vos amis,Freunde herausfordern,Desafiar a amigos,Sfida gli amici,Vrienden uitdagen,Utfordre venner,Desafiar amigos,Arkadaşlarınla kapış,フレンドに挑戦,挑战好友,친구에게 도전,Брось вызов друзьям
TID_ACHIEVEMENT_CLAIM_BUTTON,Claim Reward,Récupérer récompense,Belohnung einfordern,Recoger recompensa,Richiedi premio,Beloning opeisen,Krev belønning,Resgatar recompensa,Ödülünü İste,ボーナスをもらう,领取奖赏,보상받기,Забрать Награду
TID_ACHIEVEMENT_CLEAR_OBSTACLES,"Remove <number> obstacles (trees, rocks, bushes)","Supprimez <number> obstacles (arbres, rochers, buissons).","Entferne <number> Hindernisse (Bäume, Steine, Büsche)","Quita <number> obstáculos (árboles, rocas, arbustos)","Rimuovi <number> ostacoli (alberi, rocce, cespugli)","Verwijder <number> obstakels (bomen, rotsen, struiken)","Fjern <number> hindringer (trær, steiner, busker)","Remova <number> obstáculos (árvores, pedras, arbustos)","<number> engel kaldır (ağaçlar, kayalar, çalılıklar)",障害物（木、石、やぶ）を合計 <number>個 取り除く,移除<number>个障碍（树木和岩石等）,"장애물(나무, 바위, 덤불) <number>개 제거","Уберите <number> препятствий (деревья, камни и кусты)"
TID_ACHIEVEMENT_CLEAR_OBSTACLES_COMPLETED,Total obstacles removed: <value>,Total d'obstacles franchis : <value>,Hindernisse entfernt (insgesamt): <value>,Total de obstáculos eliminados: <value>,Totale ostacoli rimossi: <value>,Totaal hindernissen verwijderd: <value>,Totalt antall hindringer fjernet: <value>,Total de obstáculos removidos: <value>,Kaldırılan toplam engel: <value>,取り除いた障害物の総数：<value>,移除的障碍物数量：<value>,제거한 장애물: <value>,Препятствий убрано: <value>
TID_ACHIEVEMENT_CLEAR_OBSTACLES_TITLE,Nice and Tidy,Un peu de rangement,Hübsch und ordentlich,Bonito y ordenado,Un lavoro pulito,Opgeruimd staat netjes,Rent og pent,Limpo e arrumado,Harika ve Düzenli,整理整頓,清爽整洁,말끔하게,Чудно и Чисто
TID_ACHIEVEMENT_COMPLETED,Achievement Completed!,Succès terminé !,Errungenschaft erzielt!,¡Logro completado!,Obiettivo completato!,Prestatie voltooid!,Prestasjon fullført!,Conquista completa!,Başarı Tamamlandı!,達成項目をクリアしました！,已取得该成就！,도전 과제 달성!,Достижение Выполнено!
TID_ACHIEVEMENT_DESTROY_BUILDER,Destroy <number> Builder's Huts in Multiplayer battles,Détruisez <number> cabanes d´ouvrier lors de batailles Multijoueur.,Zerstöre <number> Bauhütten in Mehrspieler-Kämpfen,Destruye <number> cabañas de constructores en batallas multijugador.,Distruggi <number> Capanne del muratore in battaglie multigiocatore,Vernietig <number> bouwhutten in multiplayergevechten,Ødelegg <number> byggerhytter i slag med flere spillere,Destrua <number> Cabanas do Construtor em batalhas multijogador,Çoklu oyuncu savaşlarında <number> İnşaatçı Kulübesi yok et,マルチプレイで大工の小屋を通算 <number>個 破壊する,在联机游戏中摧毁<number>个建筑工人小屋,멀티플레이 전투에서 장인의 집 <number>개 파괴,Уничтожьте <number> Хижин Строителей в Многопользовательском Режиме
TID_ACHIEVEMENT_DESTROY_BUILDER_COMPLETED,Total Builder's Huts destroyed: <value>,Total de cabanes d'ouvrier détruites : <value>,Bauhütten zerstört (insgesamt): <value>,Total de chozas de constructor destruidas: <value>,Totale Capanne del muratore distrutte: <value>,Totaal bouwketen vernietigd: <value>,Totalt antall byggerhytter ødelagt: <value>,Total de Cabanas de Construtor destruídas: <value>,Yok edilen toplam İnşaatçı Kulübesi: <value>,破壊した大工の小屋の総数：<value>,总共摧毁的建筑工人小屋数量：<value>,파괴한 장인의 집: <value>,Хижин Строителей уничтожено: <value>
TID_ACHIEVEMENT_DESTROY_BUILDER_TITLE,Union Buster,Démolisseur de syndicats,Gewerkschaftssprenger,Anti-gremios,Vietate le unioni,Stakingbreker,Unionsbryter,Detonador de uniões,Birlik İmhacısı,組合つぶし,工棚破坏者,노동조합 파괴자,Дивный Союз
TID_ACHIEVEMENT_DESTROY_INFERNO,Destroy <number> Inferno Towers in Multiplayer battles,Détruisez <number> tours de l'enfer lors de batailles en multijoueur.,Zerstöre <number> Inferno-Türme in Mehrspieler-Kämpfen,Destruye <number> torres infernales en batallas multijugador.,Distruggi <number> Torri inferno nelle battaglie multigiocatore,Vernietig <number> infernotorens in multiplayergevechten,Ødelegg <number> infernotårn i flerspillerkamper,Destrua <number> Torres Inferno em batalhas multijogador,Çoklu Oyuncu savaşlarında <number> adet Cehennem Kulesi yok et,マルチプレイでインフェルノタワーを<number>個破壊する,在联机游戏中摧毁<number>座地狱之塔,멀티플레이 전투에서 인페르노 타워 <number>개 파괴,Уничтожьте <number> Адских Башен в Многопользовательском Режиме
TID_ACHIEVEMENT_DESTROY_INFERNO_COMPLETED,Total Inferno Towers destroyed: <value>,Total des tours de l'enfer détruites : <value>,Inferno-Türme zerstört (insgesamt): <value>,Total de torres infernales destruidas: <value>,Totale Torri inferno distrutte: <value>,Totaal infernotorens vernietigd: <value>,Totalt antall infernotårn ødelagt: <value>,Total de Torres Inferno destruídas: <value>,Yok edilen toplam Cehennem Kulesi: <value>,破壊したインフェルノタワーの総数：<value>,总共摧毁的地狱之塔数量：<value>,파괴한 인페르노 타워: <value>,Адских Башен уничтожено: <value>
TID_ACHIEVEMENT_DESTROY_INFERNO_TITLE,Firefighter,Pompier,Feuerlöscher,Bombero,Pompiere,Brandweerman,Brannmann,Bombeiro,İtfaiyeci,ファイアファイター,消防员,소방관,Огнеборец
TID_ACHIEVEMENT_DESTROY_MORTARS,Destroy <number> Mortars in Multiplayer battles,Détruisez <number> mortiers lors de batailles en multijoueur.,Zerstöre <number> Minenwerfer in Mehrspieler-Kämpfen,Destruye <number> morteros en batallas multijugador.,Distruggi <number> Mortai in battaglie multigiocatore,Vernietig <number> mortieren in multiplayergevechten,Ødelegg <number> mortere i slag med flere spillere,Destrua <number> morteiros em batalhas multiplayer.,Çok oyunculu savaşlarda <number> Havan yok edin,マルチプレイで通算 <number>個 の迫撃砲を破壊する,在联机游戏战斗中摧毁<number>门迫击炮,멀티플레이 전투에서 박격포 <number>개 파괴,Уничтожьте <number> Мортир в Многопользовательском Режиме
TID_ACHIEVEMENT_DESTROY_MORTARS_COMPLETED,Total Mortars destroyed: <value>,Total des mortiers détruits : <value>,Minenwerfer zerstört (insgesamt): <value>,Total de morteros destruidos: <value>,Totale mortai distrutti: <value>,Totaal mortieren vernietigd: <value>,Totalt antall mortere ødelagt: <value>,Total de Morteiros destruídos: <value>,Yok edilen toplam Havan: <value>,破壊した迫撃砲の総数：<value>,总共摧毁的迫击炮数量：<value>,파괴한 박격포: <value>,Мортир уничтожено: <value>
TID_ACHIEVEMENT_DESTROY_MORTARS_TITLE,Mortar Mauler,Brise-mortier,Minenwerfer Metzler,Mortero Mauler,Odio per i Mortai,Mortiermoller,Morter-mauler,Espanca-morteiro,Havanlı Mauler,死角に入れ,迫击炮破坏达人,박격포 섬멸,Разрушитель Мортир
TID_ACHIEVEMENT_DESTROY_TOWNHALL,Destroy <number> Town Halls in Multiplayer battles,Détruisez <number> Hôtels de ville lors de batailles Multijoueur.,Zerstöre <number> Rathäuser in Mehrspieler-Kämpfen,Destruye <number> ayuntamientos en batallas multijugador.,Distruggi <number> Municipi in battaglie multigiocatore,Vernietig <number> stadhuizen in multiplayergevechten,Ødelegg <number> rådhus i slag med flere spillere,Destrua <number> Centros da Vila em batalhas multiplayer,Çoklu oyuncu savaşlarında <number> Belediye Binası yok et,マルチプレイで通算 <number>個 のタウンホールを破壊する,在联机游戏中摧毁<number>座大本营,멀티플레이 전투에서 마을 회관 <number>개 파괴,Уничтожьте <number> Ратуш в Многопользовательском Режиме
TID_ACHIEVEMENT_DESTROY_TOWNHALL_COMPLETED,Total Town Halls destroyed: <value>,Total d'hôtels de ville détruits : <value>,Rathäuser zerstört (insgesamt): <value>,Total de ayuntamientos destruidos: <value>,Totale Municipi distrutti: <value>,Totaal stadhuizen vernietigd: <value>,Totalt antall rådhus ødelagt: <value>,Total de Centros das Vilas destruídos: <value>,Yok edilen toplam Köy Binası: <value>,破壊したタウンホールの総数：<value>,总共摧毁的大本营数量：<value>,파괴한 마을 회관: <value>,Ратуш уничтожено: <value>
TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE,Humiliator,Destruction,Erniedriger,Humillador,Umiliazione,Vernederaar,Fornedrer,Humilhador,Aşağılayıcı,王都炎上,攻城拔寨,굴욕,Унижатель
