Name,TID,InfoTID,SWF,Speed,Hitpoints,UpgradeTimeH,UpgradeResource,UpgradeCost,RequiredTownHallLevel,AttackRange,AttackSpeed,Damage,PreferedTargetDamageMod,DamageRadius,IconSWF,IconExportName,BigPicture,BigPictureSWF,SmallPicture,SmallPictureSWF,Projectile,RageProjectile,PreferedTargetBuilding,DeployEffect,AttackEffect,HitEffect,IsFlying,AirTargets,GroundTargets,AttackCount,DieEffect,Animation,MaxSearchRadiusForDefender,HousingSpace,SpecialAbilityEffect,RegenerationTimeMinutes,TrainingTime,TrainingResource,TrainingCost,CelebrateEffect,SleepOffsetX,SleepOffsetY,PatrolRadius,AbilityTriggerEffect,AbilityAffectsHero,AbilityAffectsCharacter,AbilityRadius,AbilityTime,AbilityOnce,AbilityCooldown,AbilitySpeedBoost,AbilitySpeedBoost2,AbilityDamageBoostPercent,AbilitySummonTroop,AbilitySummonTroopCount,AbilityStealth,AbilityDamageBoostOffset,AbilityHealthIncrease,AbilityTID,AbilityDescTID,AbilityIcon,AbilityBigPictureExportName,AbilityDelay,StrengthWeight,StrengthWeight2,AlertRadius
,,,,,2123,120,,45000,8,,,143,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,96,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,10,8,
,,,,,2176,132,,50000,9,,,146,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,100,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,10,8,
,,,,,2230,144,,55000,9,,,149,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,104,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,10,8,
,,,,,2286,156,,60000,9,,,152,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,108,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,10,8,
,,,,,2343,168,,65000,9,,,155,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,112,,,,,,,,,,,,10000,,,19,9,124,,8,,101,620,,,,,,10,8,
,,,,,2402,,,70000,9,,,158,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,116,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,11,8,
,,,,,2462,,,75000,9,,,161,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,120,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,11,8,
,,,,,2523,,,80000,9,,,164,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,124,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,11,8,
,,,,,2586,,,85000,9,,,168,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,128,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,11,8,
,,,,,2651,,,90000,9,,,171,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,132,,,,,,,,,,,,10000,,,20,10,128,,10,,147,752,,,,,,11,8,
,,,,,2717,,,95000,9,,,174,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,136,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,12,8,
,,,,,2785,,,100000,9,,,178,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,140,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,12,8,
,,,,,2855,,,105000,9,,,181,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,144,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,12,8,
,,,,,2926,,,110000,9,,,185,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,148,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,12,8,
,,,,,2999,,,115000,9,,,189,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,152,,,,,,,,,,,,10000,,,21,10,132,,12,,195,899,,,,,,12,8,
,,,,,3074,,,120000,9,,,193,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,156,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,13,8,
,,,,,3151,,,125000,9,,,196,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,160,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,13,8,
,,,,,3230,,,130000,9,,,200,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,164,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,13,8,
,,,,,3311,,,135000,9,,,204,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,168,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,13,8,
,,,,,3394,,,140000,9,,,208,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,172,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,13,8,
,,,,,3478,,,145000,9,,,213,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,176,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,14,8,
,,,,,3565,,,150000,10,,,217,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,14,8,
,,,,,3655,,,155000,10,,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,14,8,
,,,,,3746,,,160000,10,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,14,8,
,,,,,3840,,,165000,10,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,14,8,
,,,,,3936,,,170000,10,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,15,8,
,,,,,4034,,,175000,10,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,15,8,
,,,,,4135,,,180000,10,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,15,8,
,,,,,4238,,,185000,10,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,15,8,
,,,,,4344,,,190000,10,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,15,8,
,,,,,4453,,,,10,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,25,12,150,,20,,414,1692,,,,,,16,8,
Archer Queen,TID_ARCHER_QUEEN,TID_HERO_INSTRUCTIONS_QUEEN,sc/characters.cs,300,725,12,DarkElixir,22500,9,500,750,160,1,,sc/ui.sc,icon_hero_archerQueen,unit_archerQueen_big,sc/info_archerqueen.sc,unit_archerQueen_small,sc/ui.sc,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,Archer Queen Deploy,ArcherQueen attack,Archer Queen Hit,FALSE,TRUE,TRUE,,Archer Queen Die,ArcherQueen_lvl1,1000,25,Building Ready,60,,Elixir,,Archer Queen Scream,70,-50,300,Queen Ability Effect,TRUE,,2500,0,TRUE,0,,,,Archer,0,TRUE,0,0,TID_HERO_ABILITY_QUEEN_TITLE,TID_HERO_ABILITY_QUEEN_DESC,icon_hero_archerQueen_ability1,unit_archerQueen_ability1_big,0,15,15,1300
,,,,,739,24,,25000,9,,,164,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl1,,,,64,,,,,,,,,,,,0,,,,,,,0,,0,0,,,,,,15,15,
,,,,,754,36,,27500,9,,,168,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl1,,,,68,,,,,,,,,,,,0,,,,,,,0,,0,0,,,,,,15,15,
,,,,,769,48,,30000,9,,,172,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl1,,,,72,,,,,,,,,,,,0,,,,,,,0,,0,0,,,,,,15,15,
,,,,,784,60,,32500,9,,,176,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl1,,,,76,,,,,,,,,,,,4200,,,,,,,5,,375,150,,,,,,16,15,
,,,,,800,72,,35000,9,,,181,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl1,,,,80,,,,,,,,,,,,4200,,,,,,,5,,375,150,,,,,,16,15,
,,,,,816,84,,40000,9,,,185,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl1,,,,84,,,,,,,,,,,,4200,,,,,,,5,,375,150,,,,,,16,15,
,,,,,832,96,,45000,9,,,190,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl1,,,,88,,,,,,,,,,,,4200,,,,,,,5,,375,150,,,,,,16,15,
,,,,,849,108,,50000,9,,,194,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl1,,,,92,,,,,,,,,,,,4200,,,,,,,5,,375,150,,,,,,16,15,
,,,,,866,120,,55000,9,,,199,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl2,,,,96,,,,,,,,,,,,4400,,,,,,,6,,430,180,,,,,,17,15,
,,,,,883,132,,60000,9,,,204,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl2,,,,100,,,,,,,,,,,,4400,,,,,,,6,,430,180,,,,,,17,15,
,,,,,901,144,,65000,9,,,209,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl2,,,,104,,,,,,,,,,,,4400,,,,,,,6,,430,180,,,,,,17,15,
,,,,,919,156,,70000,9,,,215,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl2,,,,108,,,,,,,,,,,,4400,,,,,,,6,,430,180,,,,,,17,15,
,,,,,937,168,,75000,9,,,220,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl2,,,,112,,,,,,,,,,,,4400,,,,,,,6,,430,180,,,,,,17,15,
,,,,,956,,,80000,9,,,226,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl2,,,,116,,,,,,,,,,,,4600,,,,,,,7,,491,212,,,,,,18,15,
,,,,,975,,,85000,9,,,231,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl2,,,,120,,,,,,,,,,,,4600,,,,,,,7,,491,212,,,,,,18,15,
,,,,,995,,,90000,9,,,237,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl2,,,,124,,,,,,,,,,,,4600,,,,,,,7,,491,212,,,,,,18,15,
,,,,,1015,,,95000,9,,,243,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl2,,,,128,,,,,,,,,,,,4600,,,,,,,7,,491,212,,,,,,18,15,
,,,,,1035,,,100000,9,,,249,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl2,,,,132,,,,,,,,,,,,4600,,,,,,,7,,491,212,,,,,,18,15,
,,,,,1056,,,105000,9,,,255,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl3,,,,136,,,,,,,,,,,,4800,,,,,,,8,,558,247,,,,,,19,15,
,,,,,1077,,,110000,9,,,262,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl3,,,,140,,,,,,,,,,,,4800,,,,,,,8,,558,247,,,,,,19,15,
,,,,,1098,,,115000,9,,,268,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl3,,,,144,,,,,,,,,,,,4800,,,,,,,8,,558,247,,,,,,19,15,
,,,,,1120,,,120000,9,,,275,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl3,,,,148,,,,,,,,,,,,4800,,,,,,,8,,558,247,,,,,,19,15,
,,,,,1143,,,125000,9,,,282,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl3,,,,152,,,,,,,,,,,,4800,,,,,,,8,,558,247,,,,,,19,15,
,,,,,1166,,,130000,9,,,289,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl3,,,,156,,,,,,,,,,,,5100,,,,,,,9,,632,286,,,,,,20,15,
,,,,,1189,,,135000,9,,,296,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl3,,,,160,,,,,,,,,,,,5100,,,,,,,9,,632,286,,,,,,20,15,
,,,,,1213,,,140000,9,,,304,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl3,,,,164,,,,,,,,,,,,5100,,,,,,,9,,632,286,,,,,,20,15,
,,,,,1237,,,145000,9,,,311,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl3,,,,168,,,,,,,,,,,,5100,,,,,,,9,,632,286,,,,,,20,15,
,,,,,1262,,,150000,9,,,319,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl3,,,,172,,,,,,,,,,,,5100,,,,,,,9,,632,286,,,,,,20,15,
,,,,,1287,,,155000,9,,,327,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,ArcherQueen_lvl3,,,,176,,,,,,,,,,,,5400,,,,,,,10,,713,330,,,,,,21,15,
,,,,,1313,,,160000,10,,,335,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,5400,,,,,,,10,,713,330,,,,,,21,15,
,,,,,1339,,,165000,10,,,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,,,,,,,10,,713,330,,,,,,21,15,
,,,,,1366,,,170000,10,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,,,,,,,10,,713,330,,,,,,21,15,
,,,,,1393,,,175000,10,,,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,,,,,,,10,,713,330,,,,,,21,15,
,,,,,1421,,,180000,10,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700,,,,,,,11,,800,378,,,,,,22,15,
,,,,,1449,,,185000,10,,,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700,,,,,,,11,,800,378,,,,,,22,15,
,,,,,1478,,,190000,10,,,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700,,,,,,,11,,800,378,,,,,,22,15,
,,,,,1508,,,195000,10,,,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700,,,,,,,11,,800,378,,,,,,22,15,
,,,,,1538,,,200000,10,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700,,,,,,,11,,800,378,,,,,,22,15,
,,,,,1569,,,,10,,,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,,,,,,12,,894,430,,,,,,23,15,
