Name,VisualLevel,TID,InfoTID,EnabledByCalendar,Speed,Hitpoints,UpgradeTimeH,UpgradeResource,UpgradeCost,RequiredTownHallLevel,RequiredHeroTavernLevel,AttackRange,AltAttackRange,AttackSpeed,CoolDownOverride,DPS,PreferedTargetDamageMod,DamageRadius,IconSWF,IconExportName,BigPicture,BigPictureSWF,SquarePicture,SquarePictureSWF,ArmyTrainingPicture,ArmyTrainingPictureSWF,Projectile,PreferedTargetBuilding,DeployEffect,AttackEffect,AttackEffectAlt,HitEffect,IsFlying,AirTargets,GroundTargets,IsJumper,AttackCount,DieEffect,Animation,AbilityAttackCount,MaxSearchRadiusForDefender,HousingSpace,HealerWeight,TrainingResource,TrainingCost,CelebrateEffect,SleepOffsetX,SleepOffsetY,PatrolRadius,AbilitySummonTroop,AbilityDescTID,AbilityIcon,AbilityBigPictureExportName,StrengthWeight,StrengthWeight2,AlertRadius,Scale,AuraSpell,AuraSpellLevel,AuraTID,AuraDescTID,AuraBigPictureExportName,RetributionSpell,RetributionSpellLevel,RetributionSpellTriggerHealth,HasAltMode,AltModeFlying,AltModeAnimation,PreferedTargetBuildingClass,NoAttackOverWalls,TargetGroups,FightWithGroups,TargetGroupsRadius,TargetGroupsRange,TargetGroupsMinWeight,SmoothJump,WakeUpSpeed,WakeUpSpace,FriendlyGroupWeight,EnemyGroupWeight,AttackEffectShared,TargetedEffectOffset,TriggersTraps,VillageType,NoDefence,PreAttackEffect,DefaultSkin,NewTargetAttackDelay,Gender,SpecialAbilities,SpecialAbilitiesLevel,OnlyShowRageBoost,AvoidNoiseInAttackPositionSelection,AbilityExtraPowerMaxLevel,PreviewScenario,AltPreviewScenario,ItemSlotCount,DefaultItems,MigrationGearLevel,HeroFlagSWF,HeroFlagExportName,HeroFlagBaseExportName,HeroBannerPrefix,LevelGrantedByTavernLevel,ControlledMoveEffect,ForceRetaliation
,10,,,,,1805,0,,10500,7,1,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2125,1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,
,11,,,,,1850,0,,11000,8,2,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2174,1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,
,12,,,,,1896,0,,11500,8,2,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2227,1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,
,13,,,,,1943,0,,12000,8,2,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2277,1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,
,14,,,,,1992,0,,12500,8,2,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2334,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,
,15,,,,,2042,0,,13000,8,2,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,1410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,
,16,,,,,2093,0,,13500,8,2,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2556,1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,
,17,,,,,2145,0,,14000,8,2,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2613,1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,
,18,,,,,2198,0,,14500,8,2,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2680,1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,
,19,,,,,2253,0,,15000,8,2,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2740,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,
,20,,,,,2309,0,,17000,8,2,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2927,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,2,,,,,,,
,21,,,,,2367,0,,19000,9,3,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2997,1748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,,
,22,,,,,2427,0,,21000,9,3,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3069,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,,
,23,,,,,2487,0,,23000,9,3,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3141,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,,
,24,,,,,2549,0,,25000,9,3,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3220,1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,,
,25,,,,,2613,0,,27000,9,3,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3433,2060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,3,,,,,,,
,26,,,,,2678,0,,29000,9,3,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3513,2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,4,,,,,,,
,27,,,,,2746,0,,31000,9,3,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596,2158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,4,,,,,,,
,28,,,,,2814,0,,33000,9,3,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3679,2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,4,,,,,,,
,29,,,,,2885,0,,35000,9,3,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3770,2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,4,,,,,,,
,30,,,,,2956,0,,37000,9,3,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4015,2471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,4,,,,,,,
,31,,,,,3030,0,,39000,10,4,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4108,2528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,5,,,,,,,
,32,,,,,3107,0,,41000,10,4,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4209,2590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,5,,,,,,,
,33,,,,,3184,0,,43000,10,4,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4310,2652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,5,,,,,,,
,34,,,,,3264,0,,45000,10,4,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4414,2716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,5,,,,,,,
,35,,,,,3346,0,,47000,10,4,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4694,2955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,5,,,,,,,
,36,,,,,3429,0,,49000,10,4,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,3022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,6,,,,,,,
,37,,,,,3515,0,,51000,10,4,,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4914,3094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,6,,,,,,,
,38,,,,,3602,0,,53000,10,4,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5035,3170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,6,,,,,,,
,39,,,,,3692,0,,55000,10,4,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5154,3245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,6,,,,,,,
,40,,,,,3785,0,,58000,10,4,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5471,3517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,6,,,,,,,
,41,,,,,3879,0,,61000,11,5,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5655,3635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,7,,,,,,,
,42,,,,,3976,0,,64000,11,5,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5792,3723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,7,,,,,,,
,43,,,,,4076,0,,67000,11,5,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5932,3813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,7,,,,,,,
,44,,,,,4178,0,,70000,11,5,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6074,3905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,7,,,,,,,
,45,,,,,4282,0,,73000,11,5,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6440,4220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,7,,,,,,,
,46,,,,,4389,0,,76000,11,5,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6593,4320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,8,,,,,,,
,47,,,,,4499,0,,79000,11,5,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6756,4426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,8,,,,,,,
,48,,,,,4611,0,,82000,11,5,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6915,4530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,8,,,,,,,
,49,,,,,4727,0,,85000,11,5,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7084,4641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,8,,,,,,,
,50,,,,,4845,0,,86000,11,5,,,,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7506,5004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,8,,,,,,,
,51,,,,,4967,0,,87000,12,6,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7688,5126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,9,,,,,,,
,52,,,,,5092,0,,88000,12,6,,,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7874,5250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,9,,,,,,,
,53,,,,,5219,0,,89000,12,6,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8063,5375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,9,,,,,,,
,54,,,,,5350,0,,90000,12,6,,,,,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8262,5508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,9,,,,,,,
,55,,,,,5484,0,,93000,12,6,,,,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8747,5925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,9,,,,,,,
,56,,,,,5622,0,,96000,12,6,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8955,6066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,10,,,,,,,
,57,,,,,5763,0,,99000,12,6,,,,,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9174,6214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,10,,,,,,,
,58,,,,,5908,0,,102000,12,6,,,,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9397,6366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,10,,,,,,,
,59,,,,,6055,0,,105000,12,6,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9622,6518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,10,,,,,,,
,60,,,,,6208,0,,107000,12,6,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10180,6999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,10,,,,,,,
,61,,,,,6363,0,,109000,12,6,,,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10417,7161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,11,,,,,,,
,62,,,,,6522,0,,111000,12,6,,,,,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10665,7332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,11,,,,,,,
,63,,,,,6685,0,,113000,12,6,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10925,7511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,11,,,,,,,
,64,,,,,6853,0,,115000,12,6,,,,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11185,7689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,11,,,,,,,
,65,,,,,7024,0,,117000,12,6,,,,,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11813,7875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,11,,,,,,,
,66,,,,,7200,0,,119000,13,7,,,,,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12098,8065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,12,,,,,,,
,67,,,,,7378,0,,121000,13,7,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12379,8253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,12,,,,,,,
,68,,,,,7557,0,,123000,13,7,,,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12668,8445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,12,,,,,,,
,69,,,,,7735,0,,125000,13,7,,,,,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12962,8642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,12,,,,,,,
,70,,,,,7905,0,,130000,13,7,,,,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13641,8826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,12,,,,,,,
,71,,,,,8075,0,,135000,13,7,,,,,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13933,9016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,13,,,,,,,
,72,,,,,8245,0,,140000,13,7,,,,,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14219,9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,13,,,,,,,
,73,,,,,8415,0,,145000,13,7,,,,,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14511,9390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,13,,,,,,,
,74,,,,,8585,0,,150000,13,7,,,,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14797,9574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,13,,,,,,,
,75,,,,,8755,0,,155000,13,7,,,,,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15533,10207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,13,,,,,,,
,76,,,,,8917,0,,160000,14,8,,,,,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15809,10389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,14,,,,,,,
,77,,,,,9078,0,,165000,14,8,,,,,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16090,10574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,14,,,,,,,
,78,,,,,9240,0,,170000,14,8,,,,,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16366,10755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,14,,,,,,,
,79,,,,,9401,0,,175000,14,8,,,,,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16647,10940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,14,,,,,,,
,80,,,,,9563,0,,180000,14,8,,,,,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17414,11126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,14,,,,,,,
,81,,,,,9690,0,,185000,14,8,,,,,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17647,11275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,15,,,,,,,
,82,,,,,9818,0,,190000,14,8,,,,,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17875,11420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,15,,,,,,,
,83,,,,,9945,0,,195000,14,8,,,,,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18108,11569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,15,,,,,,,
,84,,,,,10073,0,,200000,14,8,,,,,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18343,11719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,15,,,,,,,
,85,,,,,10200,0,,215000,14,8,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19092,11868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,15,,,,,,,
,86,,,,,10328,0,,225000,15,9,,,,,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19333,12018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,15,,,,,,,
,87,,,,,10455,0,,235000,15,9,,,,,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19566,12162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,15,,,,,,,
,88,,,,,10583,0,,245000,15,9,,,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19807,12312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,15,,,,,,,
,89,,,,,10710,0,,255000,15,9,,,,,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20047,12461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,15,,,,,,,
,90,,,,,10838,0,,280000,15,9,,,,,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20836,12611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,15,,,,,,,
,91,,,,,10965,0,,290000,16,10,,,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21082,12760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,15,,,,,,,
,92,,,,,11093,0,,300000,16,10,,,,,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21323,12906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,15,,,,,,,
,93,,,,,11220,0,,310000,16,10,,,,,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21569,13055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,15,,,,,,,
,94,,,,,11348,0,,320000,16,10,,,,,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21817,13205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,15,,,,,,,
