Name,TID,InfoTID,SWF,Speed,Hitpoints,UpgradeTimeH,UpgradeResource,UpgradeCost,RequiredTownHallLevel,AttackRange,AttackSpeed,Damage,PreferedTargetDamageMod,DamageRadius,IconSWF,IconExportName,BigPicture,Projectile,PreferedTargetBuilding,DeployEffect,AttackEffect,HitEffect,IsFlying,AirTargets,GroundTargets,AttackCount,DieEffect,Animation,MaxSearchRadiusForDefender,HousingSpace,SpawnTroopType,SpawnTroopUpgradeLevel,SpawnTroopCount,SpecialAbilityEffect,RegenerationTimeMinutes,TrainingTime,TrainingResource,TrainingCost,CelebrateEffect,SleepOffsetX,SleepOffsetY,PatrolRadius
,,,,,2135,120,,45000,8,,,213,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,0,5,,114,,,,,,,
,,,,,2220,132,,50000,9,,,222,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,1,5,,120,,,,,,,
,,,,,2309,144,,55000,9,,,231,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,1,5,,126,,,,,,,
,,,,,2402,156,,60000,9,,,240,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,1,5,,132,,,,,,,
,,,,,2498,168,,65000,9,,,250,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,1,5,,138,,,,,,,
,,,,,2598,180,,70000,9,,,260,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,1,5,,144,,,,,,,
,,,,,2701,192,,75000,9,,,270,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,2,5,,150,,,,,,,
,,,,,2809,204,,80000,9,,,281,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,2,5,,156,,,,,,,
,,,,,2922,216,,85000,9,,,292,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,2,5,,162,,,,,,,
,,,,,3039,228,,90000,9,,,304,,,,,,,,,,,,,,,,BarbarianKing_lvl2,,,,2,5,,168,,,,,,,
,,,,,3160,240,,100000,9,,,316,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,2,5,,174,,,,,,,
,,,,,3287,252,,110000,9,,,329,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,3,5,,180,,,,,,,
,,,,,3418,264,,120000,9,,,342,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,3,5,,186,,,,,,,
,,,,,3555,276,,130000,9,,,355,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,3,5,,192,,,,,,,
,,,,,3697,288,,140000,9,,,370,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,3,5,,198,,,,,,,
,,,,,3845,300,,150000,9,,,384,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,3,5,,204,,,,,,,
,,,,,3999,312,,160000,9,,,400,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,4,5,,210,,,,,,,
,,,,,4159,324,,170000,9,,,416,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,4,5,,216,,,,,,,
,,,,,4325,336,,180000,9,,,433,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,4,5,,222,,,,,,,
,,,,,4498,348,,190000,9,,,450,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,4,5,,228,,,,,,,
,,,,,4678,360,,200000,9,,,468,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,4,5,,234,,,,,,,
Archer Queen,TID_ARCHER_QUEEN,TID_HERO_INSTRUCTIONS,sc/characters.cs,300,675,12,DarkElixir,45000,9,500,750,120,1,,sc/ui.sc,icon_hero_archerQueen,unit_archerQueen_big,ArcherQueen arrow lvl1,,Archer Queen Deploy,ArcherQueen attack,Archer Queen Hit,FALSE,TRUE,TRUE,,Archer Queen Die,ArcherQueen_lvl1,1300,25,Archer,0,1,Building Ready,60,,Elixir,,Archer Queen Scream,70,-50,350
,,,,,702,24,,50000,,,,125,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,0,1,,66,,,,,,,
,,,,,730,36,,55000,,,,130,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,0,2,,72,,,,,,,
,,,,,759,48,,60000,,,,135,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,0,2,,78,,,,,,,
,,,,,790,60,,65000,,,,140,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,0,3,,84,,,,,,,
,,,,,821,72,,70000,,,,146,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,0,3,,90,,,,,,,
,,,,,854,84,,75000,,,,152,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,0,4,,96,,,,,,,
,,,,,888,96,,80000,,,,158,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,0,4,,102,,,,,,,
,,,,,924,108,,85000,,,,164,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,0,5,,108,,,,,,,
,,,,,961,120,,90000,,,,170,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,0,5,,114,,,,,,,
,,,,,999,132,,95000,,,,178,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,1,5,,120,,,,,,,
,,,,,1039,144,,100000,,,,185,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,1,5,,126,,,,,,,
,,,,,1081,156,,105000,,,,192,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,1,5,,132,,,,,,,
,,,,,1124,168,,110000,,,,200,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,1,5,,138,,,,,,,
,,,,,1169,180,,115000,,,,208,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,1,5,,144,,,,,,,
,,,,,1215,192,,120000,,,,216,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,2,5,,150,,,,,,,
,,,,,1264,204,,125000,,,,225,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,2,5,,156,,,,,,,
,,,,,1315,216,,130000,,,,234,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,2,5,,162,,,,,,,
,,,,,1368,228,,135000,,,,243,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,2,5,,168,,,,,,,
,,,,,1422,240,,140000,,,,253,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,2,5,,174,,,,,,,
,,,,,1479,252,,145000,,,,263,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,3,5,,180,,,,,,,
,,,,,1538,264,,150000,,,,274,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,3,5,,186,,,,,,,
,,,,,1600,276,,155000,,,,284,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,3,5,,192,,,,,,,
,,,,,1664,288,,160000,,,,296,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,3,5,,198,,,,,,,
,,,,,1730,300,,165000,,,,307,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,3,5,,204,,,,,,,
,,,,,1800,312,,170000,,,,320,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,4,5,,210,,,,,,,
,,,,,1872,324,,175000,,,,333,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,4,5,,216,,,,,,,
,,,,,1946,336,,180000,,,,346,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,4,5,,222,,,,,,,
,,,,,2024,348,,190000,,,,360,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,4,5,,228,,,,,,,
,,,,,2105,360,,200000,,,,374,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,4,5,,234,,,,,,,
