Name,TID,InfoTID,BuildingClass,SWF,ExportName,ExportNameNpc,ExportNameConstruction,BuildTimeD,BuildTimeH,BuildTimeM,BuildResource,BuildCost,TownHallLevel,Width,Height,Icon,ExportNameBuildAnim,MaxStoredGold,MaxStoredElixir,MaxStoredDarkElixir,Bunker,HousingSpace,ProducesResource,ResourcePerHour,ResourceMax,ResourceIconLimit,UnitProduction,Hero,UpgradesUnits,BoostCost,Hitpoints,RegenTime,AttackRange,AltAttackMode,AltAttackRange,AttackSpeed,Damage,PreferredTarget,PreferredTargetDamageMod,RandomHitPosition,DestroyEffect,AttackEffect,HitEffect,Projectile,ExportNameDamaged,BuildingW,BuildingH,ExportNameBase,ExportNameBaseNpc,AirTargets,GroundTargets,AltAirTargets,AltGroundTargets,AmmoCount,AmmoResource,AmmoCost,MinAttackRange,DamageRadius,PushBack,WallCornerPieces,LoadAmmoEffect,NoAmmoEffect,ToggleAttackModeEffect,PickUpEffect,PlacingEffect,CanNotSellLast,DefenderCharacter,DefenderCount,DefenderZ,DestructionXP,Locked,Hidden,TriggerRadius,ExportNameTriggered,AppearEffect,ForgesSpells,IsHeroBarrack,HeroType
,,,,,town_hall_lvl3,,,,3,0,,4000,,,,,,1000,1000,,,,,,,,,,,,1850,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
,,,,,town_hall_lvl4,,,1,0,0,,25000,,,,,,1000,1000,,,,,,,,,,,,2100,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
,,,,,town_hall_lvl5,,,2,0,0,,150000,,,,,,1000,1000,,,,,,,,,,,,2400,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
,,,,,town_hall_lvl6,,,4,0,0,,750000,,,,,,1000,1000,,,,,,,,,,,,2800,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
,,,,,town_hall_lvl7,,,6,0,0,,1200000,,,,,,1000,1000,,,,,,,,,,,,3200,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
,,,,,town_hall_lvl8,,,8,0,0,,2000000,,,,,,1000,1000,,,,,,,,,,,,3700,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
,,,,,town_hall_lvl9,,,10,0,0,,4000000,,,,,,1000,1000,,,,,,,,,,,,4200,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
Elixir Pump,TID_BUILDING_ELIXIR_PUMP,TID_ELIXIR_PUMP_INFO,Resource,sc/buildings.sc,elixir_pump_lvl1,,elixir_pump_const,,,1,Gold,150,1,3,3,,elixir_pump_upg,,,,,,Elixir,200,500,6,,,,,400,30,,,,,,,,,Building Destroyed,,,,elixir_destructed_state2,2,2,elixir_pump_base,npc_elixir_pump_base,,,,,,,,,,,,,,,Elixir Pump Pickup,Elixir Pump Placing,TRUE,,,,,,,,,,,,
,,,,,elixir_pump_lvl2,,,,,5,,300,1,,,,,,,,,,,400,1000,15,,,,,450,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl3,,,,,15,,700,2,,,,,,,,,,,600,1500,25,,,,,500,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl4,,,,1,0,,1400,2,,,,,,,,,,,800,2500,40,,,,,550,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl5,,,,4,0,,3500,3,,,,,,,,,,,1000,10000,60,,,,10,590,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl6,,,,12,0,,7000,3,,,,,,,,,,,1300,20000,100,,,,12,610,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl7,,,1,0,0,,14000,4,,,,,,,,,,,1600,30000,160,,,,14,630,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl8,,,2,0,0,,28000,4,,,,,,,,,,,1900,50000,220,,,,16,660,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl9,,,3,0,0,,56000,5,,,,,,,,,,,2200,75000,300,,,,17,680,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl10,,,4,0,0,,84000,5,,,,,,,,,,,2500,100000,400,,,,19,710,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_pump_lvl11,,,5,0,0,,168000,7,,,,,,,,,,,3000,150000,500,,,,20,750,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elixir Storage,TID_BUILDING_ELIXIR_STORAGE,TID_ELIXIR_STORAGE_INFO,Resource,sc/buildings.sc,elixir_storage_level1,,elixir_storage_const,,,15,Gold,300,1,3,3,,elixir_storage_upg,,1500,,,,,,,,,,,,400,30,,,,,,,,,Elixir Storage Destroyed,,,,elixir_destructed_state3,2,2,elixir_storage_lvl1_base,npc_elixir_storage_base,,,,,,,,,,,,,,,Elixir Storage Pickup,Elixir Storage Placing,,,,,,,,,,,,,
,,,,,elixir_storage_level2,,,,,30,,750,2,,,,,,3000,,,,,,,,,,,,600,31,,,,,,,,,,,,,,,,elixir_storage_lvl2_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level3,,,,1,0,,1500,2,,,,,,6000,,,,,,,,,,,,800,32,,,,,,,,,,,,,,,,elixir_storage_lvl3_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level4,,,,2,0,,3000,3,,,,,,12000,,,,,,,,,,,,1000,33,,,,,,,,,,,,,,,,elixir_storage_lvl4_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level5,,,,3,0,,6000,3,,,,,,25000,,,,,,,,,,,,1200,34,,,,,,,,,,,,,,,,elixir_storage_lvl5_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level6,,,,4,0,,12000,3,,,,,,50000,,,,,,,,,,,,1500,35,,,,,,,,,,,,,,,,elixir_storage_lvl6_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level7,,,,6,0,,25000,4,,,,,,100000,,,,,,,,,,,,1650,36,,,,,,,,,,,,,,,,elixir_storage_lvl7_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level8,,,,8,0,,50000,4,,,,,,250000,,,,,,,,,,,,1740,37,,,,,,,,,,,,,,,,elixir_storage_lvl8_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level9,,,,12,0,,100000,5,,,,,,500000,,,,,,,,,,,,1820,38,,,,,,,,,,,,,,,,elixir_storage_lvl9_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level10,,,1,0,0,,250000,6,,,,,,1000000,,,,,,,,,,,,1920,39,,,,,,,,,,,,,,,,elixir_storage_lvl10_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,elixir_storage_level11,,,2,0,0,,500000,7,,,,,,2000000,,,,,,,,,,,,2016,40,,,,,,,,,,,,,,,,elixir_storage_lvl11_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Mine,TID_BUILDING_GOLD_MINE,TID_GOLD_MINE_INFO,Resource,sc/buildings.sc,goldmine_lvl1,,goldmine_const,,,1,Elixir,150,1,3,3,,goldmine_upg,,,,,,Gold,200,500,6,,,,,400,30,,,,,,,,,Building Destroyed,,,,wood_destructed_state2,2,2,goldmine_base,npc_goldmine_base,,,,,,,,,,,,,,,Gold Mine Pickup,Gold Mine Placing,TRUE,,,,,,,,,,,,
,,,,,goldmine_lvl2,,,,,5,,300,1,,,,,,,,,,,400,1000,15,,,,,450,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,goldmine_lvl3,,,,,15,,700,2,,,,,,,,,,,600,1500,25,,,,,500,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,goldmine_lvl4,,,,1,0,,1400,2,,,,,,,,,,,800,2500,40,,,,,550,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,goldmine_lvl5,,,,4,0,,3000,3,,,,,,,,,,,1000,10000,60,,,,10,590,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,goldmine_lvl6,,,,12,0,,7000,3,,,,,,,,,,,1300,20000,100,,,,12,610,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,goldmine_lvl7,,,1,0,0,,14000,4,,,,,,,,,,,1600,30000,160,,,,14,630,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,goldmine_lvl8,,,2,0,0,,28000,4,,,,,,,,,,,1900,50000,220,,,,16,660,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,goldmine_lvl9,,,3,0,0,,56000,5,,,,,,,,,,,2200,75000,300,,,,17,680,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,goldmine_lvl10,,,4,0,0,,84000,5,,,,,,,,,,,2500,100000,400,,,,19,710,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,goldmine_lvl11,,,5,0,0,,168000,7,,,,,,,,,,,3000,150000,500,,,,20,750,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Storage,TID_BUILDING_GOLD_STORAGE,TID_GOLD_STORAGE_INFO,Resource,sc/buildings.sc,gold_storage_lvl1,,gold_storage_const,,,15,Elixir,300,1,3,3,,gold_storage_upg,1500,,,,,,,,,,,,,400,30,,,,,,,,,Building Destroyed,,,,large_destructed_state2,2,2,gold_storage_lvl1_base,npc_gold_storage_lvl1_base,,,,,,,,,,,,,,,Gold Storage Pickup,Gold Storage Placing,,,,,,,,,,,,,
,,,,,gold_storage_lvl2,,,,,30,,750,2,,,,,3000,,,,,,,,,,,,,600,31,,,,,,,,,,,,,,,,gold_storage_lvl2_base,npc_gold_storage_lvl2_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl3,,,,1,0,,1500,2,,,,,6000,,,,,,,,,,,,,800,32,,,,,,,,,,,,,,,,gold_storage_lvl3_base,npc_gold_storage_lvl3_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl4,,,,2,0,,3000,3,,,,,12000,,,,,,,,,,,,,1000,33,,,,,,,,,,,,,,,,gold_storage_lvl4_base,npc_gold_storage_lvl4_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl5,,,,3,0,,6000,3,,,,,25000,,,,,,,,,,,,,1200,34,,,,,,,,,,,,,,,,gold_storage_lvl5_base,npc_gold_storage_lvl5_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl6,,,,4,0,,12000,3,,,,,50000,,,,,,,,,,,,,1500,35,,,,,,,,,,,,,,,,gold_storage_lvl6_base,npc_gold_storage_lvl6_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl7,,,,6,0,,25000,4,,,,,100000,,,,,,,,,,,,,1650,36,,,,,,,,,,,,,,,,gold_storage_lvl7_base,npc_gold_storage_lvl7_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl8,,,,8,0,,50000,4,,,,,250000,,,,,,,,,,,,,1740,37,,,,,,,,,,,,,,,,gold_storage_lvl8_base,npc_gold_storage_lvl8_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl9,,,,12,0,,100000,5,,,,,500000,,,,,,,,,,,,,1820,38,,,,,,,,,,,,,,,,gold_storage_lvl9_base,npc_gold_storage_lvl9_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl10,,,1,0,0,,250000,6,,,,,1000000,,,,,,,,,,,,,1920,39,,,,,,,,,,,,,,,,gold_storage_lvl10_base,npc_gold_storage_lvl10_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl11,,,2,0,0,,500000,7,,,,,2000000,,,,,,,,,,,,,2016,40,,,,,,,,,,,,,,,,gold_storage_lvl11_base,npc_gold_storage_lvl11_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrack,TID_BUILDING_BARRACK,TID_BARRACK_INFO,Army,sc/buildings.sc,barracks_lvl1,,barracks_const,,,1,Elixir,200,1,3,3,,barracks_upg,,,,,,,,,,20,,,,250,30,,,,,,,,,Building Destroyed,,,,wood_destructed_state2,2,2,barracks_base,npc_barracks_base,,,,,,,,,,,,,,,Training Barrack Pickup,Training Barrack Placing,TRUE,,,,,,,,,,,,
,,,,,barracks_lvl2,,,,,15,,1000,1,,,,,,,,,,,,,,25,,,,270,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,barracks_lvl3,,,,2,,,2500,1,,,,,,,,,,,,,,30,,,,280,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,barracks_lvl4,,,,4,0,,5000,2,,,,,,,,,,,,,,35,,,25,290,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,barracks_lvl5,,,,10,0,,10000,3,,,,,,,,,,,,,,40,,,,310,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,barracks_lvl6,,,,16,0,,80000,4,,,,,,,,,,,,,,45,,,,320,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,barracks_lvl7,,,1,0,0,,240000,5,,,,,,,,,,,,,,50,,,,340,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,barracks_lvl8,,,2,0,0,,700000,6,,,,,,,,,,,,,,55,,,,350,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,barracks_lvl9,,,4,0,0,,1500000,7,,,,,,,,,,,,,,60,,,,390,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,barracks_lvl10,,,6,0,0,,2000000,8,,,,,,,,,,,,,,75,,,,420,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory,TID_BUILDING_LABORATORY,TID_LABORATORY_INFO,Army,sc/buildings.sc,laboratory_lvl1,,laboratory_const,,,30,Elixir,25000,3,4,4,,laboratory_upg,,,,,,,,,,,,TRUE,,250,30,,,,,,,,,Building Destroyed,,,,wood_destructed_state4,3,3,laboratory_base,npc_laboratory_base,,,,,,,,,,,,,,,Training Barrack Pickup,Training Barrack Placing,TRUE,,,,,,,,,,,,
,,,,,laboratory_lvl2,,,,5,0,,50000,4,,,,,,,,,,,,,,,,,,270,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,laboratory_lvl3,,,,12,0,,90000,5,,,,,,,,,,,,,,,,,,280,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,laboratory_lvl4,,,1,0,0,,270000,6,,,,,,,,,,,,,,,,,,290,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,laboratory_lvl5,,,2,0,0,,540000,7,,,,,,,,,,,,,,,,,,310,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,laboratory_lvl6,,,4,0,0,,1080000,8,,,,,,,,,,,,,,,,,,330,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,laboratory_lvl7,,,5,0,0,,3000000,9,,,,,,,,,,,,,,,,,,350,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannon,TID_BUILDING_CANNON,TID_BASIC_TURRET_INFO,Defense,sc/buildings.sc,basic_turret_lvl1,,basic_turret_const,,,1,Gold,250,1,3,3,,basic_turret_upg,,,,,,,,,,,,,,400,30,900,,,800,9,,,,Building Destroyed,Cannon Attack,Generic Hit,Cannonball,gen_destructed_state2,2,2,basic_cannon_lvl1_base,npc_basic_cannon_lvl1_base,FALSE,TRUE,,,,,,,,,,,,,Basic Turret Pickup,Basic Turret Placing,TRUE,,,,,,,,,,,,
,,,,,basic_turret_lvl2,,,,,15,,1000,1,,,,,,,,,,,,,,,,,,450,31,,,,,11,,,,,Cannon Attack,,Cannonball2,,,,basic_cannon_lvl2_base,npc_basic_cannon_lvl2_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl3,,,,,45,,4000,2,,,,,,,,,,,,,,,,,,500,32,,,,,15,,,,,Cannon Attack,,Cannonball2,,,,basic_cannon_lvl3_base,npc_basic_cannon_lvl3_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl4,,,,2,0,,16000,3,,,,,,,,,,,,,,,,,,550,33,,,,,19,,,,,Cannon Attack,,Cannonball4,,,,basic_cannon_lvl4_base,npc_basic_cannon_lvl4_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl5,,,,6,0,,50000,4,,,,,,,,,,,,,,,,,,590,34,,,,,25,,,,,Cannon Attack Large,,Cannonball4,,,,basic_cannon_lvl5_base,npc_basic_cannon_lvl5_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl6,,,,12,0,,100000,5,,,,,,,,,,,,,,,,,,610,35,,,,,31,,,,,Cannon Attack Large,,Cannonball5,,,,basic_cannon_lvl6_base,npc_basic_cannon_lvl6_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl7,,,1,0,0,,200000,6,,,,,,,,,,,,,,,,,,630,36,,,,,40,,,,,Cannon Attack Large,,Cannonball5,,,,basic_cannon_lvl7_base,npc_basic_cannon_lvl7_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl8,,,2,0,0,,400000,7,,,,,,,,,,,,,,,,,,660,37,,,,,48,,,,,Cannon Attack Large,,Cannonball7,,,,basic_cannon_lvl8_base,npc_basic_cannon_lvl8_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl9,,,3,,0,,800000,8,,,,,,,,,,,,,,,,,,690,38,,,,,56,,,,,Cannon Attack Large,,Cannonball7,,,,basic_cannon_lvl9_base,npc_basic_cannon_lvl9_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl10,,,4,,0,,1600000,8,,,,,,,,,,,,,,,,,,750,39,,,,,65,,,,,Cannon Attack Large,,Cannonball10,,,,basic_cannon_lvl10_base,npc_basic_cannon_lvl10_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl11,,,5,,0,,3200000,9,,,,,,,,,,,,,,,,,,900,40,,,,,75,,,,,Cannon Attack Large,,Cannonball10,,,,basic_cannon_lvl11_base,npc_basic_cannon_lvl11_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer Tower,TID_BUILDING_ARCHER_TOWER,TID_ARCHER_TOWER_INFO,Defense,sc/buildings.sc,tower_turret_lvl1,,tower_turret_const,,,15,Gold,1000,2,3,3,,tower_turret_upg,,,,,,,,,,,,,,400,30,1000,,,1000,11,,,,Building Destroyed,Archer Attack,Generic Hit,Tower Arrow,wood_destructed_state2,2,2,defense_tower_turret_base,npc_defense_tower_turret_base,TRUE,TRUE,,,,,,,,,,,,,Tower Turret Pickup,Tower Turret Placing,,Archer,1,180,,,,,,,,,
,,,,,tower_turret_lvl2,,,,,30,,2000,2,,,,,,,,,,,,,,,,,,450,31,,,,,15,,,,,,Generic Hit,Tower Arrow,,,,,,,,,,,,,,,,,,,,,,,Archer,1,,,,,,,,,,
,,,,,tower_turret_lvl3,,,,,45,,5000,3,,,,,,,,,,,,,,,,,,500,32,,,,,19,,,,,,Generic Hit,Tower Arrow,,,,,,,,,,,,,,,,,,,,,,,Archer,1,,,,,,,,,,
,,,,,tower_turret_lvl4,,,,4,0,,20000,4,,,,,,,,,,,,,,,,,,550,33,,,,,25,,,,,,Generic Hit,Tower Arrow Fire,,,,,,,,,,,,,,,,,,,,,,,Archer,2,,,,,,,,,,
,,,,,tower_turret_lvl5,,,,12,0,,80000,5,,,,,,,,,,,,,,,,,,590,34,,,,,30,,,,,,Generic Hit,Tower Arrow Fire,,,,,,,,,,,,,,,,,,,,,,,Archer2,2,,,,,,,,,,
,,,,,tower_turret_lvl6,,,1,0,0,,180000,5,,,,,,,,,,,,,,,,,,610,35,,,,,35,,,,,,Generic Hit,Tower Arrow Fire,,,,,,,,,,,,,,,,,,,,,,,Archer2,2,,,,,,,,,,
,,,,,tower_turret_lvl7,,,3,0,0,,360000,6,,,,,,,,,,,,,,,,,,630,36,,,,,42,,,,,,Generic Hit,Tower Arrow ElixFire,,,,,,,,,,,,,,,,,,,,,,,Archer2,3,,,,,,,,,,
,,,,,tower_turret_lvl8,,,4,0,0,,720000,7,,,,,,,,,,,,,,,,,,660,37,,,,,48,,,,,,Generic Hit,Tower Arrow ElixFire,,,,,,,,,,,,,,,,,,,,,,,Archer3,3,,,,,,,,,,
,,,,,tower_turret_lvl9,,,5,0,0,,1500000,8,,,,,,,,,,,,,,,,,,690,38,,,,,56,,,,,,Generic Hit,Tower Arrow ElixFire,,,,,,,,,,,,,,,,,,,,,,,Archer3,3,,,,,,,,,,
,,,,,tower_turret_lvl10,,,6,0,0,,2500000,8,,,,,,,,,,,,,,,,,,720,39,,,,,65,,,,,,Explosive Arrow,Tower Arrow ElixFire,,,,,,,,,,,,,,,,,,,,,,,Archer3,3,,,,,,,,,,
,,,,,tower_turret_lvl11,,,7,0,0,,5000000,9,,,,,,,,,,,,,,,,,,750,39,,,,,75,,,,,,Explosive Arrow,Tower Arrow DarkElixFire,,,,,,,,,,,,,,,,,,,,,,,Archer6,3,,,,,,,,,,
Wall,TID_BUILDING_WALL,TID_WALL_INFO,Wall,sc/buildings.sc,defense_wall_lvl1,,dummy_particle,,,0,Gold,200,2,1,1,,dummy_particle,,,,,,,,,,,,,,300,30,,,,,,,,,Building Destroyed,,,,wall_destructed_state1,,,,,,,,,,,,,,,,,,,Weak Wall Pickup,Weak Wall Placing,,,,,,,,,,,,,
,,,,,defense_wall_lvl2,,,,,0,,1000,2,1,1,,,,,,,,,,,,,,,,500,31,,,,,,,,,Building Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl3,,,,,0,,5000,3,1,1,,,,,,,,,,,,,,,,700,32,,,,,,,,,Building Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
