TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP
TID_ACHIEVEMENT_DESTROY_BUILDER,Destroy <number> Builder's Huts in Multiplayer battles,Détruisez <number> cabanes d´ouvrier lors de batailles Multijoueur,Zerstöre <number> Bauhütten bei Mehrspieler-Kämpfen,Destruye <number> cabañas de constructores en batallas multijugador,Distruggi <number> Capanne del muratore in battaglie multigiocatore,Vernietig <number> bouwhutten in multiplayergevechten,Ødelegg <number> byggerhytter i slag med flere spillere,Destrua <number> Cabanas do Construtor em batalhas multiplayer,Çoklu oyuncu savaşlarında <number> İnşaatçı Kulübesi yok et,マルチプレイバトルで<number>つのビルダーの小屋を破壊しました
TID_ACHIEVEMENT_DESTROY_BUILDER_TITLE,Union Buster,Démolisseur de syndicats,Gewerkschaftssprenger,Anti-gremios,Vietate le unioni,Eenheidknaller,Unionsbryter,Detonador de uniões,Birlik İmhacısı,ユニオンバスター
TID_ACHIEVEMENT_DESTROY_MORTARS,Destroy <number> Mortars in Multiplayer battles,,,,,,,,,
TID_ACHIEVEMENT_DESTROY_MORTARS_TITLE,Mortar Mauler,,,,,,,,,
TID_ACHIEVEMENT_DESTROY_TOWNHALL,Destroy <number> Town Halls in Multiplayer battles,Détruisez <number> Hôtels de ville lors de batailles Multijoueur,Zerstöre <number> Rathäuser bei Mehrspieler-Kämpfen,Destruye <number> ayuntamientos en batallas multijugador,Distruggi <number> Municipi in battaglie multigiocatore,Vernietig <number> stadhuizen in multiplayergevechten,Ødelegg <number> rådhus i slag med flere spillere,Destrua <number> Centros da Vila em batalhas multiplayer,Çoklu oyuncu savaşlarında <number> Belediye Binası yok et,マルチプレイバトルで<number>つのタウンホールを破壊しました
TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE,Humiliator,Destruction,Erniedriger,Humillador,Umiliazione,Vernederaar,Fornedrer,Humilhador,Aşağılayıcı,ならず者
TID_ACHIEVEMENT_DESTROY_WALLS,Destroy <number> Walls in Multiplayer battles,Détruisez <number> murs lors de batailles Multijoueur,Zerstöre <number> Mauern bei Mehrspieler-Kämpfen,Destruye <number> muros en batallas multijugador,Distruggi <number> Mura in battaglie multigiocatore,Vernietig <number> muren in multiplayergevechten,Ødelegg <number> vegger i slag med flere spillere,Destrua <number> muros em batalhas multiplayer,Çoklu oyuncu savaşlarında <number> Duvar yok et,マルチプレイバトルで<number>つの壁を破壊しました
TID_ACHIEVEMENT_DESTROY_WALLS_TITLE,Wall Buster,Destructeur de murs,Mauermeister,Revienta muros,Spacca pareti,Muurknaller,Murbrekker,Detonador de muros,Duvar İmhacısı,ウォールバスター
TID_ACHIEVEMENT_DONATE_UNITS,Donate <number> Clan Castle capacity worth of reinforcements,Faites don de <number> troupes de renfort.,Spende <number> Clanburgkapazität an Verstärkungstruppen,Dona <number> tropas del Castillo del Clan a los aliados.,Dona <number> truppe di rinforzo al Castello del clan,Doneer <number> clankasteelcapaciteit om versterkingen te huisvesten,Doner forsterkninger verdt <number> fulle klanslott,Doar <number> unidades em capacidade do Castelo do Clã,<number> Klan Kalesi kapasitesinde takviye asker bağışı yap,援軍に<number>のクラン砦キャパシティをつぎ込みます。
TID_ACHIEVEMENT_DONATE_UNITS_TITLE,Friend in Need,Ami dans le besoin,Freund in Not,Amigo en apuros,Un amico in difficoltà,Behoeftige vrienden,Venner i nød,Amigo em apuros,Muhtaç Arkadaş,助けが必要な友達
TID_ACHIEVEMENT_GOLDSTORAGE_TITLE,Bigger Coffers,Réserves infinies,Mehr Volumen,Cofres más grandes,Casse più grandi,Grotere schatkisten,Større lagre,Cofres Maiores,Daha Büyük Kasalar,大きな金庫
TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE,Upgrade a Gold Storage to level <number>,Améliorez une Réserve d´or au niveau <number>,Verbessere ein Goldlager auf Level <number>,Mejora un almacén de oro al nivel <number>,Migliora un Deposito d'oro fino al livello <number>,Upgrade een gouddepot naar level <number>,Oppgrader et gullager til nivå <number>,Atualize uma Armazenagem de Ouro para o nível <number>,Bir Altın Deposunu <number>. seviyesine yükselt,ゴールド貯蔵庫をレベル<number>にアップグレードしましょう
TID_ACHIEVEMENT_LOOT_DARK_ELIXIR,Steal <number> Dark Elixir,,,,,,,,,
TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_TITLE,Heroic Heist,,,,,,,,,
TID_ACHIEVEMENT_LOOT_ELIXIR,Steal <number> elixir,Volez <number> élixirs,Stehle <number> Elixier,Roba <number> elixires,Ruba <number> elisir,Steel <number> elixir,Stjel <number> eliksir,Roubar <number> elixir,<number> iksir çal,<number>エリクサーを盗みましょう
TID_ACHIEVEMENT_LOOT_ELIXIR_TITLE,Elixir Escapade,Voleur d´élixir,Elixier-Streich,Ladrón de elixir,Fuga con elisir,Elixirescapade,Eliksireskapade,Fuga do Elixir,İksir Macerası,エリクサー漏出
TID_ACHIEVEMENT_LOOT_GOLD,Steal <number> gold,Volez <number> d´or,Stehle <number> Gold,Roba <number> oros,Ruba <number> oro,Steel <number> goud,Stjel <number> gull,Roubar <number> ouro,<number> altın çal,<number>ゴールドを盗みましょう
TID_ACHIEVEMENT_LOOT_GOLD_TITLE,Gold Grab,Ruée vers l´or,Goldjagd,Ladrón de oro,Cercatore d'oro,Goudgraai,Gullfangst,Captura do Ouro,Altın Kapmaca,ゴールド強奪
TID_ACHIEVEMENT_NPC_STARS,Win <number> stars on the Campaign Map,Gagnez <number> étoiles sur la Carte de la campagne,Gewinne <number> Sterne auf der Kampagnenkarte,Gana <number> estrellas en el mapa de la campaña.,Vinci <number> stelle sulla Mappa campagna,Win <number> sterren op de Campagnekaart,Vinn <number> stjerner på kampanjekartet,Ganhe <number> estrelas no mapa de campanha,Senaryo Haritası üzerinde <number> yıldız kazan,キャンペーンマップ上でスターを<number>つ勝ち取りました
TID_ACHIEVEMENT_NPC_STARS_TITLE,Get those Goblins!,Attrapez ces Gobelins !,Schnapp dir diese Kobolde!,¡Alcanza a esos duendes!,Prendi quei goblin!,Pak die gobelins!,Ta disse nissene!,Pegue aqueles Goblins!,Şu Goblinleri yakala!,ゴブリンたちを捕獲しましょう！
TID_ACHIEVEMENT_PVP_ATTACKS,Win <number> Multiplayer battles,Gagnez <number> batailles Multijoueur,Gewinne <number> Mehrspieler-Kämpfe,Gana <number> batallas multijugador,Vinci <number> battaglie multigiocatore,Win <number> multiplayergevechten,Vinn <number> slag med flere spillere,Vença <number> batalhas multiplayer,<number> çoklu oyuncu savaşı kazan,<number>マルチプレイバトルに勝利
TID_ACHIEVEMENT_PVP_ATTACKS_TITLE,Conqueror,Conquérant,Eroberer,Conquistador,Conquistatore,Veroveraar,Erobrer,Conquistador,Fatih,征服者
TID_ACHIEVEMENT_PVP_DEFENSES,Successfully defend against <number> attacks,Défendez contre <number> attaques,Verteidige dich erfolgreich gegen <number> Angriffe,Has defendido con éxito <number> ataques,Difenditi con successo da <number> attacchi,<number> aanvallen succesvol afgewend,Vellykket forsvar mot <number> angrep,Defenda-se com sucesso contra <number> ataques,<number> saldırıya karşı başarıyla savun,<number>攻撃から防御しました
TID_ACHIEVEMENT_PVP_DEFENSES_TITLE,Unbreakable,Incassable,Unzerstörbar,Irrompible,Indistruttibile,Onbreekbaar,Uknuselig,Indestrutível,Kırılamaz,破壊不能
TID_ACHIEVEMENT_REWARD_CLAIMED,Achievement completed! You received <number> gems.,Succès terminé ! Vous avez reçu <number> gemmes.,Errungenschaft erzielt! Du hast <number> Juwelen erhalten.,¡Logro completado! Has recibido <number> gemas,Obiettivo completato! Hai ricevuto <number> gemme.,Prestatie voltooid! Je hebt <number> edelstenen ontvangen.,Prestasjon fullført! Du mottok <number> smykker.,Conquista completa! Você recebeu <number> gemas.,Başarı tamamlandı! <number> taş kazandın.,成績をコンプリートしました！<number>つのジェムを受け取りました。
TID_ACHIEVEMENT_TOWN_HALL,Upgrade Town Hall to level <number>,Améliorer l´Hôtel de ville au niveau <number>,Verbessere das Rathaus auf Level <number>,Mejora el ayuntamiento al nivel <number>,Migliora il Municipio fino al livello <number>,Upgrade het stadhuis naar level <number>,Oppgrader rådhuset til nivå <number>,Atualize o Centro da Vila para o nível <number>,Belediye Binasını <number>. Seviyeye yükselt,タウンホールをレベル<number>にアップグレードしましょう
TID_ACHIEVEMENT_TOWN_HALL_TITLE,Bigger & Better,Toujours plus grand,Größer & besser,Más grande y mejor,"Più grande è, meglio è",Groter en beter,Større og bedre,Maior e melhor,Daha Büyük ve Daha İyi,大きくて良い感じです
TID_ACHIEVEMENT_UNIT_UNLOCK,Unlock <name> in the Barracks,Débloquez <name> dans la Caserne,Schalte <name> in der Kaserne frei,Desbloquea <name> en las barracas,Sblocca <name> nelle Caserme,Ontgrendel <name> in de kazerne,Lås opp <name> i brakkene,Desbloqueie <name> no Quartel,Kışla'da şunun kilidini açın: <name>,バラックの<name>のロックを解除しましょう
TID_ACHIEVEMENT_UNIT_UNLOCK_TITLE,Release the Beasts,Lâchez les fauves,Lass die Bestien frei,Libera a las bestias,Libera le bestie,Laat de monsters los,Slipp ut beistene,Solte as Feras,Yaratıkları Salın,ビーストを解放しましょう
TID_ACHIEVEMENT_VICTORY_POINTS,Achieve a total of <number> trophies in Multiplayer battles,Remportez un total de <number> trophées lors de batailles multijoueur,Erreiche insgesamt <number> an Trophäen in Mehrspielerkämpfen,Consigue un total de <number> trofeos en las batallas multijugador,Ottieni un totale di <number> trofei nelle battaglie multigiocatore,Bereik <number> trofeeën in totaal in multiplayergevechten,Oppnå i alt <number> trofeer i slag med flere spillere,Atinja um total de <number>troféus em batalhas Multiplayer,Çoklu oyuncu savaşlarında toplam <number> adet kupa kazan,マルチプレイバトルで合計<number>個のトロフィーを獲得しました。
TID_ACHIEVEMENT_VICTORY_POINTS_TITLE,Sweet Victory!,Le goût de la victoire,Süßer Sieg!,¡Dulce victoria!,Dolce vittoria!,Zoete overwinning!,Søt seier!,Doce vitória!,Tatlı Zafer!,胸のすく勝利！
TID_ADD_FRIENDS_INFO,Game Center friends appear when you're logged into Game Center,Vos amis du Game Center apparaissent lorsque vous êtes connecté.,"Game Center Freunde erscheinen, wenn du bei Game Center angemeldet bist",Los amigos del Game Center aparecen cuando inicias sesión en el Game Center,Gli amici del Game Center appaiono quando hai effettuato l'accesso a Game Center,Game Center-vrienden verschijnen als je bent aangemeld op Game Center,Game Center-venner dukker opp når du er pålogget Game Center,Os amigos do Game Center aparecem quando você está conectado ao Game Center,"Oyun Merkezi arkadaşları, Oyun Merkezi'nde oturum açtığında görünürler",Game Centerにログインした時に、Game Centerの友達が現れました。
TID_AIR_DEFENSE_INFO,"This anti-air tower is deadly against flying enemies, but can't target foes on the ground. Place it wisely to cover as much airspace as possible.","La tour de défense antiaérienne est mortelle contre les ennemis volants, mais elle ne peut viser les ennemis au sol. Positionnez-la judicieusement afin de couvrir une surface aérienne maximale.","Dieser Luftverteidigungsturm ist tödlich für fliegende Feinde, kann aber keine Feinde auf dem Boden anvisieren. Platziere ihn klug, um so viel Luftraum wie möglich abzudecken.","Esta torre antiaérea es letal contra enemigos voladores, pero no puede atacar a los terrestres. Colócala sabiamente para cubrir el máximo espacio aéreo posible.","Questa torre antiaerea è letale contro i nemici volanti, ma non può colpire i nemici a terra. Posizionala con attenzione in modo da coprire uno spazio aereo il più ampio possibile.","Deze magische toren is dodelijk voor vliegende vijanden, maar richt niets uit tegen grondtroepen. Zet ze zo neer dat ze zoveel mogelijk luchtruimte bestrijken.","Dette luftforsvarstårnet er dødelig mot flygende fiender, men kan ikke rettes mot opponenter på bakken. Plasser det med omtanke for å dekke mest mulig luftrom.","Esta torre antiaérea é mortal contra inimigos voadores, mas não pode atingir inimigos em solo. Posicione-a sabiamente para cobrir o maior espaço aéreo possível.","Bu uçarsavar kulesi uçan düşmanları telef eder, ancak yerdeki kötüleri hedef alamaz. Havada olabildiğinde geniş bir alanı kapsaması için akıllıca yerleştir.",この対空タワーは飛行する敵に対し破壊的な攻撃を加えますが、地上の敵をターゲットにすることはできません。広範囲の空間を抑えられるように賢く配置してください。
TID_ALLIANCE_ACCEPTED_BY,Accepted by <name>,Accepté par <name>,Angenommen von <name>,Aceptado por <name>,Accettato da <name>,Geaccepteerd door <name>,Godtatt av <name>,Aceito por <name>,<name> kabul etti,<name>が承認しました。
TID_ALLIANCE_BADGE_BROWSE,Browse,Parcourir,Durchsuchen,Buscar,Naviga,Snuffelen,Søk,Procurar,Gözat,閲覧
TID_ALLIANCE_BUTTON_EDIT,Edit,Modifier,Bearbeiten,Editar,Modifica,Bewerken,Rediger,Editar,Düzenle,やめる
TID_ALLIANCE_BUTTON_LEAVE,Leave,Quitter,Verlassen,Dejar,Abbandona,Verlaten,Forlat,Deixar,Ayrıl,退会
TID_ALLIANCE_BUTTON_SEARCH,Search,Rechercher,Suche,Buscar,Cerca,Zoeken,Søk,Buscar,Ara,検索
TID_ALLIANCE_CASTLE_INFO,"The Clan Castle houses any reinforcement troops sent by your clanmates. If it's destroyed, any troops still inside are trapped there until the end of the battle.","Le château de clan abrite les troupes de renforts envoyées par les membres de votre clan. S'il est détruit, toutes les troupes s'y trouvant toujours seront piégées jusqu'à la fin de la bataille.","Die Clanburg beherbergt die Verstärkungstruppen, die von deinen Clanbrüdern geschickt werden. Sollte die Burg zerstört werden, wenn sich noch Truppen in ihrem Innern aufhalten, werden diese bis zum Ende des Kampfes gefangen sein.","El Castillo del clán da cobijo a las tropas enviadas por tus clanes amigos. Si es destruido, cualquier tropa que esté dentro estará atrapada allí hasta el final de la batalla.","Il Castello del clan ospita tutte le truppe di rinforzo inviate dai tuoi amici del clan. Se questo viene distrutto, le truppe ancora al suo interno rimarranno intrappolate fino al termine della battaglia.","Het clankasteel herbergt versterkende troepen die door je clangenoten zijn gestuurd. Als het kasteel wordt vernietigd, zitten alle troepen die zich nog in het kasteel bevinden tot aan het einde van het gevecht vast.","Klanslottet huser eventuelle forsterkninger som medspillerne din har sendt. Hvis det blir ødelagt, vil soldater som er inne i slottet være fanget der til slaget er over.","O Castelo do Clã abriga quaisquer tropas de reforço enviadas por seu colegas de clã. Caso seja destruído, as tropas ainda no interior ficam presas até o final da batalha.","Klan Kalesi, klan arkadaşlarının gönderdiği takviye askerleri barındırır. Yok edilirse, içinde kalan askerlerin tümü savaş sonuna kadar orada kalır.",クラン砦にはクランメイトから送られた援軍が駐在しています。クラン砦が破壊されてしまうと、そこにいる軍隊はバトルが終了するまで外に出られません。
TID_ALLIANCE_CREATE_BADGE,Symbol:,Symbole :,Symbol:,Símbolo:,Simbolo:,Symbool:,Symbol:,Símbolo:,Simge:,シンボル：
TID_ALLIANCE_CREATE_DESCRIPTION,Description:,Description :,Beschreibung:,Descripción:,Descrizione:,Beschrijving:,Beskrivelse:,Descrição:,Açıklama:,説明：
TID_ALLIANCE_CREATE_NAME,Clan Name:,Nom du clan :,Clanname:,Nombre del clan:,Nome clan:,Clannaam:,Klannavn:,Nome do Clã:,Klan Adı:,クラン名：
TID_ALLIANCE_CREATE_OK,You have successfully founded a new clan!,La création de votre clan a réussi !,Du hast erfolgreich einen neuen Clan gegründet!,¡Has fundado con éxito un nuevo clan!,Hai fondato un nuovo clan!,Je hebt een nieuwe clan opgezet!,Du har med hell grunnlagt en ny klan!,Você fundou um novo clã com sucesso!,Başarıyla yeni bir klan kurdun!,新たにクランを作成しました！
TID_ALLIANCE_CREATE_TROPHY_COUNT,Minimum trophies to join:,Nombre de trophées minimum pour rejoindre le clan :,Mindestmenge Trophäen für Beitritt:,Trofeos mínimos para unirse:,Numero minimo di trofei per entrare:,Minimum aantal trofeeën om deel te nemen:,Minimum troféer for å bli med:,Mínimo de troféus para participar:,Katılmak için gereken minimum ödül:,加入するための最低トロフィー：
TID_ALLIANCE_CREATE_TYPE,Clan Type:,Type de clan :,Clanart:,Tipo de clan:,Tipo di Clan:,Clantype:,Klantype:,Tipo de Clã:,Klan Türü:,クランタイプ：
TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE,I'd like to join your clan,Salut ! Je voudrais rejoindre ton clan,"Hey, ich möchte deinem Clan beitreten","Hola, me gustaría unirme a tu clan.","Ehi, mi piacerebbe unirmi al tuo clan","Hoi, kom je bij mijn clan?","Hei, jeg vil delta i klanen din","Ei, eu gostaria de me juntar ao seu clã","Hey, klanına katılmak istiyorum",クランに加入させてください。
TID_ALLIANCE_DEMOTE_BUTTON,Demote to <role>,Dégrader,Degradieren zu <role>,Descendido a <role>,Degrada a <role>,Degraderen naar <role>,Degrader til <role>,Rebaixar a <role>,Tenzil: <role>,<role>に降格
TID_ALLIANCE_DONATE_HEADER,Donate Troops,Faire un don de troupes,Truppen überlassen,Donar tropas,Dona truppe,Troepen doneren,Doner soldater,Doar tropas,Asker Bağışı Yap,援軍を送る
TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE,Player has already joined a clan!,Ce joueur a déjà rejoint un clan !,Spieler ist dem Clan bereits beigetreten!,¡El jugador ya se ha unido a un clan!,Il giocatore si è già unito a un clan!,De speler zit al bij een clan!,Spilleren deltar allerede i en klan!,Jogador já se juntou a um clã!,Oyuncu zaten bir klana üye!,プレイヤーはすでにクランに加入しています。
TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE,You have already invited that player!,Vous avez déjà invité ce joueur !,Du hast diesen Spieler bereits eingeladen!,¡Ya has invitado a ese jugador!,Hai già invitato questo giocatore!,Je hebt die speler al uitgenodigd!,Du har allerede invitert den spilleren!,Você já convidou o jogador!,Bu oyuncuyu zaten davet ettin!,このプレイヤーはすでに招待しています。
TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE,"Can't invite, player does not have a Clan Castle!",Invitation impossible. Ce joueur ne possède pas de château de clan !,"Einladung nicht möglich, Spieler hat keine Clanburg!",No se puede invitar: el jugador no tiene ningún castillo del clan.,"Non puoi mandare un invito, il giocatore non ha un Castello!","Uitnodigen niet mogelijk, de speler heeft geen clankasteel!","Kan ikke invitere, spilleren har ikke noe klanslott!","Não é possível convidar, o jogador não tem um Castelo de Clã!",Davet edilemez; oyuncunun Klan Kalesi yok!,プレイヤーはクラン砦を所有していないため、招待できません。
TID_ALLIANCE_INVITATION_OK,Invite sent successfully.,L'invitation a bien été envoyée.,Einladung erfolgreich gesandt.,Invitación enviada con éxito.,Invito spedito con successo.,Uitnodiging verstuurd.,Invitt vellykket sendt.,Convite enviado com sucesso.,Davet başarıyla gönderildi.,招待しました。
TID_ALLIANCE_JOIN_BUTTON,Join,Rejoindre,Beitreten,Unirse,Unisciti,Meedoen,Delta,Juntar,Katıl,加入
TID_ALLIANCE_JOIN_OK,You are now a member of clan <name>!,Vous faites désormais partie du clan <name> !,Du bist jetzt Mitglied von Clan <name>!,¡Ahora eres miembro del clan <name>!,Ora fai parte del clan <name>!,Je bent nu lid van clan <name>!,Du er nå et medlem i <name>-klanen!,Agora você é um membro do clã <name>!,Artık <name> klanının üyesisin!,現在、クラン<name>のメンバーです。
TID_ALLIANCE_LEADERBOARDS,Top Clans,Meilleurs clans,Beste Clans,Mejores clanes,Migliori clan,Beste clans,Toppklaner,Melhores Clãs,En İyi Klanlar,トップクラン
TID_ALLIANCE_LEAVE_CONFIRMATION,Do you really want to leave?,Voulez-vous vraiment quitter le clan ?,Möchtest du wirklich gehen?,¿Seguro que quieres salir?,Vuoi veramente andartene?,Wil je de clan echt verlaten?,Vil du virkelig forlate?,Você realmente quer ir embora?,Gerçekten ayrılmak istiyor musun?,本当に退会しますか？
TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE,Leave Clan?,Quitter le clan ?,Clan verlassen?,¿Dejar clan?,Abbandonare il clan?,Clan verlaten?,Forlate klanen?,Deixar Clã?,Klandan ayrıl?,クランを退会しますか？
TID_ALLIANCE_LIST_HEADER,Clan,Clan,Clan,Clan,Clan,Clan,Klan,Clã,Klan,クラン
TID_ALLIANCE_MAIN_BUTTON,Clan,Clan,Clan,Clan,Clan,Clan,Klan,Clã,Klan,クラン
TID_ALLIANCE_PROMOTE_BUTTON,Promote to <role>,Promouvoir : <role>,Befördern zu <role>,Asciende a <role>,Promuovi a <role>,Promoveren naar <role>,Forfrem til <role>,Promover a <role>,Terfi: <role>,<role>に昇格
TID_ALLIANCE_REJECTED_BY,Rejected by <name>,Rejeté par <name>,Abgelehnt von <name>,Rechazado por <name>,Rifiutato da <name>,Geweigerd door <name>,Avslått av <name>,Rejeitado por <name>,<name> reddetti,<name>が拒否しました。
TID_ALLIANCE_REJECT_DEFAULT_MESSAGE,"Sorry, we decided not to let you into the clan.","Désolé, nous avons décidé de ne pas vous accepter dans notre clan.","Tut uns leid, wir haben uns gegen deinen Beitritt in den Clan entschieden.","Lo sentimos, hemos decidido no permitir que te unas al clan.","Spiacenti, abbiamo deciso di non accettarti nel clan.","Sorry, we hebben besloten je niet te accepteren.","Beklager, vi har bestemt å ikke slippe deg inn i klanen.","Desculpe, nós decidimos não permitir que você participe do clã.","Üzgünüz, klana girmenize izin vermemeye karar verdik.",申し訳ございませんが、クランへ加入して頂くことができません。
