Name,ParticleCount,EmissionTime,MinLife,MaxLife,MinHorizAngle,MaxHorizAngle,MinVertAngle,MaxVertAngle,MinSpeed,MaxSpeed,StartX,StartY,StartZ,TargetedEndZ,Gravity,OrientToMovement,OrientToParentType,BounceFromGround,IsIsoParticle,IsoLayer,ParticleSwf,ParticleExportName,AdditiveBlend,Inertia,Slowdown,StartScale,EndScale,MinRotate,MaxRotate,ParticleFadeOutTime,ScaleTimeline,FadeInTime,FadeOutTime,StartAngleMin,StartAngleMax,ScaleRandomMin,ScaleRandomMax,Alpha,OrientToParent,StartRadiusMin,StartRadiusMax,StartRadius
AirDefence1_hit1,3,300,250,300,0,360,0,90,20,50,0,0,0,0,-60,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,fireball3b,TRUE,20,0,1,90,-5,5,100,TRUE,0,0,0,0,100,100,100,,30,30,
AirDefence1_hit2,10,2,800,1500,0,360,0,90,600,1500,0,0,0,0,1000,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,fireball3b,TRUE,23,0,7,9,0,90,2000,TRUE,0,0,0,0,100,100,100,,1,1,
AirDefence1_hit3,1,300,600,1200,0,360,0,0,1,1,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,wizard_tower_explosion,TRUE,20,0,20,100,-10,10,500,TRUE,0,0,0,0,100,100,100,,0,0,
AirDefence2_hit1,4,300,250,300,0,360,0,90,20,50,0,0,0,0,-60,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,fireball3b,TRUE,20,0,1,125,-5,5,100,TRUE,0,0,0,0,100,100,100,,30,30,
AirDefence2_hit2,15,2,500,1500,0,360,0,90,600,1500,0,0,0,0,1000,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,fireball3b,TRUE,23,0,7,9,0,90,2000,TRUE,0,0,0,0,100,100,100,,1,1,
AirDefence2_hit3,1,500,600,1200,0,360,0,0,1,1,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,wizard_tower_explosion,TRUE,20,0,20,110,-10,10,300,TRUE,0,0,0,0,100,100,100,,0,0,
AirDefence2_hit4,3,500,450,500,0,360,0,0,1,1,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,wizard_tower_explosion,TRUE,20,0,20,110,-10,10,400,TRUE,0,0,0,0,100,100,100,,60,60,
AirDefence3_hit1,5,400,250,300,0,360,0,90,20,50,0,0,0,0,-60,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,fireball3b,TRUE,20,0,1,150,-5,5,100,TRUE,0,0,0,0,100,100,100,,40,40,
AirDefence3_hit2,20,2,500,1500,0,360,0,90,600,1500,0,0,0,0,1000,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,fireball3b,TRUE,23,0,7,9,0,90,2000,TRUE,0,0,0,0,100,100,100,,1,1,
AirDefence3_hit3,1,900,600,1200,0,360,0,0,1,1,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,wizard_tower_explosion,TRUE,20,0,20,120,-10,10,300,TRUE,0,0,0,0,100,100,100,,0,0,
AirDefence3_hit4,5,900,450,500,0,360,0,0,1,1,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,wizard_tower_explosion,TRUE,20,0,20,120,-10,10,400,TRUE,0,0,0,0,100,100,100,,85,85,
AirDefenceMini1_hit1,3,150,250,300,0,360,0,90,10,25,0,0,0,0,-60,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,fireball3b,TRUE,20,0,1,20,-5,5,100,TRUE,0,0,0,0,100,100,100,,10,10,
AirDefenceMini1_hit2,5,2,800,1500,0,360,0,90,300,750,0,0,0,0,1000,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,fireball3b,TRUE,23,0,3,5,0,90,2000,TRUE,0,0,0,0,100,100,100,,1,1,
AirDefenceMini1_hit3,1,150,600,1200,0,360,0,0,1,1,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,wizard_tower_explosion,TRUE,20,0,10,30,-10,10,500,TRUE,0,0,0,0,100,100,100,,0,0,
AirDefenceMini2_hit1,4,150,250,300,0,360,0,90,10,25,0,0,0,0,-60,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,fireball3b,TRUE,20,0,1,40,-5,5,100,TRUE,0,0,0,0,100,100,100,,10,10,
AirDefenceMini2_hit2,7,2,500,1500,0,360,0,90,300,750,0,0,0,0,1000,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,fireball3b,TRUE,23,0,3,5,0,90,2000,TRUE,0,0,0,0,100,100,100,,1,1,
AirDefenceMini2_hit3,1,250,600,1200,0,360,0,0,1,1,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,wizard_tower_explosion,TRUE,20,0,10,30,-10,10,300,TRUE,0,0,0,0,100,100,100,,0,0,
AirDefenceMini2_hit4,3,250,450,500,0,360,0,0,1,1,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,wizard_tower_explosion,TRUE,20,0,10,30,-10,10,400,TRUE,0,0,0,0,100,100,100,,10,10,
AirDefenceMini3_hit1,5,200,250,300,0,360,0,90,10,25,0,0,0,0,-60,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,fireball3b,TRUE,20,0,1,40,-5,5,100,TRUE,0,0,0,0,100,100,100,,10,10,
AirDefenceMini3_hit2,5,2,500,1500,0,360,0,90,300,750,0,0,0,0,1000,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,fireball3b,TRUE,23,0,3,5,0,90,2000,TRUE,0,0,0,0,100,100,100,,1,1,
AirDefenceMini3_hit3,1,250,600,1200,0,360,0,0,1,1,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,wizard_tower_explosion,TRUE,20,0,10,30,-10,10,300,TRUE,0,0,0,0,100,100,100,,0,0,
AirDefenceMini3_hit4,5,250,450,500,0,360,0,0,1,1,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,wizard_tower_explosion,TRUE,20,0,10,30,-10,10,400,TRUE,0,0,0,0,100,100,100,,10,10,
AirDefenseBarrel_bomb_area,1,100,400,600,0,0,0,0,1,10,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,damage_radius_bomb,TRUE,100,0,150,160,0,0,1000,TRUE,0,0,0,0,100,100,80,,0,0,
AirDefenseBarrel_dustring,5,1,400,800,0,360,10,10,300,750,0,0,30,0,-5,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,d5,FALSE,60,0,20,30,-50,50,500,TRUE,0,0,0,0,100,100,100,,50,50,
AirDefenseBarrel_Fire_balls,5,2,800,1500,0,360,0,90,600,1500,0,0,30,0,1000,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,fireball3b,TRUE,15,0,8,10,0,90,1500,TRUE,0,0,0,0,100,100,100,,40,40,
AirDefenseBarrel_Fire_explosion,1,1,200,300,0,90,-20,-20,20,50,0,0,70,0,-60,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,FireParticle1,TRUE,20,0,120,120,-5,5,100,TRUE,0,0,0,0,100,100,100,,80,80,
,,,,,,,,,,,,,,,,,,,,,,FireParticle2,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,FireParticle3,TRUE,,,,,,,,,,,,,,,,,,,
AirDefenseBarrel_flash,2,150,150,150,0,0,0,0,0,0,0,0,30,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,spell_range_marker_3,TRUE,0,0,10,200,0,0,100,TRUE,0,0,0,0,100,100,100,,0,0,
AirDefenseBarrel_mushcloud,2,100,700,1500,0,360,45,90,4000,5000,0,0,0,0,-800,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,smoke01,FALSE,100,0,150,250,0,0,800,TRUE,0,0,-90,90,80,120,100,,0,0,
AirDefenseBarrel_spark,25,0,500,1000,0,360,30,90,500,1000,0,0,30,0,1500,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,spark_flame,TRUE,30,20,155,10,-5,5,600,FALSE,0,600,0,0,100,100,100,,10,10,
Apprentice_Warden_projectile1_hit1,2,150,200,250,0,360,0,90,10,25,0,0,0,0,-60,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,fireball3b,TRUE,20,0,14,65,-5,5,100,TRUE,0,0,0,0,100,100,100,,10,10,
Apprentice_Warden_projectile1_hit2,5,2,500,1500,0,360,0,90,300,750,0,0,0,0,1000,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,fireball3b,TRUE,23,0,6,9,0,90,2000,TRUE,0,0,0,0,100,100,100,,1,1,
Apprentice_Warden_projectile1_Trail,10,15,250,500,0,360,0,0,2,5,0,0,0,0,-10,TRUE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,spark_flame,TRUE,0,0,35,0,-45,45,300,TRUE,0,0,0,0,100,100,100,,5,10,
Apprentice_Warden_projectile2_Trail,10,15,250,500,0,360,0,0,2,5,0,0,0,0,-10,TRUE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,spark_dark,TRUE,0,0,45,0,-45,45,300,TRUE,0,0,0,0,100,100,100,,5,10,
aq_action_heroes_arrow_trail,2,3,400,500,35,60,30,20,30,0,0,0,0,85,-200,FALSE,Disabled,TRUE,FALSE,Object,sc/hero_aq_action_heroes_dl_opt.sc,aq_action_heroesarrow_trail,FALSE,0,100,150,0,-360,360,200,TRUE,300,0,0,360,1,90,100,,300,200,
aq_anime_arrow_trail,2,3,400,500,35,60,30,20,30,0,0,100,85,85,-200,FALSE,Disabled,TRUE,FALSE,Object,sc/hero_aq_anime_dl_opt.sc,aq_anime_arrow_trail_flower,FALSE,0,100,100,0,-360,360,200,TRUE,300,0,0,360,1,90,100,,300,200,
,,,,,,,,,,,,,,,,,,,,,,aq_anime_arrow_trail_leaf,FALSE,,,,,,,,,,,,,,,,,,,
aq_clashoween24_projectile_trail,1,1,350,400,0,360,0,0,2,5,0,0,0,0,0,TRUE,Disabled,FALSE,FALSE,Object,sc/hero_aq_clashoween24_dl_opt.sc,aq_clashoween_sparkle,FALSE,0,0,45,0,0,0,300,FALSE,0,0,0,0,100,50,50,,0,25,
aq_judgement_arrow_trail,2,3,400,500,35,60,30,20,30,0,0,0,0,85,-200,FALSE,Disabled,TRUE,FALSE,Object,sc/hero_aq_judgement_dl_opt.sc,aq_judgement_arrow_trail,FALSE,0,100,150,0,-360,360,200,TRUE,300,0,0,360,1,90,100,,300,200,
aq_LNY2025_arrow_trail_01,4,20,300,500,0,360,0,0,1,1,0,0,0,0,0,TRUE,HorizontalAngle,FALSE,FALSE,Object,sc/hero_aq_LNY2025_dl_opt.sc,aq_LNY2025_lizi_06,FALSE,0,0,0,20,0,10,150,TRUE,0,0,0,0,100,100,100,,-20,20,
,,,,,,,,,,,,,,,,,,,,,,aq_LNY2025_lizi_05,TRUE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,aq_LNY2025_lizi_03,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,aq_LNY2025_lizi_04,TRUE,,,,,,,,,,,,,,,,,,,
aq_LNY2025_Deploy_01,10,1,400,600,0,180,0,360,50,500,0,0,10,0,500,TRUE,Disabled,TRUE,FALSE,Object,sc/buildings.sc,water_dragon_drop_01,TRUE,15,80,10,30,0,360,150,TRUE,0,100,0,0,100,100,80,,0,100,
,,,,,,,,,,,,,,,,,,,,,,water_dragon_drop_02,TRUE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,water_dragon_drop_03,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,water_dragon_drop_04,TRUE,,,,,,,,,,,,,,,,,,,
aq_LNY2025_Deploy_02,50,100,1000,1200,0,360,0,0,250,750,0,0,0,0,-25,FALSE,Disabled,FALSE,FALSE,Object,sc/hero_bk_lny2025_dl_opt.sc,bk_LNY2025_Deploy_03,FALSE,35,150,50,150,-90,90,2000,TRUE,0,0,-90,180,100,100,20,,0,10,
aq_LNY2025_hit,1,900,800,800,0,360,0,0,1,1,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Top,sc/hero_aq_LNY2025_dl_opt.sc,aq_LNY2025_hit_01,FALSE,20,0,25,35,-10,10,0,TRUE,0,0,0,0,100,100,100,,0,10,
,,,,,,,,,,,,,,,,,,,,,,aq_LNY2025_hit_03,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,aq_LNY2025_hit_02,FALSE,,,,,,,,,,,,,,,,,,,
AQ_space_hit_spark,10,0,800,1000,0,360,30,90,2500,3000,0,0,0,0,2000,FALSE,HorizontalAngle,FALSE,FALSE,Object,sc/hero_aq_space_dl_opt.sc,aq_space_hit_spark,TRUE,30,0,100,10,-5,5,2000,FALSE,0,200,0,0,100,100,100,,10,10,
aq_toy_bullet_Trail,2,1,200,250,0,360,0,0,2,5,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/hero_bk_toy_dl_opt.sc,bk_toy_spark_02,TRUE,0,0,80,0,0,200,300,TRUE,0,0,0,60,100,50,100,,5,60,
aq_ttrpg_arrow_trail,2,3,400,500,35,60,30,20,30,0,0,100,85,85,-200,FALSE,Disabled,TRUE,FALSE,Object,sc/hero_aq_ttrpg_dl_opt.sc,aq_ttrpg_arrow_trail_flower,FALSE,0,100,150,0,-360,360,200,TRUE,300,0,0,360,1,90,50,,300,200,
,,,,,,,,,,,,,,,,,,,,,,aq_ttrpg_arrow_trail_leaf,FALSE,,,,,,,,,,,,,,,,,,,
aq_wildwest_bullet_Trail,10,1,150,300,0,360,0,0,2,5,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,spark_flame,TRUE,0,0,35,0,-45,45,300,TRUE,0,0,0,0,100,100,100,,5,10,
archer_queen_ghost_hit,1,20,1000,1800,0,360,15,30,0,20,0,0,0,0,0,FALSE,HorizontalAngle,FALSE,FALSE,Object,sc/hero_gw_ghost_dl_opt.sc,skin_ghost_aq_hit,TRUE,50,30,20,45,-1,1,30,FALSE,0,0,0,0,150,200,100,,0,0,
ArcherQueen_attack,2,1,1500,1500,0,360,5,5,10,50,0,0,30,0,-10,FALSE,HorizontalAngle,FALSE,FALSE,Object,sc/buildings.sc,d6,FALSE,10,0,50,100,-40,40,2000,TRUE,0,0,0,0,100,100,100,,0,0,
AreaDamage_rangeRing,1,1,20000,22000,0,0,0,0,0,0,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,catapult_rangeRing,TRUE,0,0,100,100,0,0,300,TRUE,0,0,0,0,100,100,100,,0,0,
Arrow_Tower_lightFlash,1,1,160,160,0,0,0,0,0,0,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,spell_range_marker_3,TRUE,0,0,30,50,0,0,340,TRUE,0,0,0,0,100,100,100,,0,0,
arrow_trail_aq_clash_games,4,30,250,300,0,360,0,0,1,1,0,0,0,0,0,TRUE,HorizontalAngle,FALSE,FALSE,Object,sc/hero_aq_clash_games_dl_opt.sc,aq_clash_games_arrow_trail,FALSE,0,0,20,10,-10,10,150,TRUE,1,100,0,0,100,100,100,,50,50,
arrow_trail_aq_egypt,5,30,250,300,0,360,0,0,1,1,0,0,0,0,0,TRUE,HorizontalAngle,FALSE,FALSE,Object,sc/hero_aq_egypt_dl_opt.sc,dust,FALSE,0,0,20,10,-10,10,150,TRUE,1,100,0,0,100,100,100,,50,50,
ArtilleryHit_dustring,15,1,400,800,0,360,10,10,300,750,0,0,-50,0,-5,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,d5,FALSE,60,0,40,100,-50,50,500,TRUE,0,0,0,0,100,100,100,,50,50,
ArtilleryHit_mushcloud,20,100,1200,2000,0,360,45,90,4000,5000,0,0,0,0,-800,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,s1,FALSE,300,0,100,240,-15,15,600,TRUE,0,0,0,0,100,100,100,,0,0,
,,,,,,,,,,,,,,,,,,,,,,d5,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,d4,FALSE,,,,,,,,,,,,,,,,,,,
ArtilleryHit_spark,10,1000,800,1500,0,360,-45,-45,100,200,80,0,-50,0,600,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/buildings.sc,spark_flame,TRUE,10,0,200,50,-5,5,600,FALSE,0,600,0,0,100,100,100,,100,100,
atcher_queen_ghost_hit_spark,5,0,500,1000,0,360,30,90,500,1000,0,0,10,0,1500,FALSE,HorizontalAngle,TRUE,FALSE,Object,sc/hero_gw_ghost_dl_opt.sc,ghost_attack_aq_spark,TRUE,30,20,30,10,-5,5,600,FALSE,0,600,0,0,80,100,60,,5,15,
babydragon_smoke_emitter_lvl1,3,11,300,450,0,360,0,0,80,100,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,s3,FALSE,0,0,60,30,-20,20,450,TRUE,0,0,0,0,100,100,60,,1,1,
BabyDragonGroundBurnCone,1,1,15000,15000,0,0,0,0,0,0,0,0,-100,0,0,TRUE,HorizontalAngleAtBeginning,FALSE,FALSE,Object,sc/buildings.sc,baby_dragon_fire_cone_turret,FALSE,0,0,70,80,0,0,0,TRUE,250,0,0,0,100,100,100,,0,0,
BabyDragonSpitFire,40,300,1500,2000,-20,20,0,-10,500,1500,0,0,0,0,-50,FALSE,HorizontalAngleAtBeginning,FALSE,FALSE,Object,sc/buildings.sc,dragon_fireball_varA,FALSE,15,15,50,80,-240,240,0,FALSE,0,0,0,0,85,115,100,,0,0,
,,,,,,,,,,,,,,,,,,,,,,dragon_fireball_varB,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,dragon_fireball_varC,FALSE,,,,,,,,,,,,,,,,,,,
BabyDragonSpitFireAdd,30,200,1500,2800,-10,10,0,-10,500,1500,0,0,0,0,-50,TRUE,HorizontalAngleAtBeginning,FALSE,FALSE,Object,sc/buildings.sc,dragon_fireball_varA,TRUE,15,15,50,100,-240,240,400,FALSE,0,0,0,0,100,100,100,,0,0,
,,,,,,,,,,,,,,,,,,,,,,dragon_fireball_varB,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,dragon_fireball_varC,TRUE,,,,,,,,,,,,,,,,,,,
BabyDragonSpitFireEmbers1,50,5000,1500,4000,-25,25,0,0,500,1000,0,0,-100,0,-100,TRUE,HorizontalAngleAtBeginning,FALSE,FALSE,Object,sc/buildings.sc,spark_flame,TRUE,15,15,50,0,-45,45,0,FALSE,1500,0,0,0,100,100,100,,0,15,
BabyDragonSpitFireSpark,40,100,1500,2000,-25,25,-10,-17,0,1000,0,0,-100,0,1500,FALSE,HorizontalAngleAtBeginning,TRUE,FALSE,Object,sc/buildings.sc,spark_flame,TRUE,20,50,60,10,-5,5,600,FALSE,0,600,0,0,150,250,100,,150,250,
BagOfFrostmites_frost_top,1,5000,5000,5000,0,0,0,0,0,0,0,0,40,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,Blizzard_top,TRUE,0,600,100,100,0,0,1000,FALSE,0,0,0,0,100,100,100,,0,0,
BagOfFrostmites_frost_top_02,1,5700,5700,5700,0,0,0,0,0,0,0,0,40,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,Blizzard_top,TRUE,0,600,100,100,0,0,1000,FALSE,0,0,0,0,100,100,100,,0,0,
BagOfFrostmites_frost_top_03,1,6400,6400,6400,0,0,0,0,0,0,0,0,40,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,Blizzard_top,TRUE,0,600,100,100,0,0,1000,FALSE,0,0,0,0,100,100,100,,0,0,
BagOfFrostmites_frost_top_04,1,7100,7100,7100,0,0,0,0,0,0,0,0,40,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,Blizzard_top,TRUE,0,600,100,100,0,0,1000,FALSE,0,0,0,0,100,100,100,,0,0,
BagOfFrostmites_frost_top_05,1,7800,7800,7800,0,0,0,0,0,0,0,0,40,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,Blizzard_top,TRUE,0,600,100,100,0,0,1000,FALSE,0,0,0,0,100,100,100,,0,0,
BagOfFrostmites_frost_top_06,1,8500,8500,8500,0,0,0,0,0,0,0,0,40,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,Blizzard_top,TRUE,0,600,100,100,0,0,1000,FALSE,0,0,0,0,100,100,100,,0,0,
BagOfFrostmites_frost_top_07,1,9000,9000,9000,0,0,0,0,0,0,0,0,40,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,Blizzard_top,TRUE,0,600,100,100,0,0,1000,FALSE,0,0,0,0,100,100,100,,0,0,
BagOfFrostmites_frost_top_08,1,9500,9500,9500,0,0,0,0,0,0,0,0,40,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,Blizzard_top,TRUE,0,600,100,100,0,0,1000,FALSE,0,0,0,0,100,100,100,,0,0,
BagOfFrostmites_frost_top_09,1,10000,10000,10000,0,0,0,0,0,0,0,0,40,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,Blizzard_top,TRUE,0,600,100,100,0,0,1000,FALSE,0,0,0,0,100,100,100,,0,0,
BagOfFrostmites_frost_top_10,1,10000,10000,10000,0,0,0,0,0,0,0,0,40,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,Blizzard_top,TRUE,0,600,100,100,0,0,1000,FALSE,0,0,0,0,100,100,100,,0,0,
BagOfFrostmites_frost_top_11,1,10000,10000,10000,0,0,0,0,0,0,0,0,40,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/buildings.sc,Blizzard_top,TRUE,0,600,100,100,0,0,1000,FALSE,0,0,0,0,100,100,100,,0,0,
Balloon_Die_bloon,15,1,500,800,0,360,0,360,200,800,0,0,130,0,500,TRUE,Disabled,TRUE,FALSE,Object,sc/buildings.sc,balloonDebris3,FALSE,10,0,20,10,20,90,250,TRUE,0,0,0,0,100,100,100,,0,0,
,,,,,,,,,,,,,,,,,,,,,,balloonDebris1,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,balloonDebris4,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,balloonDebris2,FALSE,,,,,,,,,,,,,,,,,,,
Balloon_Die_darkBloon,15,1,500,800,0,360,0,360,200,800,0,0,130,0,500,TRUE,Disabled,TRUE,FALSE,Object,sc/buildings.sc,balloonDebris3_dark,FALSE,10,0,35,10,20,90,250,TRUE,0,0,0,0,100,100,100,,0,0,
,,,,,,,,,,,,,,,,,,,,,,balloonDebris1_dark,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,balloonDebris4_dark,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,balloonDebris2_dark,FALSE,,,,,,,,,,,,,,,,,,,
Balloon_Die_wood,4,20,1200,2200,0,360,30,90,700,1200,0,0,0,0,3000,TRUE,Disabled,TRUE,FALSE,Object,sc/buildings.sc,debris5,FALSE,20,0,25,40,20,90,600,TRUE,0,0,0,0,100,100,100,,80,80,
,,,,,,,,,,,,,,,,,,,,,,debris6,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,debris7,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,debris8,FALSE,,,,,,,,,,,,,,,,,,,
barcher_die,1,1,500,700,0,0,0,0,0,0,0,0,0,0,0,FALSE,Disabled,FALSE,FALSE,Object,sc/chr_barcher.sc,sour_die,FALSE,0,0,150,150,0,0,0,TRUE,0,0,0,0,100,100,100,,0,0,
barrel_trail,1,2,400,400,0,0,0,0,0,0,0,0,0,0,0,TRUE,Disabled,FALSE,FALSE,Top,sc/buildings.sc,snow1,FALSE,0,0,100,20,0,0,100,FALSE,100,0,0,0,100,100,10,,0,0,
