Name,SWF,ExportName,ScaleTimeline,DirectionCount,ParticleEmitter,Effect,StartHeight,IsBallistic,ShadowSWF,ShadowExportName,UseRotate,DirectionFrame,PlayOnce,UseTopLayer,Scale,BallisticHeight,TrajectoryStyle,DestroyedEffect,BounceEffect,StartOffsetFromGunBone,RotateEmitter,RotateEffect,SpawnEffect,3D,DepthBiasFront,DepthBiasBack,UseParentAnimation3D,RotationFixType
ArcherQueenDark arrow,sc/hero_aq_dark_dl_opt.sc,hero_archerqueen_stake_dark,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenDark arrow rage,sc/hero_aq_dark_dl_opt.sc,hero_archerqueen_stake_dark_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenDarkAges arrow rage,sc/hero_aq_darkages_dl_opt.sc,hero_archerqueen_arrow_darkages_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenDarkAges_arrow,sc/hero_aq_darkages_dl_opt.sc,hero_archerqueen_arrow_darkages,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenGhost arrow rage,sc/hero_aq_ghost_dl_opt.sc,hero_archerqueen_arrow_ghost_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenGhost_arrow,sc/hero_aq_ghost_dl_opt.sc,hero_archerqueen_arrow_ghost,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenGingerbread arrow rage,sc/hero_aq_gingerbread_dl_opt.sc,hero_archerqueen_arrow_gingerbread_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenGingerbread_arrow,sc/hero_aq_gingerbread_dl_opt.sc,hero_archerqueen_arrow_gingerbread,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenGoblin arrow rage,sc/hero_aq_goblin_dl_opt.sc,hero_archerqueen_arrow_goblin_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenGoblin_arrow,sc/hero_aq_goblin_dl_opt.sc,hero_archerqueen_arrow_goblin,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenJolly arrow rage,sc/hero_aq_jolly_dl_opt.sc,hero_archerqueen_arrow_jolly_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenJolly_arrow,sc/hero_aq_jolly_dl_opt.sc,hero_archerqueen_arrow_jolly,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenLeague arrow rage,sc/hero_aq_league_dl_opt.sc,hero_archerqueen_arrow_league_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenLeague_arrow,sc/hero_aq_league_dl_opt.sc,hero_archerqueen_arrow_league,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenLNY24 arrow rage,sc/hero_aq_lny2024_dl_opt.sc,hero_archerqueen_arrow_lny24_rage,FALSE,0,hero_water_arrow_trail1,,45,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenLNY24_arrow,sc/hero_aq_lny2024_dl_opt.sc,hero_archerqueen_arrow_lny24,FALSE,0,hero_water_arrow_trail1,,45,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenLunar arrow rage,sc/hero_aq_lunar_dl_opt.sc,hero_archerqueen_arrow_lunar_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenLunar_arrow,sc/hero_aq_lunar_dl_opt.sc,hero_archerqueen_arrow_lunar,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenMiner arrow,sc/hero_aq_miner_dl_opt.sc,hero_archerqueen_bomb_miner,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenMiner arrow rage,sc/hero_aq_miner_dl_opt.sc,hero_archerqueen_bomb_miner_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenOTN arrow rage,sc/hero_aq_otn_dl_opt.sc,hero_archerqueen_arrow_otn_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenOTN_arrow,sc/hero_aq_otn_dl_opt.sc,hero_archerqueen_arrow_otn,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenPainter arrow rage,sc/hero_aq_painter_dl_opt.sc,hero_archerqueen_arrow_painter_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenPainter_arrow,sc/hero_aq_painter_dl_opt.sc,hero_archerqueen_arrow_painter,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenParty_arrow,sc/hero_aq_party_dl_opt.sc,hero_archerqueen_vinyl_party,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenParty_arrow_rage,sc/hero_aq_party_dl_opt.sc,hero_archerqueen_vinyl_party_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenPixel arrow rage,sc/hero_aq_pixel_dl_opt.sc,hero_archerqueen_arrow_pixel_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenPixel_arrow,sc/hero_aq_pixel_dl_opt.sc,hero_archerqueen_arrow_pixel,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenSummer arrow rage,sc/hero_aq_summer_dl_opt.sc,hero_archerqueen_arrow_summer_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenSummer_arrow,sc/hero_aq_summer_dl_opt.sc,hero_archerqueen_arrow_summer,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenTH15 arrow rage,sc/hero_aq_th15_dl_opt.sc,hero_archerqueen_arrow_th15_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenTH15_arrow,sc/hero_aq_th15_dl_opt.sc,hero_archerqueen_arrow_th15,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenValentines arrow rage,sc/hero_aq_valentines_dl_opt.sc,hero_archerqueen_arrow_valentines_rage,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenValentines_arrow,sc/hero_aq_valentines_dl_opt.sc,hero_archerqueen_arrow_valentines,FALSE,0,,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
flying_fortress_projectile,sc/characters.sc,projectile_bomb,FALSE,0,shield_trail_glow,,0,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionChampion shield,sc/hero_rc_champion_dl_opt.sc,shield_projectile_champion,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionChampion spear,sc/hero_rc_champion_dl_opt.sc,hero_warriorprincess_javelin_champion,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,150,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionClashiversary shield,sc/hero_rc_clashiversary_dl_opt.sc,shield_projectile_clashiversary,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionClashiversary spear,sc/hero_rc_clashiversary_dl_opt.sc,hero_warriorprincess_javelin_clashiversary,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionDark shield,sc/hero_rc_dark_dl_opt.sc,shield_projectile_dark,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionDark spear,sc/hero_rc_dark_dl_opt.sc,hero_warriorprincess_javelin_dark,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionDarkAges shield,sc/hero_rc_darkages_dl_opt.sc,shield_projectile_darkages,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionDarkAges spear,sc/hero_rc_darkages_dl_opt.sc,hero_warriorprincess_javelin_darkages,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionGhost shield,sc/hero_rc_ghost_dl_opt.sc,shield_projectile_ghost,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionGhost spear,sc/hero_rc_ghost_dl_opt.sc,hero_warriorprincess_javelin_ghost,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionGingerbread shield,sc/hero_rc_gingerbread_dl_opt.sc,shield_projectile_gingerbread,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionGingerbread spear,sc/hero_rc_gingerbread_dl_opt.sc,hero_warriorprincess_javelin_gingerbread,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionGladiator shield,sc/hero_rc_gladiator_dl_opt.sc,shield_projectile_gladiator,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionGladiator spear,sc/hero_rc_gladiator_dl_opt.sc,hero_warriorprincess_javelin_gladiator,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionGoblin shield,sc/hero_rc_goblin_dl_opt.sc,shield_projectile_goblin,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionGoblin spear,sc/hero_rc_goblin_dl_opt.sc,hero_warriorprincess_javelin_goblin,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionJolly shield,sc/hero_rc_jolly_dl_opt.sc,shield_projectile_jolly,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionJolly spear,sc/hero_rc_jolly_dl_opt.sc,hero_warriorprincess_javelin_jolly,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionJungle shield,sc/hero_rc_jungle_dl_opt.sc,shield_projectile_jungle,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionJungle spear,sc/hero_rc_jungle_dl_opt.sc,hero_warriorprincess_javelin_jungle,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionLNY24 shield,sc/hero_rc_lny24_dl_opt.sc,shield_projectile_lny24,FALSE,0,,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionLNY24 spear,sc/hero_rc_lny24_dl_opt.sc,hero_warriorprincess_javelin_lny24,FALSE,0,,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionLunar shield,sc/hero_rc_lunar_dl_opt.sc,shield_projectile_lunar,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionLunar spear,sc/hero_rc_lunar_dl_opt.sc,hero_warriorprincess_javelin_lunar,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionPainter shield,sc/hero_rc_painter_dl_opt.sc,shield_projectile_painter,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionPainter spear,sc/hero_rc_painter_dl_opt.sc,hero_warriorprincess_javelin_painter,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionParty shield,sc/hero_rc_party_dl_opt.sc,shield_projectile_party,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionParty spear,sc/hero_rc_party_dl_opt.sc,hero_warriorprincess_javelin_party,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionPirate shield,sc/hero_rc_pirate_dl_opt.sc,shield_projectile_pirate,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionPirate spear,sc/hero_rc_pirate_dl_opt.sc,hero_warriorprincess_javelin_pirate,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionPixel shield,sc/hero_rc_pixel_dl_opt.sc,shield_projectile_pixel,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionPixel spear,sc/hero_rc_pixel_dl_opt.sc,hero_warriorprincess_javelin_pixel,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionPrimal shield,sc/hero_rc_primal_dl_opt.sc,shield_projectile_primal,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionPrimal spear,sc/hero_rc_primal_dl_opt.sc,hero_warriorprincess_javelin_primal,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionRogue spear,sc/hero_rc_rogue_dl_opt.sc,hero_warriorprincess_javelin_rogue,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionSummer shield,sc/hero_rc_summer_dl_opt.sc,shield_projectile_summer,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionSummer spear,sc/hero_rc_summer_dl_opt.sc,hero_warriorprincess_javelin_summer,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionTh15 shield,sc/hero_rc_th15_dl_opt.sc,shield_projectile_th15,FALSE,0,shield_trail_glow,,50,TRUE,sc/buildings.sc,simple_shadow_small,FALSE,FALSE,FALSE,FALSE,100,100,3,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionTH15 spear,sc/hero_rc_th15_dl_opt.sc,hero_warriorprincess_javelin_th15,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
RoyalChampionWinter spear,sc/hero_rc_winter_dl_opt.sc,hero_warriorprincess_javelin_winter,FALSE,0,javelin_trail_glow,,0,TRUE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
GrandWardenLNY24_magic,sc/hero_gw_lny2024_dl_opt.sc,gw_lny24_attack,TRUE,0,hero_water_arrow_trail1,,65,FALSE,,,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenWinter24 arrow rage,sc/hero_aq_winter_dl_opt.sc,hero_archerqueen_arrow_winter_rage,FALSE,0,hero_winter_aq_trail,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenWinter24_arrow,sc/hero_aq_winter_dl_opt.sc,hero_archerqueen_arrow_winter,FALSE,0,hero_winter_aq_trail,,65,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,FALSE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenSpace_arrow_rage,sc/hero_aq_space_dl_opt.sc,hero_archerqueen_arrow_space_rage,FALSE,0,hero_space_arrow_trail,,0,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
ArcherQueenSpace_arrow,sc/hero_aq_space_dl_opt.sc,hero_archerqueen_arrow_space,FALSE,0,hero_space_arrow_trail,,0,FALSE,sc/buildings.sc,bolt_projectile_shadow,TRUE,FALSE,FALSE,FALSE,100,0,0,,,TRUE,FALSE,FALSE,,,0,0,FALSE,0
