Name,ID,Enabled,EnabledIOS,EnabledAndroid,Type,ShowAsNew,TID,InfoTID,ButtonTID,ButtonURL,NativeIOSURL,CenterText,LoadResources,ItemSWF,ItemExportName,IconSWF,IconExportName,IconFrame,AnimateIcon,CenterIcon,IncludedCountries,ExcludedCountries,IncludedLanguages,ExcludedLanguages,MinTownHall,MinLevel,MaxDiamonds,ClickToDismiss,AvatarIdModulo,ModuloMin,ModuloMax,Collapsed
,,,,,,,,,,,,,,,,,,,,,,,,JP,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,KR,,,,,,,,
Twitch,13,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_TWITCH,TID_NEWS_BUTTON_GO,http://fi.twitch.tv/clashofclans/profile,,TRUE,FALSE,sc/ui.sc,twitch_link,,,0,FALSE,FALSE,,,,CN,,0,0,TRUE,,,,
,,,,,,,,,,,,,,,,,,,,,,,,JP,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,KR,,,,,,,,
HungryApp,14,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_HUNGRYAPP,TID_NEWS_BUTTON_GO,http://www.hungryapp.co.kr/bbs/list.php?bcode=coc,,TRUE,FALSE,sc/ui.sc,hungryapp_link,,,0,FALSE,FALSE,,,KR,,,0,0,TRUE,,,,
AppBank,15,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_APPBANK,TID_NEWS_BUTTON_GO,http://www.appbank.net/2013/06/15/iphone-application/619819.php,,TRUE,FALSE,sc/ui.sc,appbank_link,,,0,FALSE,FALSE,,,JP,,,0,0,TRUE,,,,
Famitsu,16,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_FAMITSU,TID_NEWS_BUTTON_GO,http://app.famitsu.com/category/game-tips/clash-of-clans/,,TRUE,FALSE,sc/ui.sc,famitsu_link,,,0,FALSE,FALSE,,,JP,,,0,0,TRUE,,,,
Forums,10,TRUE,TRUE,TRUE,more,FALSE,,TID_MORE_FORUMS,TID_NEWS_BUTTON_GO,http://forum.supercell.net/forumdisplay.php/4-Clash-of-Clans,,TRUE,FALSE,sc/ui.sc,forums_link,,,0,FALSE,FALSE,,,,KR,,0,0,FALSE,,,,
,,,,,,,,,,,,,,,,,,,,,,,,JP,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,CN,,,,,,,,
