Name,TID,TIDShort,TIDLeague,IconSWF,IconExportName,LeagueBannerIcon,LeagueBannerIconNum,LeagueBannerIconHUD,Division,GoldReward,ElixirReward,DarkElixirReward,GoldRewardStarBonus,ElixirRewardStarBonus,DarkElixirRewardStarBonus,CommonOreRewardStarBonus,RareOreRewardStarBonus,EpicOreRewardStarBonus,GroupSizeMin,GroupSizeMax,CandidateCountMin,CandidateCountMinInit,DemotePercentage,PromotePercentage,DemoteEnabled,PromoteEnabled,MatchmakingPenaltyStrengthDifference,MatchmakingPenaltyDefenseCountDifference,MatchmakingPenaltyPreviouslyAttacked,MatchmakingPenaltyClanMember,TH,MaxLootGold,MaxLootElixir,MaxLootDarkElixir,MaxBattleCount,BattleModifier,TrophyFloor,TopClanScore
,,,,,,,,,,15000,15000,350,450000,450000,2200,425,25,0,,,,,,,,,,,,,15,800000,800000,8000,,,,
,,,,,,,,,,15000,15000,350,450000,450000,2200,425,25,0,,,,,,,,,,,,,16,800000,800000,8000,,,,
,,,,,,,,,,15000,15000,350,450000,450000,2200,425,25,0,,,,,,,,,,,,,17,800000,800000,8000,,,,
,,,,,,,,,,15000,15000,350,450000,450000,2200,425,25,0,,,,,,,,,,,,,18,800000,800000,8000,,,,
Archer3,TID_LEAGUE_TIER_3_RANK_3,TID_LEAGUE_TIER_3_RANK_3_SHORT,TID_LEAGUE_TIER_3,sc/ui.sc,icon_2025_league_archer_rank3,icon_2025_league_archer,icon_2025_league_archer_level,icon_2025_league_small_archer_level,3,,,,,,,,,,20,100,200,10000,10,30,TRUE,TRUE,1,100,300,200,,,,,8,,0,700
,,,,,,,,,,10500,10500,250,350000,350000,1725,0,0,0,,,,,,,,,,,,,7,575000,575000,4750,,,,
,,,,,,,,,,11000,11000,275,375000,375000,1825,450,27,0,,,,,,,,,,,,,8,625000,625000,5250,,,,
,,,,,,,,,,11500,11500,300,400000,400000,1950,450,27,0,,,,,,,,,,,,,9,675000,675000,6250,,,,
,,,,,,,,,,15000,15000,350,450000,450000,2200,450,27,0,,,,,,,,,,,,,10,775000,775000,7750,,,,
,,,,,,,,,,20000,20000,400,500000,500000,2450,450,27,0,,,,,,,,,,,,,11,850000,850000,8500,,,,
,,,,,,,,,,20000,20000,400,500000,500000,2450,450,27,0,,,,,,,,,,,,,12,850000,850000,8500,,,,
,,,,,,,,,,20000,20000,400,500000,500000,2450,450,27,0,,,,,,,,,,,,,13,850000,850000,8500,,,,
,,,,,,,,,,20000,20000,400,500000,500000,2450,450,27,0,,,,,,,,,,,,,14,850000,850000,8500,,,,
,,,,,,,,,,20000,20000,400,500000,500000,2450,450,27,0,,,,,,,,,,,,,15,850000,850000,8500,,,,
,,,,,,,,,,20000,20000,400,500000,500000,2450,450,27,0,,,,,,,,,,,,,16,850000,850000,8500,,,,
,,,,,,,,,,20000,20000,400,500000,500000,2450,450,27,0,,,,,,,,,,,,,17,850000,850000,8500,,,,
,,,,,,,,,,20000,20000,400,500000,500000,2450,450,27,0,,,,,,,,,,,,,18,850000,850000,8500,,,,
Archer2,TID_LEAGUE_TIER_3_RANK_2,TID_LEAGUE_TIER_3_RANK_2_SHORT,TID_LEAGUE_TIER_3,sc/ui.sc,icon_2025_league_archer_rank2,icon_2025_league_archer,icon_2025_league_archer_level,icon_2025_league_small_archer_level,2,,,,,,,,,,20,100,200,10000,10,25,TRUE,TRUE,1,100,300,200,,,,,8,,0,800
,,,,,,,,,,15500,15500,300,375000,375000,1850,0,0,0,,,,,,,,,,,,,7,600000,600000,5000,,,,
,,,,,,,,,,16000,16000,325,400000,400000,1950,475,27,1,,,,,,,,,,,,,8,650000,650000,5500,,,,
,,,,,,,,,,16500,16500,350,425000,425000,2075,475,27,1,,,,,,,,,,,,,9,700000,700000,6500,,,,
,,,,,,,,,,20000,20000,400,475000,475000,2325,475,27,1,,,,,,,,,,,,,10,800000,800000,8000,,,,
,,,,,,,,,,25000,25000,450,525000,525000,2575,475,27,1,,,,,,,,,,,,,11,875000,875000,8750,,,,
,,,,,,,,,,30000,30000,500,550000,550000,2700,475,27,1,,,,,,,,,,,,,12,900000,900000,9000,,,,
,,,,,,,,,,30000,30000,500,550000,550000,2700,475,27,1,,,,,,,,,,,,,13,900000,900000,9000,,,,
,,,,,,,,,,30000,30000,500,550000,550000,2700,475,27,1,,,,,,,,,,,,,14,900000,900000,9000,,,,
,,,,,,,,,,30000,30000,500,550000,550000,2700,475,27,1,,,,,,,,,,,,,15,900000,900000,9000,,,,
,,,,,,,,,,30000,30000,500,550000,550000,2700,475,27,1,,,,,,,,,,,,,16,900000,900000,9000,,,,
,,,,,,,,,,30000,30000,500,550000,550000,2700,475,27,1,,,,,,,,,,,,,17,900000,900000,9000,,,,
,,,,,,,,,,30000,30000,500,550000,550000,2700,475,27,1,,,,,,,,,,,,,18,900000,900000,9000,,,,
Archer1,TID_LEAGUE_TIER_3_RANK_1,TID_LEAGUE_TIER_3_RANK_1_SHORT,TID_LEAGUE_TIER_3,sc/ui.sc,icon_2025_league_archer_rank1,icon_2025_league_archer,icon_2025_league_archer_level,icon_2025_league_small_archer_level,1,,,,,,,,,,20,100,200,10000,10,25,TRUE,TRUE,1,100,300,200,,,,,8,,0,900
,,,,,,,,,,20500,20500,350,400000,400000,1975,0,0,0,,,,,,,,,,,,,7,625000,625000,5250,,,,
,,,,,,,,,,21000,21000,375,425000,425000,2075,500,29,1,,,,,,,,,,,,,8,675000,675000,5750,,,,
,,,,,,,,,,21500,21500,400,450000,450000,2200,500,29,1,,,,,,,,,,,,,9,725000,725000,6750,,,,
,,,,,,,,,,25000,25000,450,500000,500000,2450,500,29,1,,,,,,,,,,,,,10,825000,825000,8250,,,,
,,,,,,,,,,30000,30000,500,550000,550000,2700,500,29,1,,,,,,,,,,,,,11,900000,900000,9000,,,,
,,,,,,,,,,40000,40000,600,600000,600000,2950,500,29,1,,,,,,,,,,,,,12,950000,950000,9500,,,,
,,,,,,,,,,40000,40000,600,600000,600000,2950,500,29,1,,,,,,,,,,,,,13,950000,950000,9500,,,,
,,,,,,,,,,40000,40000,600,600000,600000,2950,500,29,1,,,,,,,,,,,,,14,950000,950000,9500,,,,
,,,,,,,,,,40000,40000,600,600000,600000,2950,500,29,1,,,,,,,,,,,,,15,950000,950000,9500,,,,
,,,,,,,,,,40000,40000,600,600000,600000,2950,500,29,1,,,,,,,,,,,,,16,950000,950000,9500,,,,
,,,,,,,,,,40000,40000,600,600000,600000,2950,500,29,1,,,,,,,,,,,,,17,950000,950000,9500,,,,
,,,,,,,,,,40000,40000,600,600000,600000,2950,500,29,1,,,,,,,,,,,,,18,950000,950000,9500,,,,
Wizard3,TID_LEAGUE_TIER_4_RANK_3,TID_LEAGUE_TIER_4_RANK_3_SHORT,TID_LEAGUE_TIER_4,sc/ui.sc,icon_2025_league_wizard_rank3,icon_2025_league_wizard,icon_2025_league_wizard_level,icon_2025_league_small_wizard_level,3,,,,,,,,,,20,100,200,10000,15,25,TRUE,TRUE,1,100,300,200,,,,,8,,0,1000
,,,,,,,,,,25500,25500,400,425000,425000,2100,0,0,0,,,,,,,,,,,,,7,650000,650000,5500,,,,
,,,,,,,,,,26000,26000,425,450000,450000,2200,525,31,1,,,,,,,,,,,,,8,700000,700000,6000,,,,
,,,,,,,,,,26500,26500,450,475000,475000,2325,525,31,1,,,,,,,,,,,,,9,750000,750000,7000,,,,
,,,,,,,,,,30000,30000,500,525000,525000,2575,525,31,1,,,,,,,,,,,,,10,850000,850000,8500,,,,
,,,,,,,,,,35000,35000,550,575000,575000,2825,525,31,1,,,,,,,,,,,,,11,925000,925000,9250,,,,
,,,,,,,,,,50000,50000,700,650000,650000,3200,525,31,1,,,,,,,,,,,,,12,1000000,1000000,10000,,,,
,,,,,,,,,,50000,50000,700,650000,650000,3200,525,31,1,,,,,,,,,,,,,13,1000000,1000000,10000,,,,
,,,,,,,,,,50000,50000,700,650000,650000,3200,525,31,1,,,,,,,,,,,,,14,1000000,1000000,10000,,,,
,,,,,,,,,,50000,50000,700,650000,650000,3200,525,31,1,,,,,,,,,,,,,15,1000000,1000000,10000,,,,
,,,,,,,,,,50000,50000,700,650000,650000,3200,525,31,1,,,,,,,,,,,,,16,1000000,1000000,10000,,,,
,,,,,,,,,,50000,50000,700,650000,650000,3200,525,31,1,,,,,,,,,,,,,17,1000000,1000000,10000,,,,
,,,,,,,,,,50000,50000,700,650000,650000,3200,525,31,1,,,,,,,,,,,,,18,1000000,1000000,10000,,,,
Wizard2,TID_LEAGUE_TIER_4_RANK_2,TID_LEAGUE_TIER_4_RANK_2_SHORT,TID_LEAGUE_TIER_4,sc/ui.sc,icon_2025_league_wizard_rank2,icon_2025_league_wizard,icon_2025_league_wizard_level,icon_2025_league_small_wizard_level,2,,,,,,,,,,20,100,200,10000,15,25,TRUE,TRUE,1,100,300,200,,,,,8,,0,1100
,,,,,,,,,,38000,38000,450,450000,450000,2225,0,0,0,,,,,,,,,,,,,7,655000,655000,5550,,,,
,,,,,,,,,,38500,38500,475,475000,475000,2325,550,33,1,,,,,,,,,,,,,8,705000,705000,6050,,,,
,,,,,,,,,,39000,39000,500,500000,500000,2450,550,33,1,,,,,,,,,,,,,9,755000,755000,7050,,,,
,,,,,,,,,,42500,42500,550,550000,550000,2700,550,33,1,,,,,,,,,,,,,10,855000,855000,8550,,,,
,,,,,,,,,,47500,47500,600,600000,600000,2950,550,33,1,,,,,,,,,,,,,11,930000,930000,9300,,,,
,,,,,,,,,,62500,62500,750,675000,675000,3325,550,33,1,,,,,,,,,,,,,12,1005000,1005000,10050,,,,
,,,,,,,,,,75000,75000,800,700000,700000,3450,550,33,1,,,,,,,,,,,,,13,1010000,1010000,10100,,,,
,,,,,,,,,,75000,75000,800,700000,700000,3450,550,33,1,,,,,,,,,,,,,14,1010000,1010000,10100,,,,
,,,,,,,,,,75000,75000,800,700000,700000,3450,550,33,1,,,,,,,,,,,,,15,1010000,1010000,10100,,,,
,,,,,,,,,,75000,75000,800,700000,700000,3450,550,33,1,,,,,,,,,,,,,16,1010000,1010000,10100,,,,
,,,,,,,,,,75000,75000,800,700000,700000,3450,550,33,1,,,,,,,,,,,,,17,1010000,1010000,10100,,,,
,,,,,,,,,,75000,75000,800,700000,700000,3450,550,33,1,,,,,,,,,,,,,18,1010000,1010000,10100,,,,
Wizard1,TID_LEAGUE_TIER_4_RANK_1,TID_LEAGUE_TIER_4_RANK_1_SHORT,TID_LEAGUE_TIER_4,sc/ui.sc,icon_2025_league_wizard_rank1,icon_2025_league_wizard,icon_2025_league_wizard_level,icon_2025_league_small_wizard_level,1,,,,,,,,,,20,100,200,10000,15,25,TRUE,TRUE,1,100,300,200,,,,,8,,0,1200
,,,,,,,,,,50500,50500,500,475000,475000,2350,0,0,0,,,,,,,,,,,,,7,660000,660000,5600,,,,
,,,,,,,,,,51000,51000,525,500000,500000,2450,575,35,1,,,,,,,,,,,,,8,710000,710000,6100,,,,
,,,,,,,,,,51500,51500,550,525000,525000,2575,575,35,1,,,,,,,,,,,,,9,760000,760000,7100,,,,
,,,,,,,,,,55000,55000,600,575000,575000,2825,575,35,1,,,,,,,,,,,,,10,860000,860000,8600,,,,
,,,,,,,,,,60000,60000,650,625000,625000,3075,575,35,1,,,,,,,,,,,,,11,935000,935000,9350,,,,
,,,,,,,,,,75000,75000,800,700000,700000,3450,575,35,1,,,,,,,,,,,,,12,1010000,1010000,10100,,,,
,,,,,,,,,,100000,100000,900,750000,750000,3700,575,35,1,,,,,,,,,,,,,13,1020000,1020000,10200,,,,
,,,,,,,,,,100000,100000,900,750000,750000,3700,575,35,1,,,,,,,,,,,,,14,1020000,1020000,10200,,,,
,,,,,,,,,,100000,100000,900,750000,750000,3700,575,35,1,,,,,,,,,,,,,15,1020000,1020000,10200,,,,
,,,,,,,,,,100000,100000,900,750000,750000,3700,575,35,1,,,,,,,,,,,,,16,1020000,1020000,10200,,,,
,,,,,,,,,,100000,100000,900,750000,750000,3700,575,35,1,,,,,,,,,,,,,17,1020000,1020000,10200,,,,
,,,,,,,,,,100000,100000,900,750000,750000,3700,575,35,1,,,,,,,,,,,,,18,1020000,1020000,10200,,,,
Valkyrie3,TID_LEAGUE_TIER_5_RANK_3,TID_LEAGUE_TIER_5_RANK_3_SHORT,TID_LEAGUE_TIER_5,sc/ui.sc,icon_2025_league_valkyrie_rank3,icon_2025_league_valkyrie,icon_2025_league_valkyrie_level,icon_2025_league_small_valkyrie_level,3,,,,,,,,,,25,100,200,10000,15,25,TRUE,TRUE,1,100,300,200,,,,,10,,0,1300
,,,,,,,,,,63000,63000,550,500000,500000,2475,0,0,0,,,,,,,,,,,,,7,665000,665000,5650,,,,
,,,,,,,,,,63500,63500,575,525000,525000,2575,600,37,1,,,,,,,,,,,,,8,715000,715000,6150,,,,
,,,,,,,,,,64000,64000,600,550000,550000,2700,600,37,1,,,,,,,,,,,,,9,765000,765000,7150,,,,
,,,,,,,,,,67500,67500,650,600000,600000,2950,600,37,1,,,,,,,,,,,,,10,865000,865000,8650,,,,
,,,,,,,,,,72500,72500,700,650000,650000,3200,600,37,1,,,,,,,,,,,,,11,940000,940000,9400,,,,
,,,,,,,,,,87500,87500,850,725000,725000,3575,600,37,1,,,,,,,,,,,,,12,1015000,1015000,10150,,,,
,,,,,,,,,,125000,125000,1000,800000,800000,3950,600,37,1,,,,,,,,,,,,,13,1030000,1030000,10300,,,,
,,,,,,,,,,125000,125000,1000,800000,800000,3950,600,37,1,,,,,,,,,,,,,14,1030000,1030000,10300,,,,
,,,,,,,,,,125000,125000,1000,800000,800000,3950,600,37,1,,,,,,,,,,,,,15,1030000,1030000,10300,,,,
,,,,,,,,,,125000,125000,1000,800000,800000,3950,600,37,1,,,,,,,,,,,,,16,1030000,1030000,10300,,,,
,,,,,,,,,,125000,125000,1000,800000,800000,3950,600,37,1,,,,,,,,,,,,,17,1030000,1030000,10300,,,,
,,,,,,,,,,125000,125000,1000,800000,800000,3950,600,37,1,,,,,,,,,,,,,18,1030000,1030000,10300,,,,
