Name,EnabledByCalendar,ArmyName,ArmyNameTID,CreatorName,ArmyType,MinRequiredTownHallLevel,MaxRequiredTownHallLevel,LanguageCode,ArmyCode,GuideUrl
TH15_Hydra_2,,Dragon Master,TID_STARTERARMY_TH15_DRAGON_WARDEN,,Suggested,15,16,,h0p9e8_0-1p3e17_20-2m1p2e4_34-6p4e44_43i2x5-2x8-1x62d1x2-1x5u9x5-7x8-5x65-1x23-1x62s3x2-3x5-1x1,
TH15_Natures_Wrath,,Root Raiders,TID_STARTERARMY_TH15_NATURES_WRATH,,Suggested,15,16,,h0p4e8_1-1p3e3_20-2p7e4_34-4p8e12_9i10x11-1x51d1x2-1x5u4x7-8x110-11x12-4x6-1x87s3x2-2x70-1x9,
TH15_Mass_Miners,,Mass Miners,TID_STARTERARMY_TH15_MASS_MINERS,,Suggested,15,16,,h0p4e8_0-1p3e3_20-2p7e4_5-4p8e12_9i10x11-1x75d1x2-1x9u1x97-48x24-3x6-1x75s3x1-3x5-1x70,
TH16_Royal_Charge,,Royal Charge,TID_STARTERARMY_TH16_AIR_RAID,,Suggested,16,17,,h1p9e17_20-6p4e44_43-2m1p2e4_34-4p10e12_40i2x53-2x5-1x6-1x52d1x2-1x35u15x8-1x23-1x82-2x10-1x62s11x35,
TH16_Valhalla_Roots,,Root Raiders 2,TID_STARTERARMY_TH16_ROOT_RAIDERS_2,,Suggested,16,17,,h0p4e8_1-1p9e3_20-2p7e4_34-4p10e12_9i3x12-5x11-1x1-1x87d1x2-1x5u5x7-5x110-15x12-2x58-1x51s3x2-2x70-1x9,
TH16_Electro_Storm_4,,Electro Storm 3,TID_STARTERARMY_TH16_ELECTRO_DRAGONS,,Suggested,16,17,,h0p4e8_14-1p3e17_20-2m1p2e4_34-4p10e12_9i2x53-3x6-2x1-1x52d1x2-1x5u2x23-6x5-9x59-1x62s3x2-1x5-2x70,
TH16_ElectricRoots,,Titan Healer,TID_STARTERARMY_TH16_ELECTRO_HEALING,,Suggested,16,17,,h0p9e8_1-1p3e39_20-2p7e4_34-4p10e12_9i10x11-1x75d1x2-1x5u4x7-3x95-6x110-4x15-1x75s1x2-1x5-4x70,
TH17_Royal_Charge_2,,Royal Roots,TID_STARTERARMY_TH17_ROOT_RIDERS,,Suggested,17,18,,h0p4e8_1-1p9e17_20-2p16e4_34-4p10e40_12i11x11-1x92d1x9-1x70u4x7-6x110-16x12-9x6-1x87s5x35-1x53-2x2,
TH17_Mass_Miners_2,,Mass Miners 2.0,TID_STARTERARMY_TH17_MASS_MINERS,,Suggested,17,18,,h0p4e8_1-1p9e17_20-2p7e4_5-4p10e9_12i11x11-1x92d1x2-1x5u50x24-1x97-2x23-1x75s3x1-3x5-1x70,
TH17_Yeti_Blimp,,Winged Fury,TID_STARTERARMY_TH17_DRAGONS,,Suggested,17,18,,h1p9e17_20-6p4e44_43-2m1p16e4_34-4p10e13_6i3x53-1x52d1x16u15x8-1x23-6x5-1x52s3x16-1x2,
TH17_Fireball_Madness,,Fireball Madness,TID_STARTERARMY_TH17_FIREBALL,,Suggested,17,18,,h0p4e8_1-1p9e17_20-2p16e24_22-4p10e9_12i3x53-1x135d1x2-1x9u6x7-10x132-3x110-2x53-1x91s5x35-2x2-2x10,
TH4_Ballooned_Barch,,Ballooned Barch,TID_STARTERARMY_TH4_BALLOONED_BARCH,,Suggested,4,5,,u12x5-5x0-15x1,
TH4_Barcher_Blast,,B-Archer Blast,TID_STARTERARMY_TH4_BARCHER_BLAST,,Suggested,4,5,,u50x0-30x1,
TH5_Blast_And_Bash,,Blast & Bash,TID_STARTERARMY_TH5_BLAST_AND_BASH,,Suggested,5,6,,u12x3-5x5-7x4-9x6s2x0,
TH5_Loot_Smash,,Loot Smash,TID_STARTERARMY_TH5_LOOT_SMASH,,Suggested,5,6,,u12x3-41x2-5x4-6x6s2x0,
TH5_Precision_Drop,,Precision Drop,TID_STARTERARMY_TH5_PRECISION_DROP,,Suggested,5,6,,u5x6-22x5-5x1s2x0,
TH6_Gob_Smash,,Gob Smash,TID_STARTERARMY_TH6_GOB_SMASH,,Suggested,6,7,,u8x4-15x3-10x1-49x2s2x1,
TH6_Sky_Surge,,Sky Surge,TID_STARTERARMY_TH6_SKY_SURGE,,Suggested,6,7,,u4x6-23x5-19x1s4x0,
TH6_Tank_And_Torch,,Tank & Torch,TID_STARTERARMY_TH6_TANK_AND_TORCH,,Suggested,6,7,,u10x3-3x7-11x6-7x4s2x1,
TH7_Giant_Blaze,,Giant Blaze,TID_STARTERARMY_TH7_GIANT_BLAZE,,Suggested,7,8,,h0e0_1u23x3-5x1-16x6-8x4s3x1,
TH7_Fire_In_The_Sky,,Fire in the Sky,TID_STARTERARMY_TH7_FIRE_IN_THE_SKY,,Suggested,7,8,,h0e0_1u8x8-8x5s6x0,
TH7_Magic_Hogs,,Magic Hogs,TID_STARTERARMY_TH7_MAGIC_HOGS,,Suggested,7,8,,u27x11-4x4-5x3-8x6s3x1,
TH8_Fly_High,,Fly High,TID_STARTERARMY_TH8_FLY_HIGH,,Suggested,8,9,,h0e0_1u8x8-8x5s7x0,
TH8_Whirlwind_Entry,,Whirlwind Entry,TID_STARTERARMY_TH8_WHIRLWIND_ENTRY,,Suggested,8,9,,h0e0_8u2x13-10x12-6x4-12x6s3x1-1x9,
TH8_PEKKA_Smash,,Pekka Smash,TID_STARTERARMY_TH8_PEKKA_SMASH,,Suggested,8,9,,h1e2_3u2x13-4x9-8x6-4x4s3x1-1x9,
TH9_Go_Witch,,Go-Witch,TID_STARTERARMY_TH9_GO_WITCH,,Suggested,9,10,,h0e8_1-1e2_3u2x13-13x15-1x6s2x3-2x1-1x9,
TH9_Fire_In_The_Sky_2,,Fire in the Sky 2.0,TID_STARTERARMY_TH9_FIRE_IN_THE_SKY_2,,Suggested,9,10,,h0e0_8-1e2_17u8x8-8x5-2x23s6x0-1x2-1x10,
TH9_LavaLoon,,LavaLoon,TID_STARTERARMY_TH9_LAVALOON,,Suggested,9,10,,h6e42_43-1e2_17u3x17-20x5-15x10s3x2-1x1-1x5,
EV_TH10_HotHogSummer,TRUE,,TID_EVENTARMY_TH10_HOTHOGSUMMER,Hog Rider,Event,10,10,,h0e14_8-1e48_2i1x51-7x26d1x5u16x11-16x12-8x6s3x1-2x2-1x5,
EV_TH11_HotHogSummer,TRUE,,TID_EVENTARMY_TH10_HOTHOGSUMMER,Hog Rider,Event,11,11,,h0e14_8-1e48_2-2e4_5i1x51-7x26d1x70u16x11-16x12-6x6-2x7s3x1-2x2-1x5,
EV_TH12_HotHogSummer,TRUE,,TID_EVENTARMY_TH10_HOTHOGSUMMER,Hog Rider,Event,12,12,,h0e14_8-1e48_20-2e4_5i1x87-2x64d1x70u18x11-17x12-5x6-2x7-1x82-1x51s3x1-2x2-1x5,
EV_TH13_HotHogSummer,TRUE,,TID_EVENTARMY_TH10_HOTHOGSUMMER,Hog Rider,Event,13,13,,h0e14_8-1e48_20-2e4_5-4e40_7i1x91-2x64-1x26d1x70u18x11-18x12-3x6-3x7-2x82-1x87s3x1-2x2-1x5,
EV_TH14_HotHogSummer,TRUE,,TID_EVENTARMY_TH10_HOTHOGSUMMER,Hog Rider,Event,14,14,,h0p1e14_8-1p3e48_20-2p2e4_5-4p0e40_7i1x91-2x64-1x26d1x70-1x5u14x98-3x58-3x23-3x7-2x82-3x1-1x87s3x1-2x2-1x5,
EV_TH15_HotHogSummer,TRUE,,TID_EVENTARMY_TH10_HOTHOGSUMMER,Hog Rider,Event,15,15,,h0p1e14_8-1p3e48_20-2p2e4_5-4p0e40_7i1x91-2x64-2x26d1x70-1x5u15x98-3x58-4x23-3x7-2x82-1x1-1x87s3x1-2x2-1x5,
EV_TH16_HotHogSummer,TRUE,,TID_EVENTARMY_TH10_HOTHOGSUMMER,Hog Rider,Event,16,16,,h0p1e14_8-1p3e48_20-2p2e4_5-4p10e40_7i2x64-2x26-1x135d1x70-1x5u16x98-3x58-4x23-2x7-2x82-3x1-1x87-1x91s2x1-2x2-3x35,
EV_TH17_HotHogSummer,TRUE,,TID_EVENTARMY_TH10_HOTHOGSUMMER,Hog Rider,Event,17,17,,h0p1e14_8-1p3e48_20-2p16e4_5-4p10e40_7i2x64-3x26-1x135d1x70-1x5u17x98-4x58-3x23-2x7-3x82-1x87-1x91s2x1-2x2-3x35,
EV_TH10_June2025,TRUE,,TID_EVENTARMY_TH10_ARMYOFTHEMONTH,Dragon Rider,Event,10,10,,h1e17_2-6e35_43i1x63-1x8-1x62d1x5u11x8-2x23s6x28-2x5-1x9-1x2,https://www.youtube.com/watch?v=KSGkFM1A6zM
EV_TH11_June2025,TRUE,,TID_EVENTARMY_TH10_ARMYOFTHEMONTH,Dragon Rider,Event,11,11,,h1e17_2-6e35_43-2m1e22_4i1x63-1x8-1x62d2x5u12x8-2x23s6x28-2x5-1x9-1x2,https://www.youtube.com/watch?v=KSGkFM1A6zM
EV_TH12_June2025,TRUE,,TID_EVENTARMY_TH10_ARMYOFTHEMONTH,Dragon Rider,Event,12,12,,h1e17_20-6e35_43-2m1e22_4i1x62-2x63-2x5d2x5u13x8-2x23-1x52s6x28-2x5-1x9-1x2,https://www.youtube.com/watch?v=KSGkFM1A6zM
EV_TH13_June2025,TRUE,,TID_EVENTARMY_TH10_ARMYOFTHEMONTH,Dragon Rider,Event,13,13,,h1e17_20-6e35_43-2e22_4-0e10_1i1x62-3x63d2x5u14x8-2x23-1x52s6x28-2x5-1x9-1x2,https://www.youtube.com/watch?v=KSGkFM1A6zM
EV_TH14_June2025,TRUE,,TID_EVENTARMY_TH10_ARMYOFTHEMONTH,Dragon Rider,Event,14,14,,h1p3e17_20-6p0e35_43-2m1p2e22_4-0p1e10_1i1x62-3x63d3x5u7x81-2x23-1x52s6x28-2x5-1x9-1x2,https://www.youtube.com/watch?v=KSGkFM1A6zM
EV_TH15_June2025,TRUE,,TID_EVENTARMY_TH10_ARMYOFTHEMONTH,Dragon Rider,Event,15,15,,h1p3e17_20-6p0e35_43-2m1p2e22_4-0p1e10_1i1x62-3x63-1x5d3x5u7x81-4x23-1x52s6x28-2x5-1x9-1x2,https://www.youtube.com/watch?v=KSGkFM1A6zM
EV_TH16_June2025,TRUE,,TID_EVENTARMY_TH10_ARMYOFTHEMONTH,Dragon Rider,Event,16,16,,h1p3e17_20-6p4e35_43-2m1p2e22_4-0p9e10_1i1x62-3x63-1x5d3x5u7x81-4x23-1x52s6x28-2x5-1x9-1x2,https://www.youtube.com/watch?v=KSGkFM1A6zM
EV_TH17_June2025,TRUE,,TID_EVENTARMY_TH10_ARMYOFTHEMONTH,Dragon Rider,Event,17,17,,h1p3e17_20-6p4e35_43-2m1p2e22_4-0p9e10_1i1x62-3x63-2x5d3x5u8x81-2x23-1x52s6x28-2x5-1x9-1x2,https://www.youtube.com/watch?v=KSGkFM1A6zM
CA_TH17_Moose_FurnaceQuake,TRUE,FurnaceQuake,TID_CREATORARMY_TH17_FURNACEQUAKE,Sir Moose,Event,17,17,,h0p10e14_8-1p3e17_20-2p8e34_4-4p4e13_40i1x0-3x53-1x75d1x9-1x2u2x58-10x150-10x15-5x4-1x52-1x75s8x10-3x17,https://www.youtube.com/watch?v=KD81f8nUhhc
CA_TH16_Moose_SuperYeti,TRUE,Rooted Yetis,TID_CREATORARMY_TH16_YETIROOTS,Sir Moose,Event,16,16,,h1p3e48_39-2m1p8e4_24-4p4e13_40-0p10e14_8i1x12-1x22-2x53-1x52d1x9-1x98u4x147-6x110-4x7-2x10-1x75-1x62-1x52s3x16-1x2,https://www.youtube.com/watch?v=LY6LC1QKW58
EV_TH10_ClasheramaMassMiners,TRUE,,TID_EVENTARMY_TH10_CLASHERAMA_MASS_MINERS,,Event,10,10,,h0e0_1-1e2_3i1x51-7x11d1x5u40x24s5x1-1x9,
EV_TH11_ClasheramaMassMiners,TRUE,,TID_EVENTARMY_TH11_CLASHERAMA_MASS_MINERS,,Event,11,11,,h0e8_14-1e17_39-2e4_5i7x11-1x75d2x5u40x24-2x23s5x1-1x9,
EV_TH12_ClasheramaMassMiners,TRUE,,TID_EVENTARMY_TH12_CLASHERAMA_MASS_MINERS,,Event,12,12,,h0e8_14-1e39_20-2e4_5i7x11-1x75d2x5u40x24-2x23-2x82-2x1-1x6-1x10-1x75s5x1-1x9,
EV_TH13_ClasheramaMassMiners,TRUE,,TID_EVENTARMY_TH13_CLASHERAMA_MASS_MINERS,,Event,13,13,,h0e8_14-1e39_20-2e4_5-4e40_6i7x11-1x75d2x5u41x24-2x23-2x82-3x1-1x6-1x58-1x75s5x1-1x9,
EV_TH14_ClasheramaMassMiners,TRUE,,TID_EVENTARMY_TH14_CLASHERAMA_MASS_MINERS,,Event,14,14,,h0p1e8_14-1p3e39_20-2p2e4_5-4p0e40_9i9x11-1x75d1x5-1x2u41x24-1x82-2x6-2x23-1x97-1x75s3x1-1x9-2x5-1x70,
EV_TH15_ClasheramaMassMiners,TRUE,,TID_EVENTARMY_TH15_CLASHERAMA_MASS_MINERS,,Event,15,15,,h0p4e8_14-1p9e48_20-2p7e4_5-4p8e40_9i10x11-1x75d1x5-1x2u47x24-1x23-1x97-1x28-1x75s4x1-1x9-2x5,
EV_TH16_ClasheramaMassMiners,TRUE,,TID_EVENTARMY_TH16_CLASHERAMA_MASS_MINERS,,Event,16,16,,h0p4e8_14-1p9e48_20-2p7e4_5-4p10e40_9i10x11-1x75d1x2-1x5u37x24-1x23-1x28-4x7-1x97-1x6-1x75s4x1-1x9-2x5,
EV_TH17_ClasheramaMassMiners,TRUE,,TID_EVENTARMY_TH17_CLASHERAMA_MASS_MINERS,,Event,17,17,,h0p4e8_14-1p9e48_20-2p7e4_34-4p10e40_9i11x11-1x75d1x2-1x5u46x24-1x23-1x28-5x26-1x97-1x1-1x75s3x1-1x9-2x5-1x70,
EV_TH10_SeptemberWitches,TRUE,,TID_EVENTARMY_TH10_SEPTEMBER_WITCHES,,Event,10,10,,h0e1_10-1e3_15i5x22-1x3-1x51d1x9u3x13-11x15-2x1-6x4-1x6s2x10-8x0-1x5,
EV_TH11_SeptemberWitches,TRUE,,TID_EVENTARMY_TH11_SEPTEMBER_WITCHES,,Event,11,11,,h0e1_10-1e3_15-2e4_5i4x12-3x0-1x51d2x5u3x13-12x15-2x6-9x4s2x10-8x0-1x9,
EV_TH12_SeptemberWitches,TRUE,,TID_EVENTARMY_TH12_SEPTEMBER_WITCHES,,Event,12,12,,h0e1_10-1e3_15-2e4_5i5x12-1x87d2x5u11x29-13x15-3x6-2x1-1x51s2x10-8x0-1x9,
EV_TH13_SeptemberWitches,TRUE,,TID_EVENTARMY_TH13_SEPTEMBER_WITCHES,,Event,13,13,,h0e1_10-1e3_15-2e4_34-4e6_40i5x12-1x87-1x3d1x2u11x29-13x15-3x6-2x1-1x51s1x10-5x0-1x9-1x3-2x5,
EV_TH14_SeptemberWitches,TRUE,,TID_EVENTARMY_TH14_SEPTEMBER_WITCHES,,Event,14,14,,h0p1e1_10-1p3e3_15-2p2e4_34-4p0e9_40i5x12-1x87-1x3d1x10-1x9-1x5u6x9-12x15-3x4-1x51s1x10-10x0,
EV_TH15_SeptemberWitches,TRUE,,TID_EVENTARMY_TH15_SEPTEMBER_WITCHES,,Event,15,15,,h0p4e1_10-1p9e20_15-2p7e4_34-4p8e9_40i5x12-1x87-1x3d1x2-1x5u7x95-8x15-1x87s1x10-7x0-1x5-1x3,
EV_TH16_SeptemberWitches,TRUE,,TID_EVENTARMY_TH16_SEPTEMBER_WITCHES,,Event,16,16,,h0p4e1_10-1p9e20_15-2p7e4_34-4p8e9_40i5x12-1x87-2x3d1x2-1x5u7x95-8x15-1x87s1x10-7x0-1x5-1x3,
EV_TH17_SeptemberWitches,TRUE,,TID_EVENTARMY_TH17_SEPTEMBER_WITCHES,,Event,17,17,,h0p4e14_8-1p9e20_48-2p16e4_34-4p10e12_40i6x12-2x1-1x135-1x11d1x9-1x2u4x53-7x15-1x95-1x28-4x110-8x12-1x135-1x87s11x35,
CA_TH16_Moose_RootTitans,TRUE,Root Titans,TID_CREATORARMY_TH16__MOOSE_ROOTTITANS,Sir Moose,Event,16,16,,h0p4e10_1-1p3e17_20-2p8e4_34-4p10e6_9i1x75-6x12-1x10d1x2-1x9u6x95-6x110-1x82-1x10-1x75s1x10-7x0-1x70-1x5,https://www.youtube.com/shorts/WWYviXi9Bpg
CA_TH15_Corrupt_RootValks,TRUE,Root Valks,TID_CREATORARMY_TH15_CORRUPT_ROOTVALKS,CorruptYT,Event,15,15,,h0p4e1_10-4p8e7_9-2p9e4_34-1p3e3_20i1x75-2x11-2x110d1x9-1x70u2x1-10x110-9x12-1x82-2x97-1x75s1x1-2x2-3x5-1x70,https://www.youtube.com/shorts/J3P25ge3kIY
CA_TH11_Moose_MassDragons,TRUE,Mass Dragons,TID_CREATORARMY_TH11_MOOSE_MASSDRAGONS,Sir Moose,Event,11,11,,h0p4e10_1-1p3e17_20-2p8e4_34-4p10e6_9i1x75-6x12-1x10d1x2-1x9u6x95-6x110-1x82-1x10-1x75s1x10-7x0-1x70-1x5,https://www.youtube.com/shorts/aDR6GQzX520
TH18_Meteor_Mayhem,,Meteor Golem,TID_STARTERARMY_TH18_METEOR_GOLEMS,,Suggested,18,18,,h0p4e14_8-2p16e4_34-1p9e20_17-4p10e9_7i1x64-1x147-1x51d1x9-1x2u8x177-1x53-1x10-1x87s5x98-1x10,
TH18_Electro_Storm_5,,Electro Dragons,TID_STARTERARMY_TH18_ELECTRO_DRAGONS,,Suggested,18,18,,h6p2e49_42-2m1p16e4_24-4p9e6_7-1p3e3_17i1x5-2x65-1x51d3x5u6x59-7x5-5x65-1x62s9x0-1x2,
TH18_Sweaty_Yetis,,Super Yetis,TID_STARTERARMY_TH18_SUPER_YETIS,,Suggested,18,18,,h1p3e48_20-2p16e34_24-4p4e6_9-0p10e11_8i3x53-1x75d1x9-1x98u6x147-3x53-1x82-5x7-1x52s3x16-1x2,
