Name,Character,IsDefaultSkin,EnabledByCalendar,TID,Geometry,Texture,NormalMap,Animation,AltAnimation,CameraDistance,ViewportWidth,ViewportHeight,DeploySfx,DeploySfxVolume,DieSfx,DieSfxVolume,CelebrateSfx,CelebrateSfxVolume,AttackSfx,AttackSfxVolume,AttackSfxMinPitch,AttackSfxMaxPitch,AbilityTriggerEffect,SkinChangeEffect,ParticleEffect3D
,,,,,,,,,,,,,,,sfx/pw_die_03.ogg,80,,,sfx/pw_atk_03.ogg,80,95,105,,,
,,,,,,,,,,,,,,,,,,,sfx/pw_atk_05.ogg,80,95,105,,,
,,,,,,,,,,,,,,,,,,,sfx/pw_atk_05.ogg,80,95,105,,,
,,,,,,,,,,,,,,,,,,,sfx/pw_atk_06.ogg,80,95,105,,,
,,,,,,,,,,,,,,,,,,,sfx/pw_atk_05.ogg,80,95,105,,,
,,,,,,,,,,,,,,,,,,,sfx/pw_atk_05.ogg,80,95,105,,,
,,,,,,,,,,,,,,,,,,,sfx/pw_atk_05.ogg,80,95,105,,,
GrandWardenChronos002,Grand Warden,,TRUE,,,,,,,,,,,,,,,,,,,,,,
GrandWardenChronos003,Grand Warden,,TRUE,,,,,,,,,,,,,,,,,,,,,,
GrandWardenChronos004,Grand Warden,,TRUE,,,,,,,,,,,,,,,,,,,,,,
GrandWardenChronos005,Grand Warden,,TRUE,,,,,,,,,,,,,,,,,,,,,,
GrandWardenChronos006,Grand Warden,,TRUE,,,,,,,,,,,,,,,,,,,,,,
GrandWardenChronos007,Grand Warden,,TRUE,,,,,,,,,,,,,,,,,,,,,,
GrandWardenChronos008,Grand Warden,,TRUE,,,,,,,,,,,,,,,,,,,,,,
