TID,Description,EN,FR
TID_ALLIANCE_LEADERBOARDS,,Top Clans,
TID_ALLIANCE_LEAVE_CONFIRMATION,,Do you really want to leave?,
TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE,,Leave Clan?,
TID_ALLIANCE_LIST_HEADER,,Clan,
TID_ALLIANCE_MAIN_BUTTON,,Clan,
TID_ALLIANCE_PROMOTE_BUTTON,,Promote to <role>,
TID_ALLIANCE_REJECTED_BY,,Rejected by <name>,
TID_ALLIANCE_REQUEST_ACCEPTED,,Welcome to our clan!,
TID_ALLIANCE_REQUEST_DECLINED,,Sorry. We can't take you as a member right now.,
TID_ALLIANCE_ROLE_ADMIN,,Clan Elder,
TID_ALLIANCE_ROLE_LEADER,,Clan Leader,
TID_ALLIANCE_ROLE_MEMBER,,Clan Member,
TID_ALLIANCE_SELECT_BADGE,,Select Clan Symbol,
TID_ALLIANCE_SNEAK_PREVIEW,,Unlock Clans by rebuilding the Clan Castle!,
TID_ALLIANCE_STREAM_REWARD,,You received <number>xp,
TID_ALLIANCE_STREAM_THANKS,,Thank you for the troops!,
TID_ALLIANCE_TROOP_RECEIVED,,You have received <troop> from <avatar>!,
TID_ALLIANCE_TYPE_CLOSED,,Closed,
TID_ALLIANCE_TYPE_INVITE_ONLY,,Invite only,
TID_ALLIANCE_TYPE_OPEN,,Anyone can join,
TID_ALL_TROOPS_USED,,All forces deployed,
TID_ARCHER,,Archer,
TID_ARCHER_TOWER_INFO,,"Archer Towers have longer range than cannons, and unlike cannons they can attack flying enemies. ",
TID_ATTACK_BUTTON,,Attack,
TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK,,Can't attack! Village is already under attack.,
TID_ATTACK_FAIL_LEVEL_DIFFERENCE,,Can't attack! Level difference is more than <level>,
TID_ATTACK_FAIL_NEWBIE_PROTECTED,,Can't attack this village because its Town Hall is below level <number>.,
TID_ATTACK_FAIL_NO_MATCHES,,Unable to find villages to attack!,
TID_ATTACK_FAIL_SAME_ALLIANCE,,Can't attack your own clan members!,
TID_ATTACK_FAIL_SHIELD,,Can't attack! Village has active shield,
TID_ATTACK_FAIL_TARGET_ONLINE,,Can't attack! Village owner is online.,
TID_ATTACK_LOCKED,,Upgrade Town Hall to level 2 to unlock this feature!,
TID_AVAILABLE_LOOT,,Available Loot:,
TID_BACK_BUTTON,,Back,
TID_BARBARIAN,,Barbarian,
TID_BARRACK_INFO,,The Barracks allow you to train troops to attack your enemies. Upgrade the Barracks to unlock advanced units that can win epic battles.,
TID_BASIC_TURRET_INFO,,"Cannons are great for point defense. Upgrade cannons to increase their firepower, but beware that your defensive turrets cannot shoot while being upgraded!",
TID_BATTLECOST,,Cost:,
TID_BATTLE_INBOX,,Inbox,
TID_BATTLE_LOG,,Battle Log,
TID_BATTLE_LOG_COL_1,,Player attacking you:,
TID_BATTLE_LOG_COL_2,,Loot:,
TID_BATTLE_LOG_COL_3,,Outcome:,
TID_BATTLE_LOG_ITEM,,<name> attacked you <time> ago.,
TID_BATTLE_LOG_TITLE,,You've been attacked!,
TID_BATTLE_START_TIME,,Battle starts in:,
TID_BATTLE_TIME_TITLE,,Battle ends in:,
TID_BIND_TO_NEW_FACEBOOK_ACCOUNT,,Do you want to link your current game to this Facebook account?,
TID_BIND_TO_NEW_FACEBOOK_ACCOUNT_TITLE,,New Facebook login,
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT,,Do you want to save your current game on this Game Center account?,
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT_TITLE,,New Game Center login,
TID_BUILDER,,Builder:,
TID_BUILDING_AIR_DEFENSE,,Air Defense,
TID_BUILDING_ALLIANCE_CASTLE,,Clan Castle,
TID_BUILDING_ALLIANCE_MARKER,,Clan Flag,
TID_BUILDING_ARCHER_TOWER,,Archer Tower,
TID_BUILDING_BARRACK,,Barracks,
TID_BUILDING_CANNON,,Cannon,
TID_BUILDING_CAP_REACHED,,Can't build more yet!,
TID_BUILDING_CLASS_ARMY,,Army Buildings,
TID_BUILDING_CLASS_DEFENSE,,Defenses,
TID_BUILDING_CLASS_RESOURCE,,Resources,
TID_BUILDING_CLASS_WALL,,Walls,
TID_BUILDING_ELIXIR_PUMP,,Elixir Collector,
TID_BUILDING_ELIXIR_STORAGE,,Elixir Storage,
TID_BUILDING_FENCE,,Fence,
TID_BUILDING_GOLD_MINE,,Gold Mine,
TID_BUILDING_GOLD_STORAGE,,Gold Storage,
TID_BUILDING_HOUSE,,House,
TID_BUILDING_HOUSING,,Army Camp,
TID_BUILDING_LABORATORY,,Laboratory,
TID_BUILDING_MORTAR,,Mortar,
TID_BUILDING_TEXT_ALERT,,!!!,
TID_BUILDING_TEXT_FULL,,Full!,
TID_BUILDING_TEXT_TRAIN,,Train,
TID_BUILDING_TOWN_HALL,,Town Hall,
TID_BUILDING_WALL,,Wall,
TID_BUILDING_WIZARD_TOWER,,Wizard Tower,
TID_BUILD_TIME,,Build time,
TID_BUILD_TIME_INSTANT,,None,
TID_BUTTON_ACCEPT,,Accept,
TID_BUTTON_ATTACK,,Attack!,
TID_BUTTON_CANCEL,,Cancel,
TID_BUTTON_CLEAR,,Remove,
TID_BUTTON_COLLECT,,Collect,
TID_BUTTON_DONE,,Done,
TID_BUTTON_FIGHT,,Start!,
TID_BUTTON_HOME,,Return Home,
TID_BUTTON_INFO,,Info,
TID_BUTTON_JOIN,,Join,
TID_BUTTON_OKAY,,Okay,
TID_BUTTON_RATE_APP_LATER,,Later,
TID_BUTTON_RATE_APP_NEVER,,Never,
TID_BUTTON_RATE_APP_REVIEW,,Review,
TID_BUTTON_REJECT,,Reject,
TID_BUTTON_REPAIR,,Rebuild,
TID_BUTTON_REQUEST_TROOPS,,Request Troops,
TID_BUTTON_SELL,,Sell,
TID_BUTTON_SEND,,Send,
TID_BUTTON_SHOP,,Shop,
TID_BUTTON_SPEEDUP,,Finish Now,
TID_BUTTON_TRAIN,,Train Troops,
TID_BUTTON_UPGRADE,,Upgrade,
TID_BUTTON_UPGRADE_TROOPS,,Upgrade Unit,
TID_BUY_MISSING_RESOURCES_HEADER,,You need more <resource>,
TID_BUY_MISSING_RESOURCES_TEXT,,Buy the missing <count> <resource>?,
TID_BUY_RESOURCE_PACK_HEADER,,Buy <resource>?,
TID_BUY_RESOURCE_PACK_TEXT,,Are you sure you want to buy <count> <resource>?,
TID_BUY_SHIELD_HEADER,,Buy shield?,
TID_BUY_SHIELD_TEXT,,Are you sure you want to buy <name>?,
TID_CLAN_MEMBERS,,Members:,
TID_CLAN_TOTAL_POINTS,,Total points:,
TID_CLAN_TYPE,,Type:,
TID_COME_BACK_NOTIFICATION_LARGE,,"Hey, your troops want to go to battle",
TID_COME_BACK_NOTIFICATION_MEDIUM,,"Hey, your troops want to go to battle",
TID_COME_BACK_NOTIFICATION_SMALL,,"Hey, your troops want to go to battle",
TID_COMM_MAST,,Radio Tower,
TID_CONNECT_WITH_FACEBOOK_BUTTON,,Connect to Facebook,
TID_CONTAINER_MAX,,Max:,
TID_CREATE_ALLIANCE_BUTTON,,Create,
TID_CREATE_ALLIANCE_TAB,,Create Clan,
TID_DECORATION_BARBARIAN_STATUE,,Mighty Statue,
TID_DECORATION_BRAZIL_FLAG,,National Flag,
TID_DECORATION_CANADA_FLAG,,National Flag,
TID_DECORATION_DOWNARROW_FLAG,,Rally Flag,
TID_DECORATION_FINLAND_FLAG,,National Flag,
TID_DECORATION_FLOWERBOX1,,Cornflower Bed,
TID_DECORATION_FLOWERBOX2,,Sunflower Bed,
TID_DECORATION_FRANCE_FLAG,,National Flag,
TID_DECORATION_GBR_FLAG,,National Flag,
TID_DECORATION_GERMANY_FLAG,,National Flag,
TID_DECORATION_ITALIA_FLAG,,National Flag,
TID_DECORATION_SKULL_ALTAR,,Ancient Skull,
TID_DECORATION_SKULL_FLAG,,Pirate Flag,
TID_DECORATION_SPAIN_FLAG,,National Flag,
TID_DECORATION_SWE_FLAG,,National Flag,
TID_DECORATION_TORCH,,Torch,
TID_DECORATION_UPARROW_FLAG,,Point Flag,
TID_DECORATION_USA_FLAG,,National Flag,
TID_DECORATION_WHITE_FLAG,,White Flag,
TID_DECORATION_WINDMETER,,Weather Vane,
TID_DEFAULT_VILLAGE_NAME,,<name>'s Village,
TID_DEFEAT,,Defeat,
TID_DEMOTE_TO_MEMBER_CONFIRMATION,,Demote <name> to Clan Member?,
TID_DEMOTE_TO_MEMBER_CONFIRMATION_TITLE,,Demote?,
TID_DIAMONDS,,Gems,
TID_DIAMONDS_FOUND,,You found <number> gems from the <name>!,
TID_DIAMOND_FOUND,,You found a gem from the <name>!,
TID_DIAMOND_PACK_1,,Pile of Gems,
TID_DIAMOND_PACK_2,,Bag of Gems,
TID_DIAMOND_PACK_3,,Sack of Gems,
TID_DIAMOND_PACK_4,,Box of Gems,
TID_DIAMOND_PACK_5,,Chest of Gems,
TID_DIAMOND_PACK_6,,Trunk of Gems,
TID_DIAMOND_SHOP_PACK,,<number> Gems,
TID_DPS,,Damage (per second): <number>,
TID_DRAGON,,Dragon,
TID_ELIXIR,,Elixir,
TID_ELIXIR_PUMP_INFO,,Elixir is pumped from Ley Lines coursing underneath your village. Upgrade your Elixir Collectors to maximize elixir production.,
TID_ELIXIR_SHOP_PACK,,<number> Elixir,
TID_ELIXIR_STORAGE_INFO,,These storages contain the elixir pumped from underground. Upgrade them to increase the maximum amount of elixir you can store.,
TID_END_BATTLE_BUTTON,,End Battle,
TID_ERROR_POP_UP_AUTO_DISCONNECTED,,Click the button below to reload the game.,
TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON,,Reload game,
TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE,,Anyone there?,
TID_ERROR_POP_UP_CONNECTION_FAILED,,Unable to connect with the server. Check your internet connection and try again.,
TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON,,Try again,
TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE,,Connection error,
TID_ERROR_POP_UP_CONNECTION_LOST,,You have lost connection with the server. Check your internet connection and try again.,
TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON,,Try again,
TID_ERROR_POP_UP_CONNECTION_LOST_TITLE,,Connection lost,
TID_ERROR_POP_UP_LOGIN_FAILED,,Please try again later.,
TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON,,Try again,
TID_ERROR_POP_UP_LOGIN_FAILED_TITLE,,Login failed,
TID_ERROR_POP_UP_OUT_OF_SYNC,,Client and server are out of sync!,
TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON,,Reload game,
TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE,,Error!,
TID_ERROR_POP_UP_SERVER_MAINTENANCE,,"Sorry, the servers are under maintenance. Please try again later.",
TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON,,Try again,
TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE,,Maintenance break,
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION,,Good news! A new version of the game is available.,
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON,,Update,
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE,,Update is available!,
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT,,This Facebook account is already linked to another Clash of Clans game. Link it to your current game instead?,
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT_TITLE,,Facebook Alert,
TID_FEEDBACK_BUTTON,,Send Feedback,
TID_FEEDBACK_EMAIL_TITLE,,Feedback%20for%20Clash%20of%20Clans,
TID_FINISH_BUTTON,,Finish,
TID_FINISH_TRAINING,,Finish Training:,
TID_FRIEND_LIST_TEAMUP_1,,Team Up!,
TID_FRIEND_LIST_TEAMUP_2,,and create your clan,
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT,,Do you want to load Chief <name>'s village with Town Hall level <number>? Warning: progress in the current game will be lost.,
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT_TITLE,,Game Center Alert,
TID_GAMECENTER_ID_BOUND_TO_OTHER_VILLAGE,,,
TID_GAMECENTER_ID_BOUND_TO_OTHER_VILLAGE_TITLE,,,
TID_GAME_CENTER,,Game Center,
TID_GEM_BUY_CONFIRMATION,,Gems received!,
TID_GEM_POPUP_TEXT,,You're out of gems. Go to the Shop to get some more!,
TID_GIANT,,Giant,
TID_GIVE_NAME_TITLE,,My name is...,
TID_GOBLIN,,Goblin,
TID_GOBLIN_BALLOON,,Goblin Balloon,
TID_GOBLIN_SPEAKS_1,,Gwaaarh! I'm not through with you yet.  ,
TID_GOBLIN_SPEAKS_2,,"You may have beaten me once, but this goblin camp is a lot tougher.",
TID_GOLD,,Gold,
TID_GOLD_MINE_INFO,,The Gold Mine produces gold. Upgrade it to boost its production and gold storage capacity.,
TID_GOLD_SHOP_PACK,,<number> Gold,
TID_GOLD_STORAGE_INFO,,All your precious gold is stored here. Don't let sneaky goblins anywhere near! Upgrade the storage to increase its capacity and durability against attack.,
TID_HEAL,,Heal: <number>,
TID_HEALER,,Healer,
TID_HITPOINTS,,Hitpoints: <number>,
TID_HOUSING_INFO,,"Your troops are stationed in Army Camps. Build more camps and upgrade them to muster a powerful army. If an Army Camp is destroyed, all troops inside will perish!",
TID_HOUSING_TROOPS_INSIDE,,Troops inside:,
TID_INFO,,i,
TID_INFO_DAMAGE_TYPE,,Damage type:,
TID_INFO_DAMAGE_TYPE_AOE,,Area Splash,
TID_INFO_DAMAGE_TYPE_SINGLE,,Single Target,
TID_INFO_HEAL_TYPE,,Heal type:,
TID_INFO_HOUSING,,Housing Space:,
TID_INFO_PREFERRED_TARGET,,Favorite target:,
TID_INFO_RANGE,,Range:,
TID_INFO_RANGE_VALUE,,<number> Tiles,
TID_INFO_TARGET_TYPE,,Targets:,
TID_INFO_TARGET_TYPE_AIR,,Air,
TID_INFO_TARGET_TYPE_GROUND,,Ground,
TID_INFO_TARGET_TYPE_GROUND_AND_AIR,,Ground & Air,
TID_INFO_TRAINING_TIME,,Training Time:,
TID_INVALID_NAME,,Invalid name! Please try another one.,
TID_INVALID_PLACEMENT,,Invalid location! Select an empty area.,
TID_INVITE_BUTTON,,Invite,
TID_ITEM_BROKEN,,<item> (Broken),
TID_ITEM_LEVEL,,<item> (Level <number>),
TID_JOINALLIANCEQUESTION,,Accept Clan invitation?,
TID_JOINQUESTION,,Want to join?,
TID_JOIN_ALLIANCE_TAB,,Join Clan,
TID_KICK_MEMBER_CONFIRMATION,,Kick out <name> from the Clan?,
TID_KICK_MEMBER_CONFIRMATION_TITLE,,Banishment!,
TID_KICK_OUT_FROM_ALLIANCE,,Kick Out,
TID_LABORATORY_INFO,,"What dark secrets do the Alchemists hide inside their Laboratory? Nobody has dared to look. All we know is that their potions make our troops harder, better, faster and stronger!",
TID_LEAVE_ALLIANCE_BUTTON,,Leave,
TID_LEVEL_NUM,,Level <number>,
TID_LEVEL_UP,,Level Up!,
TID_LOADING,,Loading,
TID_LOADING_FACEBOOK_FRIENDS,,Loading friend list...,
TID_LOCAL_NOTIFICATION_BUILDING_READY,,<item> construction finished,
TID_LOCAL_NOTIFICATION_UPGRADE_READY,,<item> upgraded to level <level>,
TID_LOCKED_IN_TUTORIAL,,Complete the tutorial to unlock this feature!,
TID_LOGIN_TO_FACEBOOK_BUTTON,,Login to Facebook,
TID_LOOT,,You lost resources:,
TID_MAP_LOCATION_1,,Lake of P.E.K.K.A,
TID_MAP_LOCATION_10,,Goblin Camp,
TID_MAP_LOCATION_11,,Rotten Sea,
TID_MAP_LOCATION_12,,Gold Oaks Inn,
TID_MAP_LOCATION_13,,Colossal Pass,
TID_MAP_LOCATION_14,,Goblin King's Hideout,
TID_MAP_LOCATION_2,,Forbidden Forest,
TID_MAP_LOCATION_3,,Victory Valley,
TID_MAP_LOCATION_4,,Barbaria,
TID_MAP_LOCATION_5,,Frozen Lake,
TID_MAP_LOCATION_6,,Looter Creek,
TID_MAP_LOCATION_7,,Stone Lake,
TID_MAP_LOCATION_8,,Aslan Arc,
TID_MAP_LOCATION_9,,Sour Lake,
TID_MAX_TROOP_LEVEL,,Max Level,
TID_MISSION_COMPLETE_TITLE,,Mission Completed!,
TID_MISSION_REWARD,,Reward:,
TID_MISSION_SCREEN_TITLE,,Missions,
TID_MORTAR_INFO,,The Mortar can mow down hordes of enemies by the splash damage from its shell. Don't let enemies get too close to it!,
TID_MULTIDEVICE_INFO,,"If you want to play Clash of Clans with multiple iOS devices, connect using the same Game Center account",
TID_MULTIPLAYER,,Multi Player,
TID_MULTIPLAYER_COST,,Match cost:,
TID_MULTIPLAYER_POINTS,,Your Victory Points:,
TID_MY_ALLIANCE_TAB,,My Clan,
TID_NAME_TOO_SHORT,,Name is too short!,
TID_NEW,,New,
TID_NEW_ITEMS_UNLOCKED,,New Items Unlocked,
TID_NEXT_MATCH,,Next,
TID_NOT_ENOUGH_HOUSING_SPACE,,You don't have enough room in Army Camps!,
TID_NOT_ENOUGH_RESOURCE,,You don't have enough <resource>!,
TID_NOT_ENOUGH_WORKERS_HEADER,,All builders are busy!  ,
TID_NOT_ENOUGH_WORKERS_TEXT,,Free up a builder?,
TID_NO_FACEBOOK_FRIENDS,,Unable to find Facebook friends who play Clash of Clans,
TID_NO_TROOPS,,You need to train some troops first.,
TID_NPC1,,Goblin Outpost,
TID_NPC10,,Gobbotown,
TID_NPC11,,M is for Mortar,
TID_NPC12,,Megablaster,
TID_NPC13,,Immovable Object,
TID_NPC14,,Fort Knobs,
TID_NPC15,,Watchtower,
TID_NPC16,,Fool's Gold,
TID_NPC17,,Thoroughfare,
TID_NPC18,,Bouncy Castle,
TID_NPC19,,Fikova,
TID_NPC2,,Rocky Fort,
TID_NPC20,,Gobbo Campus,
TID_NPC21,,Danny Boy,
TID_NPC22,,Ommahha Beech,
TID_NPC23,,Walls of Steel,
TID_NPC24,,Sicilian Defense,
TID_NPC25,,Obsidian Tower,
TID_NPC26,,Arrow Head,
TID_NPC27,,Red Carpet,
TID_NPC28,,Natural Defense,
TID_NPC29,,Steel Gauntlet,
TID_NPC3,,Goblin Gauntlet,
TID_NPC30,,Queen's Gambit,
TID_NPC31,,Full Frontal,
TID_NPC32,,Chimp in Armor,
TID_NPC33,,Faulty Towers,
TID_NPC34,,Point Man,
TID_NPC35,,Triple A,
TID_NPC36,,Goblin Picnic,
TID_NPC37,,Bait 'n Switch,
TID_NPC38,,Collateral Damage,
TID_NPC39,,Choose Wisely,
TID_NPC4,,Cannonball Run,
TID_NPC40,,Mega Evil,
TID_NPC41,,Crystal Crust,
TID_NPC42,,Cold as Ice,
TID_NPC43,,Jump Around,
TID_NPC44,,Kitchen Sink,
TID_NPC45,,Rolling Terror,
TID_NPC46,,Megamansion,
TID_NPC47,,P.E.K.K.A's Playhouse,
TID_NPC48,,Sherbet Towers,
TID_NPC49,,Goblin King v.1,
TID_NPC5,,Two Smoking Barrels,
TID_NPC50,,Goblin King v.2,
TID_NPC6,,Gold Rush,
TID_NPC7,,Maginot Line,
TID_NPC8,,Rat Valley,
TID_NPC9,,Brute Force,
TID_NPC_ATTACK_BUTTON,,Attack,
TID_NPC_NAME_TUTORIAL,,Payback,
TID_NPC_NAME_TUTORIAL2,,Goblin Forest,
TID_OBSTACLE_BUSH,,Bush,
TID_OBSTACLE_CLEAR_TIME,,Removal time,
TID_OBSTACLE_MUSHROOM,,Mushroom,
TID_OBSTACLE_STONE,,Stone,
TID_OBSTACLE_TOMBSTONE,,Tombstone,
TID_OBSTACLE_TREE,,Tree,
TID_OBSTACLE_TRUNK,,Trunk,
TID_OTHER_TROOP_LEFT,,Select a different unit,
TID_OUTCOME,,Outcome:,
TID_OVERALL_DAMAGE,,Overall Damage,
TID_PEKKA,,P.E.K.K.A,
TID_PLACEMENT_HINT,,Tap multiple times in an empty area to deploy your troops,
TID_PLAYER_ATTACKING_YOU,,Players attacking you:,
TID_PLAYER_LEADERBOARDS,,Top Players,
TID_POPUP_ABOUT_TO_SELL,,Sell decoration,
TID_POPUP_ABOUT_TO_SELL_TITLE,,Sell building,
TID_POPUP_CANCEL_CLEAR,,Do you really want to cancel removal of <item>?,
TID_POPUP_CANCEL_CLEAR_TITLE,,Cancel?,
TID_POPUP_CANCEL_CONSTRUCTION,,Do you really want to cancel construction of <item>?,
TID_POPUP_CANCEL_CONSTRUCTION_TITLE,,Cancel?,
TID_POPUP_CANCEL_UPGRADE,,Do you really want to cancel upgrade of <item>?,
TID_POPUP_CANCEL_UPGRADE_TITLE,,Cancel?,
TID_POPUP_FRIEND_LIST_TITLE,,Friends,
TID_POPUP_HEADER_WARNING,,Warning!,
TID_POPUP_NOT_ENOUGH_DIAMONDS,,Do you want to get more?,
TID_POPUP_NOT_ENOUGH_DIAMONDS_BUTTON,,Enter Shop,
TID_POPUP_NOT_ENOUGH_DIAMONDS_TITLE,,Not enough Gems,
TID_POPUP_SHIELD_REMOVAL,,"Attacking will disable your shield, and other players will be able to attack you. Are you sure?",
TID_POPUP_SHIELD_REMOVAL_TITLE,,Shield is active,
TID_POPUP_TEXT_ABOUT_TO_SELL,,Do you really want to sell <item> for <number> <resource>?,
TID_POPUP_TRAIN_TITLE,,Train <limit>,
TID_POPUP_TRY_AGAIN,,Estimated time left:,
TID_POPUP_UNDER_ATTACK,,"You are under attack! Please wait, your village will load automatically.",
TID_POPUP_UPGRADE_BUILD_MORE,,Build more:,
TID_POPUP_UPGRADE_TITLE,,Upgrade to level <number>?,
TID_POPUP_UPGRADE_TROOP_TITLE,,Choose unit type to upgrade,
TID_PREFERRED_TARGET_ANY,,Any,
TID_PREFERRED_TARGET_DAMAGE_BONUS,,(Damage x<number>),
TID_PRODUCTION_CAPACITY,,Capacity: <number>,
TID_PRODUCTION_RATE,,Production Rate: <number> per hour,
TID_PROMOTE_TO_ADMIN_CONFIRMATION,,Promote <name> to Clan Elder?,
TID_PROMOTE_TO_ADMIN_CONFIRMATION_TITLE,,Promote?,
TID_PROMOTE_TO_LEADER_CONFIRMATION,,Make <name> the new Clan Leader?,
TID_PROMOTE_TO_LEADER_CONFIRMATION_TITLE,,Step Down?,
TID_PVP_BUTTON,,Find a Match,
TID_RANKTITLE,,Rank,
TID_RATE_APP_MESSAGE,,Please rate or review Clash of Clans on App Store to give us valuable feedback!,
TID_RATE_APP_TITLE,,Rate Clash of Clans,
TID_REPAIR_CLAN_CASTLE,,Be part of a Clan,
TID_REPAIR_CLAN_CASTLE_2,,Rebuild your Clan Castle to find allies and join the struggle for power!,
TID_REPAIR_CLAN_CASTLE_TITLE,,Rebuild Clan Castle,
TID_REQUESTTROOPS,,Request Warriors,
TID_REQUIRED_BARRACK_LEVEL,,Level <number> Barracks Required,
TID_REQUIRED_CASTLE_LEVEL,,Level <number> Castle Required,
TID_REQUIRED_EXP_LEVEL,,Experience Level <number> Required,
TID_REQUIRED_LABORATORY_LEVEL,,Level <number> Laboratory Required,
TID_REQUIRED_TOWN_HALL_LEVEL,,Level <number> Town Hall Required,
TID_RESOURCE_BUY_CONFIRMATION,,Resources received!,
TID_RESOURCE_CAP_FULL_ELIXIR,,Build more or upgrade existing Elixir Storages!,
TID_RESOURCE_CAP_FULL_GOLD,,Build more or upgrade existing Gold Storages!,
TID_RESOURCE_PACK_ELIXIR_10,,Fill Storages by 10%,
TID_RESOURCE_PACK_ELIXIR_50,,Fill Storages by Half,
TID_RESOURCE_PACK_ELIXIR_FULL,,Fill Elixir Storages,
TID_RESOURCE_PACK_GOLD_10,,Fill Storages by 10%,
TID_RESOURCE_PACK_GOLD_50,,Fill Storages by Half,
TID_RESOURCE_PACK_GOLD_FULL,,Fill Gold Storages,
TID_RESOURCE_PACK_LOCKED,,Not enough storage space!,
TID_RESOURCE_STORAGE_CAPACITY,,Storage Capacity: <number>,
TID_REVENGE,,Revenge,
TID_SAVE_ALLIANCE_SETTINGS,,Save,
TID_SCORE,,Score,
TID_SETTINGS_BUTTON_FACEBOOK_CONNECTED,,Connected,
TID_SETTINGS_BUTTON_FACEBOOK_DISCONNECTED,,Disconnected,
TID_SETTINGS_CHANGENAMENOTE,,NOTE! You can only change your name once!,
TID_SETTINGS_FACEBOOK,,Facebook,
TID_SETTINGS_MUSIC,,Music,
TID_SETTINGS_NAME,,Name,
TID_SETTINGS_OFF,,Off,
TID_SETTINGS_ON,,On,
TID_SETTINGS_SCREEN_TITLE,,Settings,
TID_SETTINGS_SFX,,Sound Effects,
TID_SHIELD_ACTIVATED,,Shield activated for <hours> hours,
TID_SHIELD_BUY_CONFIRMATION,,Shield was activated!,
TID_SHIELD_NONE,,None,
TID_SHIELD_TITLE,,Shield:,
TID_SHOP_AVAILABLE,,Available:,
TID_SHOP_CATEGORY_ARMY_BUILDINGS,,Army,
TID_SHOP_CATEGORY_BUILDERS,,Builders,
TID_SHOP_CATEGORY_DECOS,,Decorations,
TID_SHOP_CATEGORY_DEFENSE_BUILDINGS,,Defenses,
TID_SHOP_CATEGORY_RESOURCE_BUILDINGS,,Resources,
TID_SHOP_CATEGORY_SHIELD,,Shield,
TID_SHOP_CATEGORY_TREASURE,,Treasure,
TID_SHOP_SHIELD_1D,,One Day Shield,
