Name,SWF,ExportName,Sound,Volume,MinPitch,MaxPitch,ParticleEmitter,CameraShake,AttachToParent,Looping,IsoLayer
,,,,,,,Dust2,,,,objects
Collect Diamonds,,,sfx/collect_diamonds_01.wav,80,100,100,Collect Diamonds,,,,top
Collect Elixir,,,sfx/elixir_collect_02.wav,90,100,100,Collect Elixir,,,,top
Collect Gold,,,sfx/coins_collect_01.wav,90,100,100,Collect Gold,,,,top
Dragon Attack,,,sfx/dragon_attack_01.wav,100,95,105,Fire,,TRUE,,top
,,,,,,,Smoke_small,,TRUE,,top
,,,,,,,Spark,,TRUE,,objects
Dragon Deploy,,,sfx/dragon_deploy_01.wav,100,100,100,,,,,
Dragon Die,,,sfx/dragon_die_01.wav,100,95,105,SplatBig,,TRUE,,top
Dragon Hit,,,,,,,,,,,
Elixir Pump Pickup,,,sfx/elixir_pump_pickup_07.wav,100,100,100,Grass,,,,top
Elixir Pump Placing,,,sfx/elixir_pump_drop_03.wav,100,100,100,Place,,TRUE,,objects
,,,,,,,Grass,,TRUE,,objects
Elixir Storage Pickup,,,sfx/elixir_storage_pickup_04.wav,100,100,100,Grass,,,,top
Elixir Storage Placing,,,sfx/elixir_storage_drop_02.wav,100,100,100,Place,,TRUE,,objects
,,,,,,,Grass,,TRUE,,objects
Flower Pickup,,,sfx/flower_03.wav,80,100,100,Grass,,,,
Generic Hit,,,sfx/barbarian_hit_stuff.wav,65,100,100,DefenceHit,,,,objects
Generic Pick Up,,,sfx/wall_pickup_01.wav,50,100,100,,,,,
Generic Placing,,,sfx/cannon_drop2.wav,50,100,100,Place,,TRUE,,top
Giant Attack,,,sfx/giant_attack_06.wav,90,90,110,,,,,
,,,sfx/giant_attack_05.wav,90,90,110,,,,,
Giant Deploy,,,sfx/giant_deploy_04.wav,90,100,100,Deploy,20,,,objects
,,,sfx/giant_deploy_04v2.wav,90,100,100,Grass,,,,objects
,,,sfx/giant_deploy_04v3.wav,90,100,100,Place,,,,objects
Giant Die,,,sfx/giant_death_02.wav,100,90,110,SplatBig,,TRUE,,top
Giant Hit,,,sfx/giant_attack_hit_01.wav,80,90,110,Hit,,TRUE,,objects
,,,sfx/giant_attack_hit_02.wav,80,90,110,Cannon,,TRUE,,objects
Goblin Attack,,,sfx/gob_attack_01.wav,80,90,110,,,,,
,,,sfx/gob_attack_02.wav,80,90,110,,,,,
,,,sfx/gob_attack_03.wav,80,90,110,,,,,
Goblin Deploy,,,sfx/goblin_deploy_14.wav,70,100,100,Deploy,,,,objects
,,,sfx/goblin_deploy_14v2.wav,70,100,100,,,,,
,,,sfx/goblin_deploy_14v3.wav,70,100,100,,,,,
Goblin Die,,,sfx/goblin_death_02.wav,100,95,110,Splat,,TRUE,,top
Goblin Hit,,,,,,,,,,,
Gold Mine Pickup,,,sfx/goldmine_pickup4.wav,100,100,100,Grass,,,,top
Gold Mine Placing,,,sfx/goldmine_drop4.wav,100,100,100,Place,,TRUE,,objects
,,,,,,,Grass,,TRUE,,objects
Gold Storage Pickup,,,sfx/golden_haus_04.wav,100,100,100,Grass,,,,top
Gold Storage Placing,,,sfx/golden_haus_drop_02.wav,100,100,100,Place,,TRUE,,objects
,,,,,,,Grass,,TRUE,,objects
Healer Attack,,,sfx/healer_attack_01.wav,80,95,105,,,,,
Healer Deploy,,,sfx/healer_deploy_01.wav,100,100,100,,,,,
Healer Die,,,sfx/healer_die_01.wav,100,95,105,SplatBig,,TRUE,,top
Healer Hit,,,sfx/healer_hit_01.wav,,,,,,,,
Illegal Position,,,sfx/bad_move_06.wav,60,100,100,,,,,
IsoTestFX,,,sfx/explosion_02.wav,100,100,100,IsoTestFX,,,,objects
Mortar Hit,,,sfx/mortar_hit_01.wav,100,95,105,MortarHit,100,TRUE,,top
,,,,,,,Ring,,TRUE,,top
,,,,,,,Stone,,TRUE,,top
,,,,,,,Grass,,TRUE,,top
,,,,,,,Grass,,TRUE,,top
,,,,,,,Grass,,TRUE,,top
Mortar Pickup,,,sfx/mortar_pickup_01.wav,100,100,100,Grass,,,,top
Mortar Placing,,,sfx/mortar_place_02.wav,100,100,100,Place,,TRUE,,objects
,,,,,,,Grass,,TRUE,,objects
Moving,,,sfx/moving_07.wav,60,110,115,,,,,
NoRoomForTroop,,,,,,,,,,,
Pekka Attack,,,sfx/pekka_attack_02.wav,90,100,110,,,,,
,,,sfx/pekka_attack_02v2.wav,90,100,110,,,,,
Pekka Deploy,,,sfx/deploy_pekka_05.wav,100,100,100,Deploy,,,,objects
Pekka Die,,,sfx/pekka_death_06.wav,100,100,110,SplatBig,,TRUE,,top
Pekka Hit,,,sfx/pekka_attack_hit_01.wav,90,100,110,Hit,,TRUE,,objects
,,,sfx/pekka_attack_hit_02.wav,90,100,110,,,,,
Sell Item,,,sfx/sell_item_01.wav,70,100,100,,,,,
Start Building,,,sfx/building_construct_07.wav,100,100,100,Smoke,,TRUE,,top
Steal Elixir,,,sfx/elixir_steal_03.wav,80,100,100,Steal Elixir,,,,top
Steal Gold,,,sfx/coin_steal_02.wav,80,100,100,Steal Gold,,,,top
Stone Pickup,,,sfx/rock_pickup3.wav,100,100,100,Rocks,,TRUE,,objects
,,,,,,,,,,,
Tower Turret Pickup,,,sfx/archer_tower_pick_01.wav,100,100,100,Grass,,,,top
Tower Turret Placing,,,sfx/archer_tower_place_02.wav,100,100,100,Place,,TRUE,,objects
,,,,,,,Grass,,TRUE,,objects
Town Hall Pickup,,,sfx/build_pickup_05.wav,100,100,100,Grass,,,,top
Town Hall Placing,,,sfx/town_hall_placing_04.wav,100,100,100,Place,,TRUE,,objects
,,,,,,,Grass,,TRUE,,objects
Training Barrack Pickup,,,sfx/troop_housing_pickup_06.wav,100,100,100,Grass,,,,top
Training Barrack Placing,,,sfx/troop_housing_placing_06.wav,100,100,100,Place,,TRUE,,objects
,,,,,,,Grass,,TRUE,,objects
TrainingFinished,,,sfx/training_finished_03.wav,100,100,100,Dust,,TRUE,,top
Trap Eject,,,sfx/trap_eject_01v2.wav,100,100,100,Trap,50,,,objects
,,,,,,,Grass,,,,objects
,,,,,,,Grass,,,,objects
Tree Pickup,,,sfx/tree8.wav,100,100,100,Wood,,,,objects
Troop Housing Pickup,,,sfx/troop_housing_pickup_09.wav,100,100,100,Grass,,,,top
Troop Housing Placing,,,sfx/troop_housing_placing_08.wav,100,100,100,Place,,TRUE,,objects
,,,,,,,Grass,,TRUE,,objects
Wall Breaker Attack,,,sfx/wall_breaker_attack_01.wav,100,95,105,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Wall Breaker Deploy,,,sfx/deploy_skeleton_07.wav,100,100,100,Deploy,,,,
,,,sfx/deploy_skeleton_07v2.wav,100,100,100,,,,,
,,,sfx/deploy_skeleton_07v3.wav,100,100,100,,,,,
Wall Breaker Die,,,sfx/wall_breaker_die_01.wav,,,,Splat,,TRUE,,top
Wall Breaker Hit,,,sfx/cannon_fire3.wav,80,90,110,Smoke,50,,,objects
,,,,,,,Grass,,,,objects
,,,,,,,Ring,,,,objects
Weak Wall Pickup,,,sfx/wall_pickup_01.wav,100,100,100,Grass,,,,top
Weak Wall Placing,,,sfx/wall_place_01.wav,100,100,100,Grass,,TRUE,,objects
,,,,,,,,,,,
Wizard Attack,,,sfx/mage_attack_02.wav,100,90,100,Dust,,TRUE,,objects
,,,sfx/mage_attack_02v2.wav,100,100,110,,,,,
,,,sfx/mage_attack_02v3.wav,100,90,100,,,,,
Wizard Deploy,,,sfx/mage_deploy_06.wav,100,100,100,Deploy,,,,objects
Wizard Die,,,sfx/wizard_die_01.wav,100,95,105,Splat,,TRUE,,top
Wizard Hit,,,sfx/wizard_hit_01.wav,,,,Hit,,TRUE,,objects
Wizard Tower Pickup,,,sfx/wizard_tower_pickup_02.wav,100,100,100,Grass,,,,top
Wizard Tower Placing,,,sfx/wizard_tower_drop_01.wav,100,100,100,Place,,TRUE,,objects
,,,,,,,Grass,,TRUE,,objects
Worker Building Pickup,,,sfx/builder_hut_pickup_02.wav,100,100,100,Grass,,,,objects
Worker Building Placing,,,sfx/builder_hut_place_02.wav,100,100,100,Place,,TRUE,,objects
,,,,,,,Grass,,,,
XP Gain,,,sfx/xp_gain_06.wav,90,100,100,XP Gain,,,,top
XP Level Up,,,sfx/xp_level_up_01.wav,100,100,100,XP Level Up,,,,
