Name,TID,InfoTID,BuildingClass,SWF,ExportName,ExportNameNpc,ExportNameConstruction,BuildTimeD,BuildTimeH,BuildTimeM,BuildResource,BuildCost,TownHallLevel,Width,Height,Icon,ExportNameBuildAnim,MaxStoredGold,MaxStoredElixir,Bunker,HousingSpace,ProducesResource,ResourcePerHour,ResourceMax,UnitProduction,UpgradesUnits,Hitpoints,RegenTime,AttackRange,AttackSpeed,Damage,DestroyEffect,AttackEffect,HitEffect,Projectile,ExportNameDamageAnim,ExportNameDamaged,BuildingW,BuildingH,ExportNameBase,ExportNameBaseNpc,AirTargets,GroundTargets,MinAttackRange,DamageRadius,PushBack,PickUpEffect,PlacingEffect,CanNotSellLast,DefenderCharacter,DefenderCount,DefenderZ,DestructionXP,Locked,Hidden,TriggerRadius,ExportNameTriggered,AppearEffect
,,,,,barracks_lvl7,,,1,0,0,,240000,5,,,,,,,,,,,,35,,340,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,barracks_lvl8,,,2,0,0,,1000000,6,,,,,,,,,,,,35,,350,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,barracks_lvl9,,,4,0,0,,1500000,7,,,,,,,,,,,,40,,390,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,barracks_lvl10,,,6,0,0,,2000000,8,,,,,,,,,,,,40,,420,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory,TID_BUILDING_LABORATORY,TID_LABORATORY_INFO,Army,sc/buildings.sc,laboratory_lvl1,,laboratory_const,,,30,Elixir,25000,3,4,4,,laboratory_upg,,,,,,,,,TRUE,250,30,,,,Building Destroyed,,,,gen_hitstate_smoke4,wood_destructed_state3,3,3,laboratory_base,npc_laboratory_base,,,,,,Training Barrack Pickup,Training Barrack Placing,,,,,,,,,,
,,,,,laboratory_lvl2,,,,5,0,,50000,4,,,,,,,,,,,,,,270,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,laboratory_lvl3,,,,10,0,,90000,5,,,,,,,,,,,,,,280,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,laboratory_lvl4,,,,20,0,,270000,6,,,,,,,,,,,,,,290,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,laboratory_lvl5,,,1,6,0,,540000,7,,,,,,,,,,,,,,310,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,laboratory_lvl6,,,2,16,0,,1080000,8,,,,,,,,,,,,,,320,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannon,TID_BUILDING_CANNON,TID_BASIC_TURRET_INFO,Defense,sc/buildings.sc,basic_turret_lvl1,,basic_turret_const,,,1,Gold,250,1,3,3,,basic_turret_upg,,,,,,,,,,400,30,900,800,9,Building Destroyed,Cannon Attack,Generic Hit,Cannonball,gen_hitstate_smoke3,gen_destructed_state2,2,2,basic_cannon_base,npc_basic_cannon_base,FALSE,TRUE,,,,Basic Turret Pickup,Basic Turret Placing,TRUE,,,,,,,,,
,,,,,basic_turret_lvl2,,,,,15,,1000,1,,,,,,,,,,,,,,450,31,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl3,,,,,45,,4000,2,,,,,,,,,,,,,,500,32,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl4,,,,2,0,,16000,3,,,,,,,,,,,,,,550,33,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl5,,,,6,0,,64000,4,,,,,,,,,,,,,,590,34,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl6,,,,12,0,,256000,5,,,,,,,,,,,,,,610,35,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl7,,,1,0,0,,1024000,6,,,,,,,,,,,,,,630,36,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl8,,,2,0,0,,1536000,7,,,,,,,,,,,,,,660,37,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl9,,,3,,0,,1792000,8,,,,,,,,,,,,,,690,38,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl10,,,5,,0,,2048000,8,,,,,,,,,,,,,,710,39,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer Tower,TID_BUILDING_ARCHER_TOWER,TID_ARCHER_TOWER_INFO,Defense,sc/buildings.sc,tower_turret_lvl1,,tower_turret_const,,,15,Gold,1000,2,3,3,,tower_turret_upg,,,,,,,,,,400,30,1000,1500,11,Building Destroyed,,Generic Hit,Tower Arrow,gen_hitstate_smoke3,wood_destructed_state2,2,2,defense_tower_turret_base,npc_defense_tower_turret_base,TRUE,TRUE,,,,Tower Turret Pickup,Tower Turret Placing,,Archer,1,180,,,,,,
,,,,,tower_turret_lvl2,,,,,30,,2000,2,,,,,,,,,,,,,,450,31,,,15,,,,,,,,,,,,,,,,,,,,2,,,,,,,
,,,,,tower_turret_lvl3,,,,,45,,5000,3,,,,,,,,,,,,,,500,32,,,19,,,,,,,,,,,,,,,,,,,,2,,,,,,,
,,,,,tower_turret_lvl4,,,,4,0,,20000,4,,,,,,,,,,,,,,550,33,,,25,,,,,,,,,,,,,,,,,,,,2,,,,,,,
,,,,,tower_turret_lvl5,,,,12,0,,80000,5,,,,,,,,,,,,,,590,34,,,29,,,,,,,,,,,,,,,,,,,,3,,,,,,,
,,,,,tower_turret_lvl6,,,1,0,0,,480000,5,,,,,,,,,,,,,,610,35,,,32,,,,,,,,,,,,,,,,,,,,3,,,,,,,
,,,,,tower_turret_lvl7,,,3,0,0,,960000,6,,,,,,,,,,,,,,630,36,,,36,,,,,,,,,,,,,,,,,,,,3,,,,,,,
,,,,,tower_turret_lvl8,,,4,0,0,,1440000,7,,,,,,,,,,,,,,660,37,,,42,,,,,,,,,,,,,,,,,,,,3,,,,,,,
,,,,,tower_turret_lvl9,,,5,0,0,,1740000,8,,,,,,,,,,,,,,690,38,,,48,,,,,,,,,,,,,,,,,,,,3,,,,,,,
,,,,,tower_turret_lvl10,,,6,0,0,,2180000,8,,,,,,,,,,,,,,710,39,,,56,,,,,,,,,,,,,,,,,,,,3,,,,,,,
Wall,TID_BUILDING_WALL,TID_WALL_INFO,Wall,sc/buildings.sc,defense_wall_lvl1,,generic_construction_state1,,,0,Gold,200,2,1,1,,generic_upgrade_state,,,,,,,,,,300,30,,,,Building Destroyed,,,,gen_hitstate_smoke1,wall_destructed_state1,,,,,,,,,,Weak Wall Pickup,Weak Wall Placing,,,,,,,,,,
,,,,,defense_wall_lvl2,,,,,0,,1000,2,1,1,,,,,,,,,,,,500,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl3,,,,,0,,5000,3,1,1,,,,,,,,,,,,700,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl4,,,,,0,,10000,4,,,,,,,,,,,,,,900,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl5,,,,,0,,30000,5,,,,,,,,,,,,,,1400,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl6,,,,,0,,75000,6,,,,,,,,,,,,,,2000,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl7,,,,,0,,200000,7,,,,,,,,,,,,,,2500,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl8,,,,,0,,500000,8,,,,,,,,,,,,,,3000,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wizard Tower,TID_BUILDING_WIZARD_TOWER,TID_WIZARD_TOWER_INFO,Defense,sc/buildings.sc,wizard_tower_lvl1,,wizard_tower_const,,12,0,Gold,180000,5,3,3,,wizard_tower_upg,,,,,,,,,,620,30,700,1300,11,Building Destroyed,Wizard Tower attack,Wizard Tower hit,Wizard Blast,gen_hitstate_smoke3,stone_destructed_state3,2,2,wizard_tower_base,npc_wizard_tower_base,TRUE,TRUE,,100,,Wizard Tower Pickup,Wizard Tower Placing,,Wizard,1,170,,,,,,
,,,,,wizard_tower_lvl4,,,1,0,0,,360000,5,,,,,,,,,,,,,,660,32,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,wizard_tower_lvl7,,,2,0,0,,720000,6,,,,,,,,,,,,,,690,34,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,wizard_tower_lvl8,,,4,0,0,,1280000,7,,,,,,,,,,,,,,720,36,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,wizard_tower_lvl9,,,6,0,0,,1960000,8,,,,,,,,,,,,,,760,38,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,wizard_tower_lvl10,,,8,0,0,,2320000,8,,,,,,,,,,,,,,800,40,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Defense,TID_BUILDING_AIR_DEFENSE,TID_AIR_DEFENSE_INFO,Defense,sc/buildings.sc,fireworks_tower_lvl1,,fireworks_tower_const,,5,0,Gold,22500,4,3,3,,fireworks_tower_upg,,,,,,,,,,620,30,1000,1500,80,Building Destroyed,,Generic Hit,Firework,gen_hitstate_smoke3,wood_destructed_state2,2,2,airdefence_tower_base,npc_airdefence_tower_base,TRUE,FALSE,,,,Air Defence Pickup,Air Defence Placing,,,,,,,,,,
,,,,,fireworks_tower_lvl2,,,1,0,0,,90000,4,,,,,,,,,,,,,,660,32,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fireworks_tower_lvl3,,,3,0,0,,270000,5,,,,,,,,,,,,,,690,34,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fireworks_tower_lvl4,,,5,0,0,,540000,6,,,,,,,,,,,,,,720,36,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fireworks_tower_lvl5,,,7,0,0,,1080000,7,,,,,,,,,,,,,,760,38,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,fireworks_tower_lvl6,,,8,0,0,,2160000,8,,,,,,,,,,,,,,800,40,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortar,TID_BUILDING_MORTAR,TID_MORTAR_INFO,Defense,sc/buildings.sc,mortar_lvl1,,mortar_const,,8,0,Gold,8000,3,3,3,,mortar_upg,,,,,,,,,,400,30,1000,5000,4,Building Destroyed,,Mortar Hit,Mortar Ammo,gen_hitstate_smoke3,gen_destructed_state2,2,2,mortar_base,npc_mortar_base,FALSE,TRUE,400,150,TRUE,Mortar Pickup,Mortar Placing,,,,,,,,,,
,,,,,mortar_lvl2,,,,12,0,,32000,4,,,,,,,,,,,,,,450,32,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,mortar_lvl3,,,1,0,0,,128000,5,,,,,,,,,,,,,,500,34,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,mortar_lvl4,,,2,0,0,,512000,6,,,,,,,,,,,,,,550,36,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,mortar_lvl5,,,4,0,0,,1024000,7,,,,,,,,,,,,,,590,38,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,mortar_lvl6,,,6,0,0,,2048000,8,,,,,,,,,,,,,,610,40,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliance Castle,TID_BUILDING_ALLIANCE_CASTLE,TID_ALLIANCE_CASTLE_INFO,Army,sc/buildings.sc,alliance_castle_lvl1,,alliance_castle_const,,,,Gold,40000,3,3,3,,alliance_castle_upg,,,TRUE,10,,,,,,500,30,,,,Building Destroyed,,,,gen_hitstate_smoke3,alliance_castle_lvl1_broken,2,2,alliance_castle_base,npc_alliance_castle_base,,,,,,Alliance Castle Pickup,Alliance Castle Placing,TRUE,,,,,TRUE,,,,
,,,,,alliance_castle_lvl2,,,,6,0,,100000,4,,,,,,,,15,,,,,,520,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,alliance_castle_lvl3,,,1,0,0,,800000,6,,,,,,,,20,,,,,,550,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,alliance_castle_lvl4,,,2,0,0,,1800000,8,,,,,,,,25,,,,,,580,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worker Building,TID_WORKER_BUILDING,TID_WORKER_INFO,Worker,sc/buildings.sc,worker_building,,worker_building_const,,,0,Diamonds,200,1,2,2,,worker_building_upg,,,,,,,,,,250,30,,,,Building Destroyed,,,,gen_hitstate_smoke2,wood_destructed_state1,1,1,worker_building_base,npc_worker_building_base,,,,,,Worker Building Pickup,Worker Building Placing,TRUE,,,,,,,,,
Communications mast,TID_COMM_MAST,TID_COMM_MAST_INFO,Npc,sc/buildings.sc,comm_mast_lvl1,,comm_mast_const,0,0,0,Gold,1000,1,2,2,,comm_mast_upg,,,,,,,,,,250,30,,,,Building Destroyed,,,,gen_hitstate_smoke2,comm_mast_lvl1_broken,1,1,comm_mast_base,npc_comm_mast_base,,,,,,,,TRUE,,,,,,,,,
Goblin main building,TID_GOBLIN_MAIN_BUILDING,TID_GOBLIN_MAIN_BUILDING_INFO,Npc,sc/buildings.sc,goblin_townhall_lvl1,,generic_construction_state3,,,1,Gold,0,,4,4,,generic_upgrade_state,1000,1000,,,,,,,,1250,30,,,,Building Destroyed,,,,gen_hitstate_smoke4,town_hall_broken,3,3,goblin_townhall_base,,,,,,,Town Hall Pickup,Town Hall Placing,TRUE,,,,1,,,,,
Goblin hut,TID_GOBLIN_HUT,TID_GOBLIN_HUT_INFO,Npc,sc/buildings.sc,goblin_hut_lvl1,,generic_construction_state3,,,5,Elixir,250,1,2,2,,generic_upgrade_state,,,,20,,,,,,250,30,,,,Building Destroyed,,,,gen_hitstate_smoke2,wood_destructed_state2,2,2,goblin_hut_base,,,,,,,Troop Housing Pickup,Troop Housing Placing,TRUE,,,,,,,,,
Tesla Tower,TID_BUILDING_TESLA_TOWER,TID_TESLA_TOWER_INFO,Defense,sc/buildings.sc,teslatower_lvl1_setup,,teslatower_const,,16,0,Gold,500000,7,2,2,,teslatower_upg,,,,,,,,,,600,34,700,600,30,Building Destroyed,Tesla Attack_1,Tesla Hit,,gen_hitstate_smoke2,gen_destructed_state2,1,1,,,TRUE,TRUE,,,,Tesla Pickup,Tesla Placing,,,,,,,TRUE,500,teslatower_lvl1,Tesla Appear
,,,,,teslatower_lvl2_setup,,,1,8,0,,700000,7,,,,,,,,,,,,,,630,35,,,33,,Tesla Attack_1,,,,,,,,,,,,,,,,,,,,,,,,teslatower_lvl2,
,,,,,teslatower_lvl3_setup,,,2,0,0,,900000,7,,,,,,,,,,,,,,660,36,,,36,,Tesla Attack_1,,,,,,,,,,,,,,,,,,,,,,,,teslatower_lvl3,
,,,,,teslatower_lvl4_setup,,,2,16,0,,1100000,8,,,,,,,,,,,,,,690,37,,,42,,Tesla Attack_2,,,,,,,,,,,,,,,,,,,,,,,,teslatower_lvl4,
,,,,,teslatower_lvl5_setup,,,3,8,0,,1500000,8,,,,,,,,,,,,,,730,38,,,48,,Tesla Attack_2,,,,,,,,,,,,,,,,,,,,,,,,teslatower_lvl5,
