Name,TID,SWF,HousingSpace,BarrackLevel,LaboratoryLevel,Speed,Hitpoints,TrainingTime,TrainingResource,TrainingCost,UpgradeTimeH,UpgradeResource,UpgradeCost,AttackRange,AttackSpeed,Damage,PreferedTargetDamageMod,DamageRadius,IconSWF,IconExportName,BigPicture,Projectile,PreferedTargetBuilding,DeployEffect,AttackEffect,HitEffect,IsFlying,AirTargets,GroundTargets,AttackCount,DieEffect
,,,,,5,,260,,,5000,48,,1000000,,,72,,,,,,,,,,,,,,,
,,,,,6,,310,,,6000,72,,,,,108,,,,,,,,,,,,,,,
Wizard,TID_WIZARD,sc/characters.cs,4,7,1,200,75,600,Elixir,2000,6,Elixir,150000,300,1500,50,1,,sc/ui.sc,icon_unit_wizard,unit_wizard_big,wizard_projectile,,Wizard Deploy,Wizard Attack,Wizard Hit,FALSE,TRUE,TRUE,,Wizard Die
,,,,,3,,90,,,3000,12,,250000,,,70,,,,,,,,,,,,,,,
,,,,,4,,108,,,4000,24,,500000,,,90,,,,,,,,,,,,,,,
,,,,,5,,130,,,5000,48,,1000000,,,125,,,,,,,,,,,,,,,
,,,,,6,,156,,,6000,72,,,,,170,,,,,,,,,,,,,,,
Healer,TID_HEALER,sc/characters.cs,20,8,1,200,60,1200,Elixir,7000,6,Elixir,500000,400,700,-30,1,200,sc/ui.sc,icon_unit_healer,unit_healer_big,HealerEnergy,,Healer Deploy,Healer Attack,Healer Hit,TRUE,FALSE,TRUE,,Healer Die
,,,,,5,,75,,,10000,48,,1000000,,,-40,,,,,,,,,,,,,,,
,,,,,6,,90,,,13000,72,,,,,-50,,,,,,,,,,,,,,,
Dragon,TID_DRAGON,sc/characters.cs,20,9,1,200,1600,1800,Elixir,40000,6,Elixir,2000000,300,1500,100,1,,sc/ui.sc,icon_unit_dragon,unit_dragon_big,,,Dragon Deploy,Dragon Attack,Dragon Hit,TRUE,TRUE,TRUE,,Dragon Die
,,,,,6,,2000,,,60000,72,,,,,150,,,,,,,,,,,,,,,
PEKKA,TID_PEKKA,sc/characters.cs,25,10,1,200,2200,3600,Elixir,75000,6,Elixir,2500000,80,2500,180,1,,sc/ui.sc,icon_unit_pekka,unit_pekka_big,,,Pekka Deploy,Pekka Attack,Pekka Hit,FALSE,FALSE,TRUE,,Pekka Die
,,,,,6,,2800,,,125000,72,,,,,250,,,,,,,,,,,,,,,
