TID,EN,AR,CN,CNT,DE,ES,FA,FI,FR,ID,IT,JP,KR,MS,NL,NO,PL,PT,RU,TH,TR,VI
TID_EVENTARMY_TH12_SEPTEMBER_WITCHES,Wicked Witches,ساحرات شريرات,女巫海,女巫海,Hexenhektik,Brujas malvadas,ساحره‌های شرور,Häijyt noidat,Satanées sorcières,Nenek Sihir Jahat,Streghe senza scrupoli,魔のネクロ,사악한 마녀,Perempuan Sihir Jahat,Snode heksen,Onde hekser,Przebrzydłe wiedźmy,Bruxas más,Вредные ведьмы,แม่มดชั่วร้าย,Cani Cadılar,Những Phù thủy độc ác
TID_EVENTARMY_TH13_CLASHERAMA_MASS_MINERS,Miner-a-rama!,مهرجان عامل المنجم!,矿工流！,礦工流！,Turbotunnelgräber,Mineros a montones,جشن بزرگ معدنچی‌ها!,Kaivosmieskarkelot!,Mineur-a-rama !,Penambang Merajalela!,Scav-a-Rama!,ディガー祭り！,광부 축제!,Himpunan Pelombong,Mijnwerkerswaanzin,Graver-a-rama!,Kopalniorama!,Mineir-a-rama!,Шахтеромания!,คนงานเหมืองอลวน,Madenci-a-rama!,Thợ mỏ náo loạn!
TID_EVENTARMY_TH13_SEPTEMBER_WITCHES,Wicked Witches,ساحرات شريرات,女巫海,女巫海,Hexenhektik,Brujas malvadas,ساحره‌های شرور,Häijyt noidat,Satanées sorcières,Nenek Sihir Jahat,Streghe senza scrupoli,魔のネクロ,사악한 마녀,Perempuan Sihir Jahat,Snode heksen,Onde hekser,Przebrzydłe wiedźmy,Bruxas más,Вредные ведьмы,แม่มดชั่วร้าย,Cani Cadılar,Những Phù thủy độc ác
TID_EVENTARMY_TH14_CLASHERAMA_MASS_MINERS,Miner-a-rama!,مهرجان عامل المنجم!,矿工流！,礦工流！,Turbotunnelgräber,Mineros a montones,جشن بزرگ معدنچی‌ها!,Kaivosmieskarkelot!,Mineur-a-rama !,Penambang Merajalela!,Scav-a-Rama!,ディガー祭り！,광부 축제!,Himpunan Pelombong,Mijnwerkerswaanzin,Graver-a-rama!,Kopalniorama!,Mineir-a-rama!,Шахтеромания!,คนงานเหมืองอลวน,Madenci-a-rama!,Thợ mỏ náo loạn!
TID_EVENTARMY_TH14_SEPTEMBER_WITCHES,Wicked Witches,ساحرات شريرات,女巫海,女巫海,Hexenhektik,Brujas malvadas,ساحره‌های شرور,Häijyt noidat,Satanées sorcières,Nenek Sihir Jahat,Streghe senza scrupoli,魔のネクロ,사악한 마녀,Perempuan Sihir Jahat,Snode heksen,Onde hekser,Przebrzydłe wiedźmy,Bruxas más,Вредные ведьмы,แม่มดชั่วร้าย,Cani Cadılar,Những Phù thủy độc ác
TID_EVENTARMY_TH15_CLASHERAMA_MASS_MINERS,Miner-a-rama!,مهرجان عامل المنجم!,矿工流！,礦工流！,Turbotunnelgräber,Mineros a montones,جشن بزرگ معدنچی‌ها!,Kaivosmieskarkelot!,Mineur-a-rama !,Penambang Merajalela!,Scav-a-Rama!,ディガー祭り！,광부 축제!,Himpunan Pelombong,Mijnwerkerswaanzin,Graver-a-rama!,Kopalniorama!,Mineir-a-rama!,Шахтеромания!,คนงานเหมืองอลวน,Madenci-a-rama!,Thợ mỏ náo loạn!
TID_EVENTARMY_TH15_SEPTEMBER_WITCHES,Wicked Witches,ساحرات شريرات,女巫海,女巫海,Hexenhektik,Brujas malvadas,ساحره‌های شرور,Häijyt noidat,Satanées sorcières,Nenek Sihir Jahat,Streghe senza scrupoli,魔のネクロ,사악한 마녀,Perempuan Sihir Jahat,Snode heksen,Onde hekser,Przebrzydłe wiedźmy,Bruxas más,Вредные ведьмы,แม่มดชั่วร้าย,Cani Cadılar,Những Phù thủy độc ác
TID_EVENTARMY_TH16_CLASHERAMA_MASS_MINERS,Miner-a-rama!,مهرجان عامل المنجم!,矿工流！,礦工流！,Turbotunnelgräber,Mineros a montones,جشن بزرگ معدنچی‌ها!,Kaivosmieskarkelot!,Mineur-a-rama !,Penambang Merajalela!,Scav-a-Rama!,ディガー祭り！,광부 축제!,Himpunan Pelombong,Mijnwerkerswaanzin,Graver-a-rama!,Kopalniorama!,Mineir-a-rama!,Шахтеромания!,คนงานเหมืองอลวน,Madenci-a-rama!,Thợ mỏ náo loạn!
TID_EVENTARMY_TH16_SEPTEMBER_WITCHES,Wicked Witches,ساحرات شريرات,女巫海,女巫海,Hexenhektik,Brujas malvadas,ساحره‌های شرور,Häijyt noidat,Satanées sorcières,Nenek Sihir Jahat,Streghe senza scrupoli,魔のネクロ,사악한 마녀,Perempuan Sihir Jahat,Snode heksen,Onde hekser,Przebrzydłe wiedźmy,Bruxas más,Вредные ведьмы,แม่มดชั่วร้าย,Cani Cadılar,Những Phù thủy độc ác
TID_EVENTARMY_TH17_CLASHERAMA_MASS_MINERS,Miner-a-rama!,مهرجان عامل المنجم!,矿工流！,礦工流！,Turbotunnelgräber,Mineros a montones,جشن بزرگ معدنچی‌ها!,Kaivosmieskarkelot!,Mineur-a-rama !,Penambang Merajalela!,Scav-a-Rama!,ディガー祭り！,광부 축제!,Himpunan Pelombong,Mijnwerkerswaanzin,Graver-a-rama!,Kopalniorama!,Mineir-a-rama!,Шахтеромания!,คนงานเหมืองอลวน,Madenci-a-rama!,Thợ mỏ náo loạn!
TID_EVENTARMY_TH17_SEPTEMBER_WITCHES,Wicked Witches,ساحرات شريرات,女巫海,女巫海,Hexenhektik,Brujas malvadas,ساحره‌های شرور,Häijyt noidat,Satanées sorcières,Nenek Sihir Jahat,Streghe senza scrupoli,魔のネクロ,사악한 마녀,Perempuan Sihir Jahat,Snode heksen,Onde hekser,Przebrzydłe wiedźmy,Bruxas más,Вредные ведьмы,แม่มดชั่วร้าย,Cani Cadılar,Những Phù thủy độc ác
TID_GP_POP_BANK,Bigger Season Bank,بنك موسم أكبر,更大的月度挑战资源箱容量,更大的周期挑戰資源箱儲存量,Größere Saisonbank,Mayor depósito de temporada,بانک فصل بزرگتر,Isompi kausipankki,Tirelire de saison améliorée,Bank Musim Lebih Besar,Deposito stagionale più grande,シーズン資源増量,더 큰 시즌 금고,Bank Musim lebih besar,Grotere seizoensbank,Større sesongbank,Większy bank sezonowy,Banco da temporada maior,Увеличенный объем банка сезона,ธนาคารฤดูกาลที่ใหญ่ขึ้น,Daha Büyük Sezon Bankası,Ống heo theo mùa lớn hơn
TID_GP_POP_BOOKS,+ 4 Books,+ 4 كتب,魔法之书+4,魔法之書+4,+4 Bücher,4 libros,+ 4 کتاب,+4 kirjaa,+4 livres,+4 Kitab,4 libri,本 +4,+ 책 4개,+ 4 Buku,+4 boeken,+ 4 bøker,+ 4 księgi,+4 livros,+4 книги,ตำรา +4 เล่ม,+4 Kitap,+ 4 quyển Sách
TID_GP_POP_BP,Bonus Points,نقاط إضافية,额外积分,額外積分,Bonuspunkte,Puntos de bonus,امتیازهای پاداش,Lisäpisteitä,Points bonus,Poin Bonus,Punti bonus,ボーナスポイント,보너스 점수,Mata Bonus,Bonuspunten,Bonuspoeng,Bonusowe punkty,Pontos extras,Бонусные очки,แต้มโบนัส,Bonus Puan,Điểm thưởng
TID_GP_POP_FORGE,Auto Forge Slot,خانة ورشة صياغة تلقائية,自动铸币栏位,自動鑄幣欄位,Automatikschmiede-Platz,Espacio automático de la forja,شکاف کوره خودکار,Takomon automaattipaikka,Place de forge auto.,Slot Tungku Tempa Otomatis,Slot automatico della fucina,自動造幣スロット,단조 작업소 자동 슬롯,Slot Tempa Automatik,Automatisch smederijvak,Automatisk smieplass,Automatyczne miejsce w kuźni,Espaço de forja automática,Автоматическая ячейка кузницы,ช่องโรงหลอมอัตโนมัติ,Otomatik Altın Atölyesi Bölmesi,Ô Lò luyện kim tự động
TID_GP_POP_MORE,and MORE!,والمزيد,还有更多！,還有更多！,und MEHR!,¡Y mucho más!,و موارد دیگر!,ja MUUTA!,et PLUS !,dan MASIH BANYAK LAGI!,E altro ancora!,他にも盛りだくさん！,그 외 다수!,…dan BANYAK LAGI!,en MEER!,og MER!,i NIE TYLKO!,e MAIS!,и многое другое!,และอีกมากมาย!,ve DAHA FAZLASI!,và NHIỀU NỘI DUNG KHÁC!
TID_GP_POP_MORE_ALT,and MORE!,والمزيد,还有更多！,還有更多！,und MEHR!,¡Y mucho más!,و موارد دیگر!,ja MUUTA!,et PLUS !,dan MASIH BANYAK LAGI!,E altro ancora!,その他盛りだくさん！,그 외 다수!,dan BANYAK LAGI!,en MEER!,og MER!,i NIE TYLKO!,e MAIS!,и многое другое!,และอีกมากมาย!,ve DAHA FAZLASI!,và NHIỀU NỘI DUNG KHÁC!
TID_GP_POP_OFFER1,Exclusive Hero Skin!,مظهر بطل حصري,限定英雄皮肤！,限定英雄造型！,Exklusiver Heldenskin!,Aspecto de héroe exclusivo,جلد قهرمان انحصاری!,Ainutlaatuinen sankariasu!,Skin de héros exclusif !,Kostum Pahlawan Eksklusif!,Skin degli eroi esclusiva!,限定ヒーロースキン！,한정판 영웅 스킨!,Kulit Wira Eksklusif!,Exclusieve heldskin!,Eksklusivt helteskin!,Wyjątkowe przebranie herosa!,Visual de herói exclusivo!,Особый скин героя!,สกินผู้กล้าสุดพิเศษ!,Özel Kahraman Görünümü!,Trang phục Tướng độc quyền!
TID_GP_POP_OFFER2,20% off all Costs and Timers!,خصم 20% لكل التكاليف والمؤقتات,所有花费和时间减少20%！,所有花費和時間減少20%！,20 % Rabatt auf alle Kosten und Timer!,-20 % para todos los costes y tiempos de espera,20% تخفیف روی تمام هزینه‌ها و زمان‌سنج‌ها!,20 % vähennys kaikista kuluista ja ajastimista!,-20 % sur tous les coûts et chronos !,Diskon 20% untuk Biaya dan Waktu!,-20% su tutti i costi e i timer!,全コストとタイマーが20％削減！,모든 비용과 타이머가 20% 감소!,-20% untuk Semua Kos dan Pemasa!,20% minder kosten en wachttijd!,20 % rabatt på alle kostnader og terninger!,-20% do kosztów i czasów!,-20% em todos os custos e cronômetros!,-20 % ко всем ценам и таймерам!,ลดค่าใช้จ่ายและตัวจับเวลาทั้งหมด 20%,Tüm maliyetler ve sürelerde %20 indirim!,Giảm 20% tất cả Chi phí và Bộ đếm thời gian!
TID_GP_POP_PERKS,Clan Perks,امتيازات القبيلة,部落特权,部落特權,Clanvorteile,Galardones del clan,مزایای قبیله,Klaanietuja,Avantages de clan,Fasilitas Klan,Vantaggi del clan,クラン特典,클랜 보너스,Faedah Klan,Clanvoordelen,Klanfordeler,Korzyści klanowe,Vantagens do clã,Клановые привилегии,ผลประโยชน์แคลน,Klan Avantajları,Đặc quyền Hội
TID_GP_POP_POTIONS,+ 6 Potions,+ 6 جرعات,魔法药水+6,魔法藥水+6,+6 Tränke,6 pócimas,+ 6 معجون,+6 rohtoa,+6 potions,+6 Ramuan,6 pozioni,ポーション +6,+ 포션 6개,+ 6 Posyen,+6 drankjes,+6 drikker,+ 6 mikstur,+6 poções,+6 зелий,น้ำยา +6 ขวด,+6 İksir,+ 6 Lọ thuốc
TID_GP_POP_RUNES,+ 5 Runes,+ 5 تمائم,符石+5,符石+5,+5 Runen,5 runas,+ 5 کتیبه,+5 riimukiveä,+5 runes,+5 Rune,5 rune,ルーン +5,+ 룬 5개,+ 5 Rune,+5 runen,+5 runer,+ 5 run,+5 runas,+5 рун,รูน +5 ชิ้น,+5 Rün,+ 5 Đá cổ ngữ
TID_GP_POP_SUBTITLE,Unlock Awesome Rewards!,افتح جوائز رائعة,解锁超赞奖励！,解鎖超讚獎勵！,Tolle Belohnungen!,¡Consigue recompensas increíbles!,جوایز شگفت‌انگیز را باز کنید!,Avaa mahtavia palkintoja!,Débloquez des récompenses !,Buka Hadiah Keren!,Sblocca premi incredibili!,豪華報酬をアンロック！,멋진 보상을 잠금 해제하세요!,Buka Ganjaran Hebat!,Ontgrendel geweldige beloningen!,Lås opp tøffe belønninger!,Odblokuj niesamowite nagrody!,Libere recompensas incríveis!,Получите крутые награды!,ปลดล็อครางวัลเจ๋งๆ!,Harika Ödüller Açma Fırsatı!,Mở khóa các phần thưởng hấp dẫn!
TID_SEASONAL_DEFENCE_ERROR_ARCHETYPE_UPGRADING,Defense is already upgrading a stat.,يقوم الدفاع بترقية أحد الإحصاءات بالفعل.,该防御已经有一个属性正在升级。,該防禦已經有一個屬性正在升級。,Es wird bereits ein Wert der Abwehranlage verbessert.,Ya estás mejorando una estadística de esta defensa.,دفاع هم‌اکنون در حال ارتقای آمار است.,Puolustus päivittää jo tilastoa.,Amélioration d'une stat déjà en cours.,Peningkatan satu statistik sudah berlangsung.,Stai già potenziando una statistica di questa difesa!,防衛設備はすでにステータスをアップグレードしています。,방어시설이 이미 스탯을 업그레이드는 중입니다.,Pertahanan sedang meningkatkan statistik.,De verdediging is al een statistiek aan het upgraden.,Forsvaret oppgraderer allerede en verdi.,Struktura obronna ulepsza już statystyki.,Você já está melhorando uma estatística desta defesa.,Вы уже улучшаете показатель этого защитного сооружения,การป้องกันอยู่ในระหว่างการอัปเกรดค่าสถานะแล้ว,Savunmanın bir istatistiği zaten yükseltiliyor.,Công trình Phòng thủ này đang nâng cấp một thông số rồi.
TID_SEASONAL_DEFENCE_INFO_ITEM_2,Strategize by <cffcc33>choosing which stats to upgrade</c>! Crafted Defenses will defend even while upgrading!,ضع إستراتيجيتك من خلال <cffcc33>اختيار الإحصاءات المراد ترقيتها</c>. ستقوم الدفاعات المُصنّعة بالدفاع حتى خلال الترقية.,<cffcc33>选择要升级的属性</c>，制定最佳防御战术！精工防御在升级期间也会防御！,<cffcc33>選擇要升級的屬性</c>，制定最佳防禦戰術！精工防禦在升級期間也會防禦！,"Passe deine Strategie an, indem du <cffcc33>Werte zur Verbesserung auswählst</c>! Gefertigte Abwehranlagen verteidigen dich sogar, während sie verbessert werden!",<cffcc33>Elige qué estadísticas mejorar</c> para idear la estrategia perfecta. ¡Las defensas artesanales seguirán defendiendo incluso mientras se mejoran!,با <cffcc33>انتخاب آمار مدنظر برای ارتقا</c> استراتژی بچینید! دفاع‌های ساخته‌شده حتی در حین ارتقا دفاع می‌کنند!,Laadi strategia <cffcc33>valitsemalla päivitettävät tilastot</c>! Puolustukset ovat käytössä myös päivityksen aikana!,Définissez vos stratégies en <cffcc33>choisissant quelles stats améliorer</c>. Les défenses assemblées continueront à défendre pendant l'amélioration !,Atur strategi dengan <cffcc33>memilih statistik yang ingin ditingkatkan</c>. Pertahanan DIY akan tetap aktif meski sedang ditingkatkan!,"Crea le migliori strategie, <cffcc33>scegliendo quali statistiche potenziare</c>! Le difese personalizzabili fanno il loro lavoro anche mentre le migliori!",戦略に合わせて<cffcc33>アップグレードするステータスを選択</c>しましょう！アップグレード中も防衛機能は維持されます！,<cffcc33>어느 스탯을 업그레이드할지 선택하여</c> 전략을 구성하세요! 크래프트 방어시설은 업그레이드하는 동안에도 방어합니다!,Susun strategi dengan <cffcc33>memilih statistik untuk ditingkatkan</c>! Pertahanan diteruskan ketika peningkatan!,Bepaal je strategie door <cffcc33>te kiezen welke statistieken je upgradet</c>. Verdedigingscreaties kunnen zelfs verdedigen terwijl ze worden geüpgraded!,Legg en strategi ved <cffcc33>å velge hvilke verdier du skal oppgradere</c>! Håndverksforsvar forsvarer seg også mens de oppgraderes!,"Zaplanuj swoją strategię, <cffcc33>decydując, które statystki ulepszyć</c>. Bronią Cię nawet w trakcie ulepszania!",Trace sua estratégia <cffcc33>selecionando as estatísticas a serem melhoradas</c>. Suas defesas diferenciadas atuam mesmo durante a melhoria!,"Разработайте стратегию, <cffcc33>выбрав показатели для улучшения</c>. Ремесленные защитные сооружения будут защищать вас даже во время улучшений!",วางกลยุทธ์ด้วย<cffcc33>การเลือกค่าสถานะที่จะอัปเกรด</c>! การป้องกันประดิษฐ์ยังให้การป้องกันได้แม้อยู่ระหว่างการอัปเกรดก็ตาม!,<cffcc33>Hangi istatistiklerin yükseltileceğini seçerek</c> stratejini belirle! Modifiye savunmalar yükseltilirken bile savunma yapabilirler!,Lập chiến lược bằng cách <cffcc33>chọn thông số phù hợp để nâng cấp</c>! Các công trình Phòng thủ tự chế vẫn bảo vệ căn cứ ngay cả khi đang trong quá trình nâng cấp!
TID_SETTINGS_BUTTON_MANAGE_CONSENT,Manage,الإدارة,管理,管理,Verwalten,Gestionar,مدیریت,Hallinnoi,Gérer,Kelola,Gestisci,管理,관리,Urus,Beheren,Administrer,Zarządzaj,Gerenciar,Изменить,จัดการ,Yönet,Quản lý
