Name,TrophyLimitLow,TID,TIDShort,IconSWF,IconExportName,LeagueBannerIcon,LeagueBannerIconNum,LeagueBannerIconHUD,GoldRewardBase,ElixirRewardBase,RewardStar1,RewardStar2,RewardStar3,RewardStar4,RewardStar5,RewardStar6,StarBonusNumStars,StarBonusGold,StarBonusElixir,TrophyLoseMultiplier,SeasonTrophyReset,MaxDiamondCost
Copper5,1500,TID_LEAGUE_COPPER5,TID_LEAGUE_COPPER5_SHORT,sc/ui.sc,bb2_icon_league_copper5,bb2_icon_league_copper,bb2_icon_league_copper_big5,bb2_icon_league_copper_big5,0,58500,15000,14000,14000,1000,2000,2000,8,155000,155000,85,,
Copper4,1600,TID_LEAGUE_COPPER4,TID_LEAGUE_COPPER4_SHORT,sc/ui.sc,bb2_icon_league_copper4,bb2_icon_league_copper,bb2_icon_league_copper_big4,bb2_icon_league_copper_big4,0,67000,15000,16000,16000,2000,2000,4000,8,160000,160000,87,,
Copper3,1700,TID_LEAGUE_COPPER3,TID_LEAGUE_COPPER3_SHORT,sc/ui.sc,bb2_icon_league_copper3,bb2_icon_league_copper,bb2_icon_league_copper_big3,bb2_icon_league_copper_big3,0,75500,15000,18000,16500,3000,3000,5000,8,170000,170000,90,,
Copper2,1800,TID_LEAGUE_COPPER2,TID_LEAGUE_COPPER2_SHORT,sc/ui.sc,bb2_icon_league_copper2,bb2_icon_league_copper,bb2_icon_league_copper_big2,bb2_icon_league_copper_big2,0,83000,15000,19000,17000,4000,5000,5000,8,180000,180000,92,,
Copper1,1900,TID_LEAGUE_COPPER1,TID_LEAGUE_COPPER1_SHORT,sc/ui.sc,bb2_icon_league_copper1,bb2_icon_league_copper,bb2_icon_league_copper_big1,bb2_icon_league_copper_big1,0,91500,15000,19500,17500,5000,6000,6000,8,190000,190000,94,,
Brass3,2000,TID_LEAGUE_BRASS3,TID_LEAGUE_BRASS3_SHORT,sc/ui.sc,bb2_icon_league_brass3,bb2_icon_league_brass,bb2_icon_league_brass_big3,bb2_icon_league_brass_big3,0,100000,15000,20000,18000,6000,7000,7000,9,200000,200000,96,,
Brass2,2200,TID_LEAGUE_BRASS2,TID_LEAGUE_BRASS2_SHORT,sc/ui.sc,bb2_icon_league_brass2,bb2_icon_league_brass,bb2_icon_league_brass_big2,bb2_icon_league_brass_big2,0,105000,15000,20500,18500,6000,9000,8000,9,210000,210000,98,,
Brass1,2400,TID_LEAGUE_BRASS1,TID_LEAGUE_BRASS1_SHORT,sc/ui.sc,bb2_icon_league_brass1,bb2_icon_league_brass,bb2_icon_league_brass_big1,bb2_icon_league_brass_big1,0,110000,15000,21000,19000,6000,10000,10000,9,225000,225000,100,,
Iron3,2600,TID_LEAGUE_IRON3,TID_LEAGUE_IRON3_SHORT,sc/ui.sc,bb2_icon_league_iron3,bb2_icon_league_iron,bb2_icon_league_iron_big3,bb2_icon_league_iron_big3,0,115000,15000,21500,19500,6000,10000,13000,9,240000,240000,100,,
Iron2,2800,TID_LEAGUE_IRON2,TID_LEAGUE_IRON2_SHORT,sc/ui.sc,bb2_icon_league_iron2,bb2_icon_league_iron,bb2_icon_league_iron_big2,bb2_icon_league_iron_big2,0,120000,15000,22000,20000,6000,10000,15000,9,255000,255000,100,,
Iron1,3000,TID_LEAGUE_IRON1,TID_LEAGUE_IRON1_SHORT,sc/ui.sc,bb2_icon_league_iron1,bb2_icon_league_iron,bb2_icon_league_iron_big1,bb2_icon_league_iron_big1,0,125000,15000,22500,20000,6000,10000,17000,9,270000,270000,100,,
Steel3,3200,TID_LEAGUE_STEEL3,TID_LEAGUE_STEEL3_SHORT,sc/ui.sc,bb2_icon_league_steel3,bb2_icon_league_steel,bb2_icon_league_steel_big3,bb2_icon_league_steel_big3,0,130000,15000,23000,20000,6000,10000,19000,10,285000,285000,100,,
Steel2,3400,TID_LEAGUE_STEEL2,TID_LEAGUE_STEEL2_SHORT,sc/ui.sc,bb2_icon_league_steel2,bb2_icon_league_steel,bb2_icon_league_steel_big2,bb2_icon_league_steel_big2,0,135000,15000,23500,20000,7000,10000,21000,10,300000,300000,100,,
Steel1,3600,TID_LEAGUE_STEEL1,TID_LEAGUE_STEEL1_SHORT,sc/ui.sc,bb2_icon_league_steel1,bb2_icon_league_steel,bb2_icon_league_steel_big1,bb2_icon_league_steel_big1,0,140000,15000,24000,20000,8000,10000,23000,10,315000,315000,100,,
Titanium3,3800,TID_LEAGUE_TITANIUM3,TID_LEAGUE_TITANIUM3_SHORT,sc/ui.sc,bb2_icon_league_platinum3,bb2_icon_league_platinum,bb2_icon_league_platinum_big3,bb2_icon_league_platinum_big3,0,144000,15000,24500,20000,9000,10000,25000,10,330000,330000,100,,
Titanium2,4000,TID_LEAGUE_TITANIUM2,TID_LEAGUE_TITANIUM2_SHORT,sc/ui.sc,bb2_icon_league_platinum2,bb2_icon_league_platinum,bb2_icon_league_platinum_big2,bb2_icon_league_platinum_big2,0,148000,15000,25000,20000,10000,10000,27000,10,345000,345000,100,,
Titanium1,4200,TID_LEAGUE_TITANIUM1,TID_LEAGUE_TITANIUM1_SHORT,sc/ui.sc,bb2_icon_league_platinum1,bb2_icon_league_platinum,bb2_icon_league_platinum_big1,bb2_icon_league_platinum_big1,0,152000,15000,25000,20000,11000,11000,28000,10,360000,360000,100,,
Platinum3,4400,TID_LEAGUE_PLATINUM3,TID_LEAGUE_PLATINUM3_SHORT,sc/ui.sc,bb2_icon_league_titanium3,bb2_icon_league_titanium,bb2_icon_league_titanium_big3,bb2_icon_league_titanium_big3,0,156000,15000,25000,20000,12000,12000,29000,11,380000,380000,100,,
Platinum2,4600,TID_LEAGUE_PLATINUM2,TID_LEAGUE_PLATINUM2_SHORT,sc/ui.sc,bb2_icon_league_titanium2,bb2_icon_league_titanium,bb2_icon_league_titanium_big2,bb2_icon_league_titanium_big2,0,160000,15000,25000,20000,13000,13000,30000,11,400000,400000,100,,
Platinum1,4800,TID_LEAGUE_PLATINUM1,TID_LEAGUE_PLATINUM1_SHORT,sc/ui.sc,bb2_icon_league_titanium1,bb2_icon_league_titanium,bb2_icon_league_titanium_big1,bb2_icon_league_titanium_big1,0,164000,15000,25000,20000,14000,14000,31000,11,420000,420000,100,,
Emerald3,5000,TID_LEAGUE_EMERALD3,TID_LEAGUE_EMERALD3_SHORT,sc/ui.sc,bb2_icon_league_emerald3,bb2_icon_league_emerald,bb2_icon_league_emerald_big3,bb2_icon_league_emerald_big3,0,168000,15000,25000,20000,15000,15000,32000,12,440000,440000,100,,
Emerald2,5200,TID_LEAGUE_EMERALD2,TID_LEAGUE_EMERALD2_SHORT,sc/ui.sc,bb2_icon_league_emerald2,bb2_icon_league_emerald,bb2_icon_league_emerald_big2,bb2_icon_league_emerald_big2,0,174000,15000,25000,20000,16000,16000,33000,12,460000,460000,100,,
Emerald1,5400,TID_LEAGUE_EMERALD1,TID_LEAGUE_EMERALD1_SHORT,sc/ui.sc,bb2_icon_league_emerald1,bb2_icon_league_emerald,bb2_icon_league_emerald_big1,bb2_icon_league_emerald_big1,0,180000,15000,25000,20000,17000,17000,34000,12,480000,480000,100,,
Ruby3,5600,TID_LEAGUE_RUBY3,TID_LEAGUE_RUBY3_SHORT,sc/ui.sc,bb2_icon_league_ruby3,bb2_icon_league_ruby,bb2_icon_league_ruby_big3,bb2_icon_league_ruby_big3,0,186000,15000,25000,20000,18000,18000,35000,12,500000,500000,100,,
Ruby2,5800,TID_LEAGUE_RUBY2,TID_LEAGUE_RUBY2_SHORT,sc/ui.sc,bb2_icon_league_ruby2,bb2_icon_league_ruby,bb2_icon_league_ruby_big2,bb2_icon_league_ruby_big2,0,192000,15000,25000,20000,19000,19000,36000,12,520000,520000,100,,
Ruby1,6000,TID_LEAGUE_RUBY1,TID_LEAGUE_RUBY1_SHORT,sc/ui.sc,bb2_icon_league_ruby1,bb2_icon_league_ruby,bb2_icon_league_ruby_big1,bb2_icon_league_ruby_big1,0,198000,15000,25000,20000,20000,19000,38000,12,540000,540000,100,,
Diamond,6200,TID_LEAGUE_DIAMOND,TID_LEAGUE_DIAMOND_SHORT,sc/ui.sc,bb2_icon_league_diamond1,bb2_icon_league_diamond,bb2_icon_league_diamond,bb2_icon_league_diamond,0,204000,15000,25000,20000,21000,19000,40000,12,560000,560000,100,5000,
