Name,HomeType,EnabledByCalendar,DefaultBackground,FreeBackground,RequiredTHLevel,PurchasePrice,TID,SWF,Foreground,Background,AdditiveLayer,TopLayer,BaseSWF,BuildingBasesSWF,Icon,Thumbnail,MakeCreator,CustomShip,CustomBalloonBus,CustomForge,ParallaxLayer,ParallaxStrength,NightMode,Music,ClanBadgeClip
SpookyVillage,HOME,,,,,,TID_PUMPKIN_GRAVEYARD_SCENERY,sc/scenery_spooky_village_dl_opt.sc,Player_Background,,,,sc/scenery_gamearea_spooky_dl_opt.sc,sc/scenery_bases_spooky_dl_opt.sc,image/background_icons/spooky_scenery_dl_opt.png,image/background_icons/spooky_bgr_image_dl_opt.png,Naji Kadalayi,TRUE,,,background,-15,,,
,,,,,,,,,,,,,,,,,,,,,foreground,15,,,
SnowDay,HOME,,,,,,TID_SNOWED_IN_SCENERY,sc/scenery_snowed_in_dl_opt.sc,Player_Background,,,,sc/scenery_gamearea_snowedin_dl_opt.sc,sc/scenery_bases_snowedin_dl_opt.sc,image/background_icons/scenery_snowed_in_dl_opt.png,image/background_icons/snowed_in_image_dl_opt.png,,TRUE,,,foreground,25,,,
,,,,,,,,,,,,,,,,,,,,,background,-5,,,
TigerMountain,HOME,,,,,,TID_TIGER_MOUNTAIN_SCENERY,sc/scenery_cny2022_dl_opt.sc,Player_Background,,,,sc/scenery_gamearea_cny2022_dl_opt.sc,sc/scenery_bases_cny2022_dl_opt.sc,image/background_icons/scenery_lunar_ny_22_dl_opt.png,image/background_icons/lny2022_bgr_image_dl_opt.png,,TRUE,,,,,,,
VillageBackground012,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
Primal,HOME,,,,,,TID_PRIMAL_SCENERY,sc/scenery_primal_dl_opt.sc,Player_Background,,,,sc/scenery_gamearea_primal_dl_opt.sc,sc/scenery_bases_primal_dl_opt.sc,image/background_icons/scenery_primal_dl_opt.png,image/background_icons/primal_bgr_image_dl_opt.png,,TRUE,,,foreground,25,,,
Shadow,HOME,,,,,,TID_SHADOW_SCENERY,sc/scenery_shadow_dl_opt.sc,Player_Background,,,,sc/scenery_gamearea_shadow_dl_opt.sc,sc/scenery_bases_shadow_dl_opt.sc,image/background_icons/scenery_shadow_dl_opt.png,image/background_icons/shadow_bgr_image_dl_opt.png,,TRUE,,,foreground,15,,music/Shadow_Scenery_Ambience_v2_dl_opt.ogg,
VillageBackground015,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
VillageBackground016,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
VillageBackground017,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
VillageBackground018,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
VillageBackground019,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
VillageBackground020,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
CapitalCore,CAPITAL,,TRUE,TRUE,,,TID_SCENERY_CLASSIC,sc/background_clan_capital.sc,Player_Background,,,,sc/background_cc_gamearea.sc,,image/background_icons/scenery_homevillage.png,image/background_icons/clan_capital_core_bgr_image.png,,,,,background_1,-20,,,clan_pattern
,,,,,,,,,,,,,,,,,,,,,background_2,-10,,,banner
,,,,,,,,,,,,,,,,,,,,,background_3,-5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_1,4,,,
,,,,,,,,,,,,,,,,,,,,,foreground_2,10,,,
,,,,,,,,,,,,,,,,,,,,,foreground_3,12,,,
Capital_layout_2a,CAPITAL,,TRUE,TRUE,,,TID_SCENERY_CLASSIC,sc/background_clan_capital_02.sc,Player_Background_layout2a,,,,sc/background_cc_gamearea.sc,,image/background_icons/scenery_homevillage.png,image/background_icons/clan_capital_layout2_1_bgr_image.png,,,,,background_1,-20,,,clan_pattern
,,,,,,,,,,,,,,,,,,,,,background_2,-10,,,banner
,,,,,,,,,,,,,,,,,,,,,background_3,-5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_1,5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_2,10,,,
,,,,,,,,,,,,,,,,,,,,,foreground_3,12,,,
Capital_layout_2b,CAPITAL,,TRUE,TRUE,,,TID_SCENERY_CLASSIC,sc/background_clan_capital_02.sc,Player_Background_layout2b,,,,sc/background_cc_gamearea.sc,,image/background_icons/scenery_homevillage.png,image/background_icons/clan_capital_layout2_1_bgr_image.png,,,,,background_1,-20,,,clan_pattern
,,,,,,,,,,,,,,,,,,,,,background_2,-10,,,banner
,,,,,,,,,,,,,,,,,,,,,background_3,-5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_1,5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_2,10,,,
,,,,,,,,,,,,,,,,,,,,,foreground_3,12,,,
Capital_layout_2c,CAPITAL,,TRUE,TRUE,,,TID_SCENERY_CLASSIC,sc/background_clan_capital_02.sc,Player_Background_layout2c,,,,sc/background_cc_gamearea.sc,,image/background_icons/scenery_homevillage.png,image/background_icons/clan_capital_layout2_1_bgr_image.png,,,,,background_1,-20,,,clan_pattern
,,,,,,,,,,,,,,,,,,,,,background_2,-10,,,banner
,,,,,,,,,,,,,,,,,,,,,background_3,-5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_1,5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_2,10,,,
,,,,,,,,,,,,,,,,,,,,,foreground_3,12,,,
CapitalCore_Raid,CAPITAL,,TRUE,TRUE,,,TID_SCENERY_CLASSIC,sc/background_clan_capital.sc,Enemy_Background,,,,sc/background_cc_gamearea.sc,,image/background_icons/scenery_homevillage.png,image/background_icons/clan_capital_core_bgr_image.png,,,,,background_1,-20,,,clan_pattern
,,,,,,,,,,,,,,,,,,,,,background_2,-10,,,banner
,,,,,,,,,,,,,,,,,,,,,background_3,-5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_1,4,,,
,,,,,,,,,,,,,,,,,,,,,foreground_2,10,,,
,,,,,,,,,,,,,,,,,,,,,foreground_3,12,,,
Capital_layout_2d,CAPITAL,,TRUE,TRUE,,,TID_SCENERY_CLASSIC,sc/background_clan_capital_02.sc,Player_Background_layout2d,,,,sc/background_cc_gamearea.sc,,image/background_icons/scenery_homevillage.png,image/background_icons/clan_capital_layout2_1_bgr_image.png,,,,,background_1,-20,,,clan_pattern
,,,,,,,,,,,,,,,,,,,,,background_2,-10,,,banner
,,,,,,,,,,,,,,,,,,,,,background_3,-5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_1,5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_2,10,,,
,,,,,,,,,,,,,,,,,,,,,foreground_3,12,,,
Capital_layout_2a_Raid,CAPITAL,,TRUE,TRUE,,,TID_SCENERY_CLASSIC,sc/background_clan_capital_02.sc,Enemy_Background_layout2a,,,,sc/background_cc_gamearea.sc,,image/background_icons/scenery_homevillage.png,image/background_icons/clan_capital_layout2_1_bgr_image.png,,,,,background_1,-20,,,clan_pattern
,,,,,,,,,,,,,,,,,,,,,background_2,-10,,,banner
,,,,,,,,,,,,,,,,,,,,,background_3,-5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_1,5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_2,10,,,
,,,,,,,,,,,,,,,,,,,,,foreground_3,12,,,
Capital_layout_2b_Raid,CAPITAL,,TRUE,TRUE,,,TID_SCENERY_CLASSIC,sc/background_clan_capital_02.sc,Enemy_Background_layout2b,,,,sc/background_cc_gamearea.sc,,image/background_icons/scenery_homevillage.png,image/background_icons/clan_capital_layout2_1_bgr_image.png,,,,,background_1,-20,,,clan_pattern
,,,,,,,,,,,,,,,,,,,,,background_2,-10,,,banner
,,,,,,,,,,,,,,,,,,,,,background_3,-5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_1,5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_2,10,,,
,,,,,,,,,,,,,,,,,,,,,foreground_3,12,,,
Capital_layout_2c_Raid,CAPITAL,,TRUE,TRUE,,,TID_SCENERY_CLASSIC,sc/background_clan_capital_02.sc,Enemy_Background_layout2c,,,,sc/background_cc_gamearea.sc,,image/background_icons/scenery_homevillage.png,image/background_icons/clan_capital_layout2_1_bgr_image.png,,,,,background_1,-20,,,clan_pattern
,,,,,,,,,,,,,,,,,,,,,background_2,-10,,,banner
,,,,,,,,,,,,,,,,,,,,,background_3,-5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_1,5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_2,10,,,
,,,,,,,,,,,,,,,,,,,,,foreground_3,12,,,
Capital_layout_2d_Raid,CAPITAL,,TRUE,TRUE,,,TID_SCENERY_CLASSIC,sc/background_clan_capital_02.sc,Enemy_Background_layout2d,,,,sc/background_cc_gamearea.sc,,image/background_icons/scenery_homevillage.png,image/background_icons/clan_capital_layout2_1_bgr_image.png,,,,,background_1,-20,,,clan_pattern
,,,,,,,,,,,,,,,,,,,,,background_2,-10,,,banner
,,,,,,,,,,,,,,,,,,,,,background_3,-5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_1,5,,,
,,,,,,,,,,,,,,,,,,,,,foreground_2,10,,,
,,,,,,,,,,,,,,,,,,,,,foreground_3,12,,,
VillageBackground021,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
VillageBackground022,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
VillageBackground023,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
VillageBackground024,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
VillageBackground025,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
VillageBackground026,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
VillageBackground027,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
VillageBackground028,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
VillageBackground029,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
VillageBackground030,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
