Name,ID,Enabled,EnabledIOS,EnabledAndroid,Type,ShowAsNew,TID,InfoTID,ButtonTID,ButtonURL,NativeIOSURL,CenterText,LoadResources,ItemSWF,ItemExportName,IconSWF,IconExportName,IconFrame,AnimateIcon,CenterIcon,IncludedCountries,ExcludedCountries,IncludedLanguages,ExcludedLanguages,MinTownHall,MinLevel,MaxDiamonds,ClickToDismiss,AvatarIdModulo,ModuloMin,ModuloMax,Collapsed,ActionType,MinOS,MaxOS
NewYears,98,FALSE,TRUE,TRUE,news,TRUE,TID_EVENT_BOOST_EVERYTHING,TID_EVENT_BOOST_GEM_AMOUNT,,,,FALSE,FALSE,sc/ui.sc,news_promotion_entry,sc/ui.sc,news_promo_gem_icon,0,TRUE,TRUE,,,,,,0,0,FALSE,,,,,,,
Thanks,99,FALSE,TRUE,TRUE,news,TRUE,TID_NEWS_VIDEO_TITLE_APRIL,TID_NEWS_VIDEO_TEXT_APRIL,,,,FALSE,FALSE,sc/ui.sc,news_entry_dynamic,sc/buildings.sc,env_xmastree_3,0,TRUE,TRUE,,,,,,0,0,FALSE,,,,,,,
VideoHog,95,FALSE,TRUE,TRUE,news,TRUE,TID_NEWS_VIDEO_TITLE_FINALLY,TID_NEWS_VIDEO_TEXT_FINALLY,TID_NEWS_VIDEO_BUTTON,http://youtu.be/sbQQKI1Fwo4,,FALSE,TRUE,sc/news.sc,wizard_video_item,sc/news.sc,hog2_icon,0,TRUE,TRUE,,,,CN,,0,0,FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,KR,,,,,,,,,,,
VideoLarry,96,FALSE,TRUE,TRUE,news,TRUE,TID_NEWS_VIDEO_TITLE_WAR,TID_NEWS_VIDEO_TEXT_WAR,TID_NEWS_VIDEO_BUTTON,http://youtu.be/Pz6vXH1LCvo,,FALSE,TRUE,sc/news.sc,wizard_video_item,sc/news.sc,larry_icon,0,TRUE,TRUE,,,,CN,,0,0,FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,KR,,,,,,,,,,,
VideoFlight,97,FALSE,TRUE,TRUE,news,TRUE,TID_NEWS_VIDEO_TITLE_INTRO,TID_NEWS_VIDEO_TEXT_INTRO,TID_NEWS_VIDEO_BUTTON,http://youtu.be/lm1qSr4sfs8,,FALSE,TRUE,sc/news.sc,wizard_video_item,sc/news.sc,flight_icon,0,TRUE,TRUE,,,,CN,,0,0,FALSE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,KR,,,,,,,,,,,
VideoHogCN,95,FALSE,TRUE,TRUE,news,TRUE,TID_NEWS_VIDEO_TITLE_FINALLY,TID_NEWS_VIDEO_TEXT_FINALLY,TID_NEWS_VIDEO_BUTTON,http://v.youku.com/v_show/id_XODU1MDAwNzUy.html,,FALSE,TRUE,sc/news.sc,wizard_video_item,sc/news.sc,hog2_icon,0,TRUE,TRUE,,,CN,,,0,0,FALSE,,,,,,,
VideoLarryCN,96,FALSE,TRUE,TRUE,news,TRUE,TID_NEWS_VIDEO_TITLE_WAR,TID_NEWS_VIDEO_TEXT_WAR,TID_NEWS_VIDEO_BUTTON,http://v.youku.com/v_show/id_XODU1MDAxMTU2.html,,FALSE,TRUE,sc/news.sc,wizard_video_item,sc/news.sc,larry_icon,0,TRUE,TRUE,,,CN,,,0,0,FALSE,,,,,,,
VideoFlightCN,97,FALSE,TRUE,TRUE,news,TRUE,TID_NEWS_VIDEO_TITLE_INTRO,TID_NEWS_VIDEO_TEXT_INTRO,TID_NEWS_VIDEO_BUTTON,http://v.youku.com/v_show/id_XODU1MDAwMDI4.html,,FALSE,TRUE,sc/news.sc,wizard_video_item,sc/news.sc,flight_icon,0,TRUE,TRUE,,,CN,,,0,0,FALSE,,,,,,,
VideoHogKR,95,FALSE,TRUE,TRUE,news,TRUE,TID_NEWS_VIDEO_TITLE_FINALLY,TID_NEWS_VIDEO_TEXT_FINALLY,TID_NEWS_VIDEO_BUTTON,https://www.youtube.com/watch?v=FWrcOnT_BxA,,FALSE,TRUE,sc/news.sc,wizard_video_item,sc/news.sc,hog2_icon,0,TRUE,TRUE,,,KR,,,0,0,FALSE,,,,,,,
VideoLarryKR,96,FALSE,TRUE,TRUE,news,TRUE,TID_NEWS_VIDEO_TITLE_WAR,TID_NEWS_VIDEO_TEXT_WAR,TID_NEWS_VIDEO_BUTTON,https://www.youtube.com/watch?v=-mo50nmAPaM,,FALSE,TRUE,sc/news.sc,wizard_video_item,sc/news.sc,larry_icon,0,TRUE,TRUE,,,KR,,,0,0,FALSE,,,,,,,
VideoFlightKR,97,FALSE,TRUE,TRUE,news,TRUE,TID_NEWS_VIDEO_TITLE_INTRO,TID_NEWS_VIDEO_TEXT_INTRO,TID_NEWS_VIDEO_BUTTON,https://www.youtube.com/watch?v=ISz0uPn1Tr0,,FALSE,TRUE,sc/news.sc,wizard_video_item,sc/news.sc,flight_icon,0,TRUE,TRUE,,,KR,,,0,0,FALSE,,,,,,,
Update,93,TRUE,TRUE,TRUE,news,TRUE,TID_NEWS_UPDATE_TITLE,TID_NEWS_UPDATE_TEXT,,,,FALSE,FALSE,sc/ui.sc,news_entry_dynamic,sc/ui.sc,layouts_news_icon,0,TRUE,TRUE,,,,,,0,0,FALSE,,,,,,,
UpgradeYourOS,92,FALSE,TRUE,FALSE,news,TRUE,TID_NEWS_UPGRADE_OS_TITLE,TID_NEWS_UPGRADE_OS_TEXT,TID_NEWS_RED_MORE,,,FALSE,FALSE,sc/ui.sc,news_entry_dynamic,sc/buildings.sc,buildings_news_icon,0,TRUE,TRUE,,,,,,0,0,FALSE,,,,,,,5.0
