Name,TID,InfoTID,BuildingClass,SWF,ExportName,ExportNameNpc,ExportNameConstruction,BuildTimeD,BuildTimeH,BuildTimeM,BuildResource,BuildCost,TownHallLevel,Width,Height,Icon,ExportNameBuildAnim,MaxStoredGold,MaxStoredElixir,Bunker,HousingSpace,ProducesResource,ResourcePerHour,ResourceMax,UnitProduction,UpgradesUnits,Hitpoints,RegenTime,AttackRange,AttackSpeed,Damage,DestroyEffect,AttackEffect,HitEffect,Projectile,ExportNameDamageAnim,ExportNameDamaged,BuildingW,BuildingH,ExportNameBase,ExportNameBaseNpc,AirTargets,GroundTargets,MinAttackRange,DamageRadius,PushBack,PickUpEffect,PlacingEffect,CanNotSellLast,DefenderCharacter,DefenderCount,DefenderZ,DestructionXP,Locked
,,,,,goldmine_lvl7,,,,12,0,,14000,4,,,,,,,,,,1600,30000,,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,goldmine_lvl8,,,1,0,0,,28000,4,,,,,,,,,,1900,50000,,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,goldmine_lvl9,,,2,0,0,,56000,5,,,,,,,,,,2200,75000,,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,goldmine_lvl10,,,3,0,0,,84000,5,,,,,,,,,,2500,100000,,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Storage,TID_BUILDING_GOLD_STORAGE,TID_GOLD_STORAGE_INFO,Resource,sc/buildings.sc,gold_storage_lvl1,,gold_storage_const,,,15,Elixir,300,1,3,3,,gold_storage_upg,1500,,,,,,,,,400,30,,,,Building Destroyed,,,,gen_hitstate_smoke3,large_destructed_state2,2,2,gold_storage_base,,,,,,,Gold Storage Pickup,Gold Storage Placing,,,,,,
,,,,,gold_storage_lvl2,,,,,30,,750,2,,,,,3000,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl3,,,,1,0,,1500,2,,,,,6000,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl4,,,,2,0,,3000,3,,,,,12000,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl5,,,,3,0,,6000,3,,,,,25000,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl6,,,,4,0,,12000,3,,,,,50000,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl7,,,,6,0,,25000,4,,,,,100000,,,,,,,,,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl8,,,,8,0,,50000,4,,,,,250000,,,,,,,,,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl9,,,,12,0,,100000,5,,,,,500000,,,,,,,,,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gold_storage_lvl10,,,,24,0,,250000,6,,,,,1000000,,,,,,,,,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrack,TID_BUILDING_BARRACK,TID_BARRACK_INFO,Army,sc/buildings.sc,barracks_lvl1,,barracks_const,,,1,Elixir,200,1,3,3,,barracks_upg,,,,,,,,20,,250,30,,,,Building Destroyed,,,,gen_hitstate_smoke3,wood_destructed_state2,2,2,barracks_base,,,,,,,Training Barrack Pickup,Training Barrack Placing,TRUE,,,,,
,,,,,barracks_lvl2,,,,,5,,500,1,,,,,,,,,,,,20,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,barracks_lvl3,,,,,10,,1000,1,,,,,,,,,,,,25,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,barracks_lvl4,,,,4,0,,5000,2,,,,,,,,,,,,25,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,10,0,,10000,3,,,,,,,,,,,,30,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,16,0,,80000,4,,,,,,,,,,,,30,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,0,0,,240000,5,,,,,,,,,,,,35,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,0,0,,1000000,6,,,,,,,,,,,,35,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,0,0,,1500000,7,,,,,,,,,,,,40,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,0,0,,2000000,8,,,,,,,,,,,,40,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory,TID_BUILDING_LABORATORY,TID_LABORATORY_INFO,Army,sc/buildings.sc,laboratory_lvl1,,laboratory_const,,,30,Elixir,10000,3,4,4,,laboratory_upg,,,,,,,,,TRUE,250,30,,,,Building Destroyed,,,,gen_hitstate_smoke4,wood_destructed_state3,3,3,laboratory_base,,,,,,,Training Barrack Pickup,Training Barrack Placing,,,,,,
,,,,,laboratory_lvl2,,,,5,0,,30000,4,,,,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,laboratory_lvl3,,,,10,0,,90000,5,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,laboratory_lvl4,,,,20,0,,270000,6,,,,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,laboratory_lvl5,,,1,6,0,,540000,7,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,laboratory_lvl6,,,2,16,0,,1080000,8,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannon,TID_BUILDING_CANNON,TID_BASIC_TURRET_INFO,Defense,sc/buildings.sc,basic_turret_lvl1,,basic_turret_const,,,1,Gold,250,1,3,3,,basic_turret_upg,,,,,,,,,,400,30,900,800,9,Building Destroyed,Cannon Attack,Generic Hit,Cannonball,gen_hitstate_smoke3,gen_destructed_state2,2,2,basic_cannon_base,,FALSE,TRUE,,,,Basic Turret Pickup,Basic Turret Placing,TRUE,,,,,
,,,,,basic_turret_lvl2,,,,,15,,1000,1,,,,,,,,,,,,,,450,,,,11,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl3,,,,,45,,4000,2,,,,,,,,,,,,,,500,,,,15,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl4,,,,2,0,,16000,3,,,,,,,,,,,,,,550,,,,19,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl5,,,,6,0,,64000,4,,,,,,,,,,,,,,590,,,,25,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl6,,,,12,0,,256000,5,,,,,,,,,,,,,,610,,,,31,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl7,,,1,0,0,,1024000,6,,,,,,,,,,,,,,630,,,,36,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl8,,,2,0,0,,1536000,7,,,,,,,,,,,,,,660,,,,42,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl9,,,3,,0,,1792000,8,,,,,,,,,,,,,,690,,,,48,,,,,,,,,,,,,,,,,,,,,,,
,,,,,basic_turret_lvl10,,,5,,0,,2048000,8,,,,,,,,,,,,,,710,,,,56,,,,,,,,,,,,,,,,,,,,,,,
Archer Tower,TID_BUILDING_ARCHER_TOWER,TID_ARCHER_TOWER_INFO,Defense,sc/buildings.sc,tower_turret_lvl1,,tower_turret_const,,,15,Gold,1000,2,3,3,,tower_turret_upg,,,,,,,,,,400,30,1000,1500,11,Building Destroyed,Cannon Attack,Generic Hit,Tower Arrow,gen_hitstate_smoke3,wood_destructed_state2,2,2,defense_tower_turret_base,,TRUE,TRUE,,,,Tower Turret Pickup,Tower Turret Placing,,Archer,1,180,,
,,,,,tower_turret_lvl2,,,,,30,,2000,2,,,,,,,,,,,,,,450,,,,15,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,tower_turret_lvl3,,,,,45,,5000,3,,,,,,,,,,,,,,500,,,,19,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,tower_turret_lvl4,,,,4,0,,20000,4,,,,,,,,,,,,,,550,,,,25,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,tower_turret_lvl5,,,,12,0,,80000,5,,,,,,,,,,,,,,590,,,,29,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,tower_turret_lvl6,,,1,0,0,,480000,5,,,,,,,,,,,,,,610,,,,32,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,tower_turret_lvl7,,,3,0,0,,960000,6,,,,,,,,,,,,,,630,,,,36,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,tower_turret_lvl8,,,4,0,0,,1440000,7,,,,,,,,,,,,,,660,,,,42,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,tower_turret_lvl9,,,5,0,0,,1740000,8,,,,,,,,,,,,,,690,,,,48,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,tower_turret_lvl10,,,6,0,0,,2180000,8,,,,,,,,,,,,,,710,,,,56,,,,,,,,,,,,,,,,,,,,3,,,
Wall,TID_BUILDING_WALL,TID_WALL_INFO,Wall,sc/buildings.sc,defense_wall_lvl3,,generic_construction_state1,,,0,Gold,200,2,1,1,,generic_upgrade_state,,,,,,,,,,400,30,,,,Building Destroyed,,,,gen_hitstate_smoke1,wall_destructed_state1,,,,,,,,,,Weak Wall Pickup,Weak Wall Placing,,,,,,
,,,,,defense_wall_lvl6,,,,,0,,1000,2,1,1,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl7,,,,,0,,5000,3,1,1,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl8,,,,,0,,10000,4,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl9,,,,,0,,25000,5,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,defense_wall_lvl10,,,,,0,,50000,6,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wizard Tower,TID_BUILDING_WIZARD_TOWER,TID_WIZARD_TOWER_INFO,Defense,sc/buildings.sc,wizard_tower_lvl1,,wizard_tower_const,,12,0,Gold,180000,5,3,3,,wizard_tower_upg,,,,,,,,,,620,30,700,600,11,Building Destroyed,,Generic Hit,Wizard Blast,gen_hitstate_smoke3,stone_destructed_state3,2,2,wizard_tower_base,,TRUE,TRUE,,100,,Wizard Tower Pickup,Wizard Tower Placing,,Wizard,1,170,,
,,,,,wizard_tower_lvl4,,,1,0,0,,360000,5,,,,,,,,,,,,,,660,,,,13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,wizard_tower_lvl7,,,2,0,0,,720000,6,,,,,,,,,,,,,,690,,,,16,,,,,,,,,,,,,,,,,,,,,,,
,,,,,wizard_tower_lvl8,,,4,0,0,,1280000,7,,,,,,,,,,,,,,720,,,,28,,,,,,,,,,,,,,,,,,,,,,,
,,,,,wizard_tower_lvl9,,,6,0,0,,1960000,8,,,,,,,,,,,,,,760,,,,24,,,,,,,,,,,,,,,,,,,,,,,
,,,,,wizard_tower_lvl10,,,8,0,0,,2320000,8,,,,,,,,,,,,,,800,,,,32,,,,,,,,,,,,,,,,,,,,,,,
Air Defense,TID_BUILDING_AIR_DEFENSE,TID_AIR_DEFENSE_INFO,Defense,sc/buildings.sc,fireworks_tower_lvl1,,fireworks_tower_const,,5,0,Gold,22500,4,3,3,,fireworks_tower_upg,,,,,,,,,,620,30,1000,500,100,Building Destroyed,,Generic Hit,Firework,gen_hitstate_smoke3,wood_destructed_state2,2,2,airdefence_tower_base,,TRUE,FALSE,,,,Air Defence Pickup,Air Defence Placing,,,,,,
,,,,,,,,1,0,0,,90000,4,,,,,,,,,,,,,,660,,,,120,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,0,0,,270000,5,,,,,,,,,,,,,,690,,,,140,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,0,0,,540000,6,,,,,,,,,,,,,,720,,,,160,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,0,0,,1080000,7,,,,,,,,,,,,,,760,,,,180,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,0,0,,2160000,8,,,,,,,,,,,,,,800,,,,220,,,,,,,,,,,,,,,,,,,,,,,
Mortar,TID_BUILDING_MORTAR,TID_MORTAR_INFO,Defense,sc/buildings.sc,mortar_lvl1,,mortar_const,,8,0,Gold,8000,3,3,3,,mortar_upg,,,,,,,,,,400,30,1000,5000,4,Building Destroyed,,Mortar Hit,Mortar Ammo,gen_hitstate_smoke3,gen_destructed_state2,2,2,mortar_base,,FALSE,TRUE,400,150,TRUE,Mortar Pickup,Mortar Placing,,,,,,
,,,,,,,,,12,0,,32000,4,,,,,,,,,,,,,,450,,,,5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,0,0,,128000,5,,,,,,,,,,,,,,500,,,,6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,0,0,,512000,6,,,,,,,,,,,,,,550,,,,7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,0,0,,1024000,7,,,,,,,,,,,,,,590,,,,8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,0,0,,2048000,8,,,,,,,,,,,,,,610,,,,9,,,,,,,,,,,,,,,,,,,,,,,
Alliance Castle,TID_BUILDING_ALLIANCE_CASTLE,TID_ALLIANCE_CASTLE_INFO,Army,sc/buildings.sc,alliance_castle_lvl1,,alliance_castle_const,,,,Gold,40000,3,3,3,,alliance_castle_upg,,,TRUE,10,,,,,,500,30,,,,Building Destroyed,,,,gen_hitstate_smoke3,alliance_castle_lvl1_broken,2,2,alliance_castle_base,,,,,,,Alliance Castle Pickup,Alliance Castle Placing,TRUE,,,,,TRUE
,,,,,,,,,,45,,100000,4,,,,,,,,15,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12,0,,800000,6,,,,,,,,20,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,0,0,,1800000,8,,,,,,,,25,,,,,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worker Building,TID_WORKER_BUILDING,TID_WORKER_INFO,Worker,sc/buildings.sc,worker_building,,worker_building_const,,,0,Diamonds,200,1,2,2,,worker_building_upg,,,,,,,,,,250,30,,,,Building Destroyed,,,,gen_hitstate_smoke2,wood_destructed_state1,1,1,worker_building_base,,,,,,,Worker Building Pickup,Worker Building Placing,TRUE,,,,,
Communications mast,TID_COMM_MAST,TID_COMM_MAST_INFO,Npc,sc/buildings.sc,comm_mast_lvl1,,comm_mast_const,0,0,0,Gold,1000,1,2,2,,comm_mast_upg,,,,,,,,,,250,30,,,,Building Destroyed,,,,gen_hitstate_smoke2,comm_mast_lvl1_broken,1,1,comm_mast_base,,,,,,,,,TRUE,,,,,
Goblin main building,TID_GOBLIN_MAIN_BUILDING,TID_GOBLIN_MAIN_BUILDING_INFO,Npc,sc/buildings.sc,goblin_townhall_lvl1,,generic_construction_state3,,,1,Gold,0,,4,4,,generic_upgrade_state,1000,1000,,,,,,,,1250,30,,,,Building Destroyed,,,,gen_hitstate_smoke4,town_hall_broken,3,3,goblin_townhall_base,,,,,,,Town Hall Pickup,Town Hall Placing,TRUE,,,,1,
Goblin hut,TID_GOBLIN_HUT,TID_GOBLIN_HUT_INFO,Npc,sc/buildings.sc,goblin_hut_lvl1,,generic_construction_state3,,,5,Elixir,250,1,2,2,,generic_upgrade_state,,,,20,,,,,,250,30,,,,Building Destroyed,,,,gen_hitstate_smoke2,wood_destructed_state2,2,2,goblin_hut_base,,,,,,,Troop Housing Pickup,Troop Housing Placing,TRUE,,,,,
