TID,EN,FR,DE,ES,IT,NL,NO,PT,TR
TID_ACHIEVEMENT_UNIT_UNLOCK,Unlock <name> in the Barracks,Débloquez <name> dans la Caserne,Schalte <name> in der Kaserne frei,Desbloquea <name> en las barracas,Sblocca <name> nelle Caserme,Ontgrendel <name> in de kazerne,Lås opp <name> i brakkene,Desbloqueie <name> no Quartel,Kışla'da şunun kilidini açın: <name>
TID_ACHIEVEMENT_UNIT_UNLOCK_TITLE,Release the Beasts,Lâchez les fauves,Lass die Bestien frei,Libera a las bestias,Libera le bestie,Laat de monsters los,Slipp ut beistene,Solte as Feras,Yaratıkları Salın
TID_ACHIEVEMENT_VICTORY_POINTS,Win <number> trophies in Multiplayer battles,Gagnez <number> trophées lors de batailles Multijoueur,Gewinne <number> Trophäen bei Mehrspieler-Kämpfen,Gana <number> trofeos en batallas multijugador,Vinci <number> trofei in battaglie multigiocatore,Win <number> trofeeën in multiplayergevechten,Vinn <number> trofeer i slag med flere spillere,Ganhe <number> troféus em batalhas multiplayer,Çoklu oyuncu savaşlarında <number> ödül kazan
TID_ACHIEVEMENT_VICTORY_POINTS_TITLE,Sweet Victory!,Le goût de la victoire,Süßer Sieg!,¡Dulce victoria!,Dolce vittoria!,Zoete overwinning!,Søt seier!,Doce vitória!,Tatlı Zafer!
TID_ADD_FRIENDS_INFO,Game Center friends appear when you're logged into Game Center,Vos amis du Game Center apparaissent lorsque vous êtes y connecté.,"Game Center Freunde erscheinen, wenn du bei Game Center angemeldet bist",Los amigos del Game Center aparecen cuando inicias sesión en el Game Center,Gli amici del Game Center appaiono quando hai effettuato l'accesso a Game Center,Game Center-vrienden verschijnen als je bent aangemeld op Game Center,Game Center-venner dukker opp når du er pålogget Game Center,Os amigos do Game Center aparecem quando você está conectado ao Game Center,"Oyun Merkezi arkadaşları, Oyun Merkezi'nde oturum açtığında görünürler"
TID_AIR_DEFENSE_INFO,"This anti-air tower is deadly against flying enemies, but can't target foes on the ground. Place it wisely to cover as much airspace as possible.","La tour de défense antiaérienne est mortelle contre les ennemis volants, mais elle ne peut viser les ennemis au sol. Positionnez-la judicieusement afin de couvrir une surface aérienne maximale.","Dieser Luftverteidigungsturm ist tödlich für fliegende Feinde, kann aber keine Feinde auf dem Boden anvisieren. Platziere ihn klug, um so viel Luftraum wie möglich abzudecken.","Esta torre antiaérea es letal contra enemigos voladores, pero no puede atacar a los terrestres. Colócala sabiamente para cubrir el máximo espacio aéreo posible.","Questa torre antiaerea è letale contro i nemici volanti, ma non può colpire i nemici a terra. Posizionala con attenzione in modo da coprire uno spazio aereo il più ampio possibile.","Deze magische toren is dodelijk voor vliegende vijanden, maar richt niets uit tegen grondtroepen. Zet ze zo neer dat ze zoveel mogelijk luchtruimte bestrijken.","Dette luftforsvarstårnet er dødelig mot flygende fiender, men kan ikke rettes mot opponenter på bakken. Plasser det med omtanke for å dekke mest mulig luftrom.","Esta torre antiaérea é mortal contra inimigos voadores, mas não pode atingir inimigos em solo. Posicione-a sabiamente para cobrir o maior espaço aéreo possível.","Bu uçarsavar kulesi uçan düşmanları telef eder, ancak yerdeki kötüleri hedef alamaz. Havada olabildiğinde geniş bir alanı kapsaması için akıllıca yerleştir."
TID_ALLIANCE_ACCEPTED_BY,Accepted by <name>,Accepté par <name>,Angenommen von <name>,Aceptado por <name>,Accettato da <name>,Geaccepteerd door <name>,Godtatt av <name>,Aceito por <name>,<name> kabul etti
TID_ALLIANCE_BADGE_BROWSE,Browse,Parcourir,Durchsuchen,Buscar,Naviga,Snuffelen,Søk,Procurar,Gözat
TID_ALLIANCE_BUTTON_EDIT,Edit,Modifier,Bearbeiten,Editar,Modifica,Bewerken,Rediger,Editar,Düzenle
TID_ALLIANCE_BUTTON_LEAVE,Leave,Quitter,Verlassen,Dejar,Abbandona,Verlaten,Forlat,Deixar,Ayrıl
TID_ALLIANCE_BUTTON_SEARCH,Search,Rechercher,Suche,Buscar,Cerca,Zoeken,Søk,Buscar,Ara
TID_ALLIANCE_CASTLE_INFO,The Clan Castle flies the colors of your Clan. It also houses any reinforcement troops sent by your clanmates.,Le château du clan porte les couleurs de votre clan. Il abrite également toutes les troupes de renfort des membres de votre clan.,"Die Clanburg hat die Farben deines Clans. Außerdem beherbergt sie die Verstärkungstruppen, die von deinen Clankameraden geschickt wurden.",El castillo del clan luce los colores de tu clan. También acoge los refuerzos que te hayan enviado tus compañeros de clan.,Il castello porta l'insegna del tuo Clan. Contiene inoltre le truppe di rinforzo inviate dai tuoi amici di clan.,Op het clankasteel wappert de vlag van jouw clan. Ook kun je er troepen onderbrengen die door je medeclanners zijn gestuurd.,Klanslottet fører fargene til klanen din. Det rommer også forsterkninger sendt av klansvennene dine.,O Castelo do Clã exibe as cores do seu clã. Também abriga as tropas de reforço enviadas por seus colegas de clã.,Klan Kalesine Klanının renkleri görünür. Klan arkadaşlarının gönderdiği takviye askerleri de barındırır.
TID_ALLIANCE_CREATE_BADGE,Symbol:,Symbole :,Symbol:,Símbolo:,Simbolo>,Symbool:,Symbol:,Símbolo:,Simge:
TID_ALLIANCE_CREATE_DESCRIPTION,Description:,Description :,Beschreibung:,Descripción:,Descrizione:,Beschrijving:,Beskrivelse:,Descrição:,Açıklama:
TID_ALLIANCE_CREATE_NAME,Clan Name:,Nom du clan :,Clanname:,Nombre del clan:,Nome clan:,Clannaam:,Klannavn:,Nome do Clã:,Klan Adı:
TID_ALLIANCE_CREATE_OK,You have successfully founded a new clan!,La création de votre clan a réussi !,Du hast erfolgreich einen neuen Clan gegründet!,¡Has fundado con éxito un nuevo clan!,Hai fondato un nuovo clan!,Je hebt een nieuwe clan opgezet!,Du har med hell grunnlagt en ny klan!,Você fundou um novo clã com sucesso!,Başarıyla yeni bir klan kurdun!
TID_ALLIANCE_CREATE_TROPHY_COUNT,Minimum trophies to join:,Nombre de trophées minimum pour rejoindre le clan :,Mindestmenge Trophäen für Beitritt:,Trofeos mínimos para unirse:,Numero minimo di trofei per entrare:,Minimum aantal trofeeën om deel te nemen:,Minimum trofeer for å bli med:,Mínimo de troféus para participar:,Katılmak için gereken minimum ödül:
TID_ALLIANCE_CREATE_TYPE,Clan Type:,Type de clan :,Clanart:,Tipo de clan:,Tipo di Clan>,Clantype:,Klantype:,Tipo de Clã:,Klan Türü:
TID_ALLIANCE_DEFAULT_JOIN_REQUEST_MESSAGE,I'd like to join your clan,Salut ! Je voudrais rejoindre ton clan,"Hey, ich möchte deinem Clan beitreten","Hola, me gustaría unirme a tu clan.","Ehi, mi piacerebbe unirmi al tuo clan","Hoi, kom je bij mijn clan?","Hei, jeg vil delta i klanen din","Ei, eu gostaria de me juntar ao seu clã","Hey, klanına katılmak istiyorum"
TID_ALLIANCE_DEMOTE_BUTTON,Demote to <role>,Dégrader,Degradieren zu <role>,Descendido a <role>,Degrada a <role>,Degraderen naar <role>,Degrader til <role>,Rebaixar a <role>,Tenzil: <role>
TID_ALLIANCE_DONATE_HEADER,Donate Troops,Faire un don de troupes,Truppen überlassen,Donar tropas,Dona truppe,Troepen doneren,Doner soldater,Doar tropas,Asker Bağışı Yap
TID_ALLIANCE_INVITATION_FAILED_ALREADY_IN_ALLIANCE,Player has already joined a clan!,Ce joueur a déjà rejoint un clan !,Spieler ist dem Clan bereits beigetreten!,¡El jugador ya se ha unido a un clan!,Il giocatore si è già unito a un clan!,De speler zit al bij een clan!,Spilleren deltar allerede i en klan!,Jogador já se juntou a um clã!,Oyuncu zaten bir klana üye!
TID_ALLIANCE_INVITATION_FAILED_AVATAR_ALREADY_HAS_AN_INVITE,You have already invited that player!,Vous avez déjà invité ce joueur !,Du hast diesen Spieler bereits eingeladen!,¡Ya has invitado a ese jugador!,Hai già invitato questo giocatore!,Je hebt die speler al uitgenodigd!,Du har allerede invitert den spilleren!,Você já convidou o jogador!,Bu oyuncuyu zaten davet ettin!
TID_ALLIANCE_INVITATION_FAILED_NO_CASTLE,"Can't invite, player does not have a Clan Castle!",Invitation impossible. Ce joueur ne possède pas de château de clan !,"Einladung nicht möglich, Spieler hat keine Clanburg!",No se puede invitar: el jugador no tiene ningún castillo del clan.,"Non puoi mandare un invito, il giocatore non ha un Castello!","Uitnodigen niet mogelijk, de speler heeft geen clankasteel!","Kan ikke invitere, spilleren har ikke noe klanslott!","Não é possível convidar, o jogador não tem um Castelo de Clã!",Davet edilemez; oyuncunun Klan Kalesi yok!
TID_ALLIANCE_INVITATION_OK,Invite sent successfully.,L'invitation a bien été envoyée.,Einladung erfolgreich gesandt.,Invitación enviada con éxito.,Invito inviato con successo.,Uitnodiging verstuurd.,Invitt vellykket sendt.,Convite enviado com sucesso.,Davet başarıyla gönderildi.
TID_ALLIANCE_JOIN_BUTTON,Join,Rejoindre,Beitreten,Unirse,Unisciti,Meedoen,Delta,Juntar,Katıl
TID_ALLIANCE_JOIN_OK,You are now a member of clan <name>!,Vous faites désormais partie du clan <name> !,Du bist jetzt Mitglied von Clan <name>!,¡Ahora eres miembro del clan <name>!,Ora fai parte del clan <name>!,Je bent nu lid van clan <name>!,Du er nå et medlem i <name>-klanen!,Agora você é um membro do clã <name>!,Artık <name> klanının üyesisin!
TID_ALLIANCE_LEADERBOARDS,Top Clans,Meilleurs clans,Beste Clans,Mejores clanes,Migliori clan,Beste clans,Toppklaner,Melhores Clãs,En İyi Klanlar
TID_ALLIANCE_LEAVE_CONFIRMATION,Do you really want to leave?,Voulez-vous vraiment quitter le clan ?,Möchtest du wirklich gehen?,¿Seguro que quieres salir?,Vuoi veramente andartene?,Wil je de clan echt verlaten?,Vil du virkelig forlate?,Você realmente quer ir embora?,Gerçekten ayrılmak istiyor musun?
TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE,Leave Clan?,Quitter le clan ?,Clan verlassen?,¿Dejar clan?,Abbandonare il clan?,Clan verlaten?,Forlate klanen?,Deixar Clã?,Klandan ayrıl?
TID_ALLIANCE_LIST_HEADER,Clan,Clan,Clan,Clan,Clan,Clan,Klan,Clã,Klan
TID_ALLIANCE_MAIN_BUTTON,Clan,Clan,Clan,Clan,Clan,Clan,Klan,Clã,Klan
TID_ALLIANCE_PROMOTE_BUTTON,Promote to <role>,Promouvoir : <role>,Befördern zu <role>,Asciende a <role>,Promuovi a <role>,Promoveren naar <role>,Forfrem til <role>,Promover a <role>,Terfi: <role>
TID_ALLIANCE_REJECTED_BY,Rejected by <name>,Rejeté par <name>,Abgelehnt von <name>,Rechazado por <name>,Rifiutato da <name>,Geweigerd door <name>,Avslått av <name>,Rejeitado por <name>,<name> reddetti
TID_ALLIANCE_REJECT_DEFAULT_MESSAGE,"Sorry, we decided not to let you into the clan.","Désolé, nous avons décidé de ne pas vous accepter dans notre clan.","Tut uns leid, wir haben uns gegen deinen Beitritt in den Clan entschieden.","Lo sentimos, hemos decidido no permitir que te unas al clan.","Spiacenti, abbiamo deciso di non accettarti nel clan.","Sorry, we hebben besloten je niet te accepteren.","Beklager, vi har bestemt å ikke slippe deg inn i klanen.","Desculpe, nós decidimos não permitir que você participe do clã.","Üzgünüz, klana girmenize izin vermemeye karar verdik."
TID_ALLIANCE_REJECT_MESSAGE_TITLE,Reject: <name>,Rejeter : <name>,Ablehnen: <name>,Rechazar: <name>,Respingi: <name>,Negeer: <name>,Avvis: <name>,Rejeitar: <name>,Reddet: <name>
TID_ALLIANCE_REQUEST_ACCEPTED,Welcome to our clan!,Bienvenue dans votre clan !,Willkommen in unserem Clan!,¡Bienvenido a nuestro clan!,Ti diamo il benvenuto nel nostro clan!,Welkom bij onze clan!,Velkommen til klanen!,Bem-vindo ao nosso clã!,Klanımıza hoş geldin!
TID_ALLIANCE_REQUEST_DECLINED,Clan request declined!,Demande de clan refusée !,Clan-Anfrage abgelehnt!,¡Se ha denegado la petición del clan!,Richiesta rifiutata!,Clanverzoek afgewezen!,Klanforespørsel avslått!,Solicitação de clã recusada!,Klan isteği reddedildi!
TID_ALLIANCE_ROLE_ADMIN,Clan Elder,Aîné du clan,Clanältester,Anciano del clan,Anziano del clan,Clanoudste,Klansenior,Ancião do Clã,Klan Büyüğü
TID_ALLIANCE_ROLE_LEADER,Clan Leader,Chef du clan,Clanführer,Líder del clan,Capoclan,Clanleider,Klanleder,Líder do Clã,Klan Lideri
TID_ALLIANCE_ROLE_MEMBER,Clan Member,Membre du clan,Clanmitglied,Miembro del clan,Membro del clan,Clanlid,Klanmedlem,Membro do Clã,Klan Üyesi
TID_ALLIANCE_SCORE_LIMIT_NONE,-,-,-,-,-,-,-,-,-
TID_ALLIANCE_SEARCH,Search Clans:,Rechercher clans :,Clans suchen:,Buscar clanes:,Cerca Clan:,Clans doorzoeken:,Søk etter klaner:,Buscar clãs:,Klan Ara:
TID_ALLIANCE_SEARCH_HINT,Please type the first letters of the clan you want to search,Veuillez saisir les premières lettres du clan que vous voulez rechercher.,Gib bitte den ersten Buchstaben des gesuchten Clans ein,Escribe las primeras letras del clan que quieres buscar.,Digita le prime lettere del nome del clan che vuoi cercare.,Typ de eerste letters van de clan in die je wilt zoeken,Skriv inn første bokstav i navnet på klanen du vil søke etter,Digite as primeiras letras do clã que deseja buscar,Lütfen aramak istediğin klanın ilk harflerini gir
TID_ALLIANCE_SELECT_BADGE,Select Clan Symbol,Choisissez le symbole du clan,Clansymbol auswählen,Seleccionar símbolo del clan,Seleziona simbolo del clan,Kies een clansymbool,Velg klansymbol,Selecione Símbolo do Clã,Klan Simgesi seç
TID_ALLIANCE_SNEAK_PREVIEW,Unlock Clans by rebuilding the Clan Castle!,Débloquez des clans en reconstruisant le château du clan !,"Schalte Clans frei, indem du die Clanburg wieder aufbaust!",¡Desbloquea clanes reconstruyendo el castillo!,Sblocca i clan ricostruendo il castello!,Ontgrendel clans door het clankasteel weer op te bouwen!,Åpne klaner ved å bygge klanslottet på nytt!,Desbloquear Clãs pela reconstrução do Castelo do Clã!,Klan Kalesini tekrar kurarak Klanların kilidini aç!
TID_ALLIANCE_STREAM_REWARD,You received <number>xp,Vous avez reçu <number> d'XP,Du erhältst <number> EP,Has recibido <number> EXP.,Hai ricevuto <number>XP,Je hebt <number> XP ontvangen,Du mottok <number>xp,Você recebeu <number> xp,<number>xp aldın
TID_ALLIANCE_STREAM_THANKS,Thank you for the troops!,Merci pour les troupes !,Danke für die Truppen!,¡Gracias por las tropas!,Grazie per le truppe!,Bedankt voor de troepen!,Takk for soldatene!,Obrigado pelas tropas!,Askerler için teşekkürler!
TID_ALLIANCE_TAB_NAME,Search Clans,Rechercher clans,Clans suchen,Buscar clanes,Cerca Clan,Clans doorzoeken,Søk etter klaner,Buscar clãs,Klan Arama
