Name,TID,StoreGroup,BillingPackage
generic_8.99,,100,com.supercell.magic.offer_8.99
,,60,com.supercell.magic.offer_4.99
,,50,com.supercell.magic.offer_4.49
generic_9.49,,100,com.supercell.magic.offer_9.49
,,60,com.supercell.magic.offer_5.49
,,50,com.supercell.magic.offer_4.49
generic_9.99,,100,com.supercell.magic.offer_9.99
,,60,com.supercell.magic.offer_5.99
,,50,com.supercell.magic.offer_4.99
generic_10.99,,100,com.supercell.magic.offer_10.99
,,60,com.supercell.magic.offer_6.49
,,50,com.supercell.magic.offer_5.49
generic_11.99,,100,com.supercell.magic.offer_11.99
,,60,com.supercell.magic.offer_6.99
,,50,com.supercell.magic.offer_5.99
generic_12.99,,100,com.supercell.magic.offer_12.99
,,60,com.supercell.magic.offer_7.49
,,50,com.supercell.magic.offer_6.49
generic_13.99,,100,com.supercell.magic.offer_13.99
,,60,com.supercell.magic.offer_7.99
,,50,com.supercell.magic.offer_6.99
generic_14.99,,100,com.supercell.magic.offer_14.99
,,60,com.supercell.magic.offer_8.99
,,50,com.supercell.magic.offer_7.49
generic_15.99,,100,com.supercell.magic.offer_15.99
,,60,com.supercell.magic.offer_9.49
,,50,com.supercell.magic.offer_7.99
generic_16.99,,100,com.supercell.magic.offer_16.99
,,60,com.supercell.magic.offer_9.99
,,50,com.supercell.magic.offer_8.49
generic_17.99,,100,com.supercell.magic.offer_17.99
,,60,com.supercell.magic.offer_9.99
,,50,com.supercell.magic.offer_8.99
generic_18.99,,100,com.supercell.magic.offer_18.99
,,60,com.supercell.magic.offer_10.99
,,50,com.supercell.magic.offer_9.49
generic_19.99,,100,com.supercell.magic.offer_19.99
,,60,com.supercell.magic.offer_11.99
,,50,com.supercell.magic.offer_9.99
generic_20.99,,100,com.supercell.magic.offer_20.99
,,60,com.supercell.magic.offer_11.99
,,50,com.supercell.magic.offer_9.99
generic_21.99,,100,com.supercell.magic.offer_21.99
,,60,com.supercell.magic.offer_12.99
,,50,com.supercell.magic.offer_10.99
generic_22.99,,100,com.supercell.magic.offer_22.99
,,60,com.supercell.magic.offer_12.99
,,50,com.supercell.magic.offer_10.99
generic_23.99,,100,com.supercell.magic.offer_23.99
,,60,com.supercell.magic.offer_13.99
,,50,com.supercell.magic.offer_11.99
generic_24.99,,100,com.supercell.magic.offer_24.99
,,60,com.supercell.magic.offer_14.99
,,50,com.supercell.magic.offer_11.99
generic_25.99,,100,com.supercell.magic.offer_25.99
,,60,com.supercell.magic.offer_14.99
,,50,com.supercell.magic.offer_12.99
generic_26.99,,100,com.supercell.magic.offer_26.99
,,60,com.supercell.magic.offer_15.99
,,50,com.supercell.magic.offer_12.99
generic_27.99,,100,com.supercell.magic.offer_27.99
,,60,com.supercell.magic.offer_15.99
,,50,com.supercell.magic.offer_13.99
generic_28.99,,100,com.supercell.magic.offer_28.99
,,60,com.supercell.magic.offer_16.99
,,50,com.supercell.magic.offer_13.99
generic_29.99,,100,com.supercell.magic.offer_29.99
,,60,com.supercell.magic.offer_17.99
,,50,com.supercell.magic.offer_14.99
generic_30.99,,100,com.supercell.magic.offer_30.99
,,60,com.supercell.magic.offer_17.99
,,50,com.supercell.magic.offer_14.99
generic_31.99,,100,com.supercell.magic.offer_31.99
,,60,com.supercell.magic.offer_18.99
,,50,com.supercell.magic.offer_15.99
generic_32.99,,100,com.supercell.magic.offer_32.99
,,60,com.supercell.magic.offer_18.99
,,50,com.supercell.magic.offer_15.99
generic_33.99,,100,com.supercell.magic.offer_33.99
,,60,com.supercell.magic.offer_19.99
,,50,com.supercell.magic.offer_16.99
generic_34.99,,100,com.supercell.magic.offer_34.99
,,60,com.supercell.magic.offer_20.99
,,50,com.supercell.magic.offer_16.99
generic_35.99,,100,com.supercell.magic.offer_35.99
,,60,com.supercell.magic.offer_20.99
,,50,com.supercell.magic.offer_17.99
generic_36.99,,100,com.supercell.magic.offer_36.99
,,60,com.supercell.magic.offer_21.99
,,50,com.supercell.magic.offer_17.99
generic_37.99,,100,com.supercell.magic.offer_37.99
,,60,com.supercell.magic.offer_21.99
,,50,com.supercell.magic.offer_18.99
generic_38.99,,100,com.supercell.magic.offer_38.99
,,60,com.supercell.magic.offer_22.99
,,50,com.supercell.magic.offer_18.99
generic_39.99,,100,com.supercell.magic.offer_39.99
,,60,com.supercell.magic.offer_23.99
,,50,com.supercell.magic.offer_19.99
generic_40.99,,100,com.supercell.magic.offer_40.99
,,60,com.supercell.magic.offer_23.99
,,50,com.supercell.magic.offer_19.99
generic_41.99,,100,com.supercell.magic.offer_41.99
,,60,com.supercell.magic.offer_24.99
,,50,com.supercell.magic.offer_20.99
generic_42.99,,100,com.supercell.magic.offer_42.99
,,60,com.supercell.magic.offer_24.99
,,50,com.supercell.magic.offer_20.99
generic_43.99,,100,com.supercell.magic.offer_43.99
,,60,com.supercell.magic.offer_25.99
,,50,com.supercell.magic.offer_21.99
generic_44.99,,100,com.supercell.magic.offer_44.99
,,60,com.supercell.magic.offer_26.99
,,50,com.supercell.magic.offer_21.99
generic_45.99,,100,com.supercell.magic.offer_45.99
,,60,com.supercell.magic.offer_26.99
,,50,com.supercell.magic.offer_22.99
generic_46.99,,100,com.supercell.magic.offer_46.99
,,60,com.supercell.magic.offer_27.99
,,50,com.supercell.magic.offer_22.99
generic_47.99,,100,com.supercell.magic.offer_47.99
,,60,com.supercell.magic.offer_27.99
,,50,com.supercell.magic.offer_23.99
generic_48.99,,100,com.supercell.magic.offer_48.99
,,60,com.supercell.magic.offer_28.99
,,50,com.supercell.magic.offer_23.99
generic_49.99,,100,com.supercell.magic.offer_49.99
,,60,com.supercell.magic.offer_29.99
,,50,com.supercell.magic.offer_24.99
generic_52.99,,100,com.supercell.magic.offer_52.99
,,60,com.supercell.magic.offer_30.99
,,50,com.supercell.magic.offer_25.99
generic_54.99,,100,com.supercell.magic.offer_54.99
,,60,com.supercell.magic.offer_32.99
,,50,com.supercell.magic.offer_26.99
generic_57.99,,100,com.supercell.magic.offer_57.99
,,60,com.supercell.magic.offer_33.99
,,50,com.supercell.magic.offer_28.99
generic_59.99,,100,com.supercell.magic.offer_59.99
,,60,com.supercell.magic.offer_35.99
,,50,com.supercell.magic.offer_29.99
generic_62.99,,100,com.supercell.magic.offer_62.99
,,60,com.supercell.magic.offer_36.99
,,50,com.supercell.magic.offer_30.99
generic_64.99,,100,com.supercell.magic.offer_64.99
,,60,com.supercell.magic.offer_38.99
,,50,com.supercell.magic.offer_31.99
generic_67.99,,100,com.supercell.magic.offer_67.99
,,60,com.supercell.magic.offer_39.99
,,50,com.supercell.magic.offer_33.99
generic_69.99,,100,com.supercell.magic.offer_69.99
,,60,com.supercell.magic.offer_41.99
,,50,com.supercell.magic.offer_34.99
generic_72.99,,100,com.supercell.magic.offer_72.99
,,60,com.supercell.magic.offer_42.99
,,50,com.supercell.magic.offer_35.99
generic_74.99,,100,com.supercell.magic.offer_74.99
,,60,com.supercell.magic.offer_44.99
,,50,com.supercell.magic.offer_36.99
generic_77.99,,100,com.supercell.magic.offer_77.99
,,60,com.supercell.magic.offer_45.99
,,50,com.supercell.magic.offer_38.99
generic_79.99,,100,com.supercell.magic.offer_79.99
,,60,com.supercell.magic.offer_47.99
,,50,com.supercell.magic.offer_39.99
generic_82.99,,100,com.supercell.magic.offer_82.99
,,60,com.supercell.magic.offer_48.99
,,50,com.supercell.magic.offer_40.99
generic_84.99,,100,com.supercell.magic.offer_84.99
,,60,com.supercell.magic.offer_49.99
,,50,com.supercell.magic.offer_41.99
generic_87.99,,100,com.supercell.magic.offer_87.99
,,60,com.supercell.magic.offer_49.99
,,50,com.supercell.magic.offer_43.99
generic_89.99,,100,com.supercell.magic.offer_89.99
,,60,com.supercell.magic.offer_52.99
,,50,com.supercell.magic.offer_44.99
generic_92.99,,100,com.supercell.magic.offer_92.99
,,60,com.supercell.magic.offer_54.99
,,50,com.supercell.magic.offer_45.99
generic_94.99,,100,com.supercell.magic.offer_94.99
,,60,com.supercell.magic.offer_54.99
,,50,com.supercell.magic.offer_46.99
generic_97.99,,100,com.supercell.magic.offer_97.99
,,60,com.supercell.magic.offer_57.99
,,50,com.supercell.magic.offer_48.99
generic_99.99,,100,com.supercell.magic.offer_99.99
,,60,com.supercell.magic.offer_59.99
,,50,com.supercell.magic.offer_49.99
generic_104.99,,100,com.supercell.magic.offer_104.99
,,60,com.supercell.magic.offer_62.99
,,50,com.supercell.magic.offer_49.99
generic_109.99,,100,com.supercell.magic.offer_109.99
,,60,com.supercell.magic.offer_64.99
,,50,com.supercell.magic.offer_54.99
generic_114.99,,100,com.supercell.magic.offer_114.99
,,60,com.supercell.magic.offer_67.99
,,50,com.supercell.magic.offer_54.99
generic_119.99,,100,com.supercell.magic.offer_119.99
,,60,com.supercell.magic.offer_69.99
,,50,com.supercell.magic.offer_59.99
generic_124.99,,100,com.supercell.magic.offer_124.99
,,60,com.supercell.magic.offer_74.99
,,50,com.supercell.magic.offer_59.99
generic_129.99,,100,com.supercell.magic.offer_129.99
,,60,com.supercell.magic.offer_77.99
,,50,com.supercell.magic.offer_64.99
generic_134.99,,100,com.supercell.magic.offer_134.99
,,60,com.supercell.magic.offer_79.99
,,50,com.supercell.magic.offer_64.99
generic_139.99,,100,com.supercell.magic.offer_139.99
,,60,com.supercell.magic.offer_82.99
,,50,com.supercell.magic.offer_69.99
generic_144.99,,100,com.supercell.magic.offer_144.99
,,60,com.supercell.magic.offer_84.99
,,50,com.supercell.magic.offer_69.99
generic_149.99,,100,com.supercell.magic.offer_149.99
,,60,com.supercell.magic.offer_89.99
,,50,com.supercell.magic.offer_74.99
generic_159.99,,100,com.supercell.magic.offer_159.99
,,60,com.supercell.magic.offer_94.99
,,50,com.supercell.magic.offer_79.99
generic_169.99,,100,com.supercell.magic.offer_169.99
,,60,com.supercell.magic.offer_99.99
,,50,com.supercell.magic.offer_84.99
generic_179.99,,100,com.supercell.magic.offer_179.99
,,60,com.supercell.magic.offer_104.99
,,50,com.supercell.magic.offer_89.99
generic_189.99,,100,com.supercell.magic.offer_189.99
,,60,com.supercell.magic.offer_109.99
,,50,com.supercell.magic.offer_94.99
generic_199.99,,100,com.supercell.magic.offer_199.99
,,60,com.supercell.magic.offer_119.99
,,50,com.supercell.magic.offer_99.99
gem_4.99,,100,com.supercell.magic.package1
,,60,com.supercell.magic.package1.t60
,,50,com.supercell.magic.package1.t50
gem_9.99,,100,com.supercell.magic.package2
,,60,com.supercell.magic.package2.t60
,,50,com.supercell.magic.package2.t50
gem_19.99,,100,com.supercell.magic.package3
,,60,com.supercell.magic.package3.t60
,,50,com.supercell.magic.package3.t50
gem_49.99,,100,com.supercell.magic.package4
,,60,com.supercell.magic.package4.t60
,,50,com.supercell.magic.package4.t50
gem_99.99,,100,com.supercell.magic.package5
,,60,com.supercell.magic.package5.t60
,,50,com.supercell.magic.package5.t50
gem_0.99,,100,com.supercell.magic.package7
,,60,com.supercell.magic.package7.t60
,,50,com.supercell.magic.package7.t50
