Name,TID,InfoTID,SWF,Speed,Hitpoints,UpgradeTimeH,UpgradeResource,UpgradeCost,RequiredTownHallLevel,AttackRange,AttackSpeed,Damage,PreferedTargetDamageMod,DamageRadius,IconSWF,IconExportName,BigPicture,BigPictureSWF,SmallPicture,SmallPictureSWF,Projectile,PreferedTargetBuilding,DeployEffect,AttackEffect,HitEffect,IsFlying,AirTargets,GroundTargets,AttackCount,DieEffect,Animation,MaxSearchRadiusForDefender,HousingSpace,SpecialAbilityEffect,RegenerationTimeMinutes,TrainingTime,TrainingResource,TrainingCost,CelebrateEffect,SleepOffsetX,SleepOffsetY,PatrolRadius,AbilityTriggerEffect,AbilityAffectsHero,AbilityAffectsCharacter,AbilityRadius,AbilityTime,AbilityOnce,AbilityCooldown,AbilitySpeedBoost,AbilitySpeedBoost2,AbilityDamageBoostPercent,AbilitySummonTroop,AbilitySummonTroopCount,AbilityStealth,AbilityTID,AbilityDescTID,AbilityIcon,AbilityBigPictureExportName,AbilityDelay,Strength
,,,,,4964,,,160000,10,,,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,23,11,145,,9,,,,,,,22
,,,,,5063,,,165000,10,,,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,23,11,145,,9,,,,,,,23
,,,,,5164,,,170000,10,,,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,24,12,150,,10,,,,,,,23
,,,,,5267,,,175000,10,,,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,24,12,150,,10,,,,,,,24
,,,,,5372,,,180000,10,,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,24,12,150,,10,,,,,,,24
,,,,,5479,,,185000,10,,,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,24,12,150,,10,,,,,,,25
,,,,,5589,,,190000,10,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,24,12,150,,10,,,,,,,25
,,,,,5701,,,,10,,,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,25,12,160,,12,,,,,,,26
Archer Queen,TID_ARCHER_QUEEN,TID_HERO_INSTRUCTIONS,sc/characters.cs,300,675,12,DarkElixir,22500,9,500,750,120,1,,sc/ui.sc,icon_hero_archerQueen,unit_archerQueen_big,sc/info_archerqueen.sc,unit_archerQueen_small,sc/ui.sc,ArcherQueen arrow lvl1,,Archer Queen Deploy,ArcherQueen attack,Archer Queen Hit,FALSE,TRUE,TRUE,,Archer Queen Die,ArcherQueen_lvl1,1300,25,Building Ready,60,,Elixir,,Archer Queen Scream,70,-50,350,Queen Ability Effect,TRUE,,2500,0,TRUE,0,,,,Archer,0,TRUE,TID_HERO_ABILITY_QUEEN_TITLE,TID_HERO_ABILITY_QUEEN_DESC,icon_hero_archerQueen_ability1,unit_archerQueen_ability1_big,0,8
,,,,,702,24,,25000,9,,,125,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,64,,,,,,,,,,,,0,,,,,,,0,,,,,,,8
,,,,,730,36,,27500,9,,,130,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,68,,,,,,,,,,,,0,,,,,,,0,,,,,,,8
,,,,,759,48,,30000,9,,,135,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,72,,,,,,,,,,,,0,,,,,,,0,,,,,,,9
,,,,,790,60,,32500,9,,,140,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,76,,,,,,,,,,,,2500,,,,,,,4,,,,,,,9
,,,,,821,72,,35000,9,,,146,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,80,,,,,,,,,,,,2500,,,,,,,4,,,,,,,9
,,,,,854,84,,40000,9,,,152,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,84,,,,,,,,,,,,2500,,,,,,,4,,,,,,,10
,,,,,888,96,,45000,9,,,158,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,88,,,,,,,,,,,,2500,,,,,,,4,,,,,,,10
,,,,,924,108,,50000,9,,,164,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl1,,,,92,,,,,,,,,,,,2500,,,,,,,4,,,,,,,10
,,,,,961,120,,55000,9,,,170,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,96,,,,,,,,,,,,3000,,,,,,,5,,,,,,,11
,,,,,999,132,,60000,9,,,178,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,100,,,,,,,,,,,,3000,,,,,,,5,,,,,,,11
,,,,,1039,144,,65000,9,,,185,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,104,,,,,,,,,,,,3000,,,,,,,5,,,,,,,12
,,,,,1081,156,,70000,9,,,192,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,108,,,,,,,,,,,,3000,,,,,,,5,,,,,,,12
,,,,,1124,168,,75000,9,,,200,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,112,,,,,,,,,,,,3000,,,,,,,5,,,,,,,13
,,,,,1169,,,80000,9,,,208,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,116,,,,,,,,,,,,3500,,,,,,,6,,,,,,,13
,,,,,1215,,,85000,9,,,216,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,120,,,,,,,,,,,,3500,,,,,,,6,,,,,,,14
,,,,,1264,,,90000,9,,,225,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,124,,,,,,,,,,,,3500,,,,,,,6,,,,,,,14
,,,,,1315,,,95000,9,,,234,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,128,,,,,,,,,,,,3500,,,,,,,6,,,,,,,15
,,,,,1368,,,100000,9,,,243,,,,,,,,,ArcherQueen arrow lvl1,,,,,,,,,,ArcherQueen_lvl2,,,,132,,,,,,,,,,,,3500,,,,,,,6,,,,,,,15
,,,,,1422,,,105000,9,,,253,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,136,,,,,,,,,,,,4000,,,,,,,7,,,,,,,16
,,,,,1479,,,110000,9,,,263,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,140,,,,,,,,,,,,4000,,,,,,,7,,,,,,,17
,,,,,1538,,,115000,9,,,274,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,144,,,,,,,,,,,,4000,,,,,,,7,,,,,,,17
,,,,,1600,,,120000,9,,,284,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,148,,,,,,,,,,,,4000,,,,,,,7,,,,,,,18
,,,,,1664,,,125000,9,,,296,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,152,,,,,,,,,,,,4000,,,,,,,7,,,,,,,19
,,,,,1730,,,130000,9,,,307,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,156,,,,,,,,,,,,4500,,,,,,,8,,,,,,,20
,,,,,1800,,,135000,9,,,320,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,160,,,,,,,,,,,,4500,,,,,,,8,,,,,,,20
,,,,,1872,,,140000,9,,,333,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,164,,,,,,,,,,,,4500,,,,,,,8,,,,,,,21
,,,,,1946,,,145000,9,,,346,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,168,,,,,,,,,,,,4500,,,,,,,8,,,,,,,22
,,,,,2024,,,150000,9,,,360,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,172,,,,,,,,,,,,4500,,,,,,,8,,,,,,,23
,,,,,2105,,,155000,9,,,374,,,,,,,,,ArcherQueen arrow lvl2,,,,,,,,,,ArcherQueen_lvl3,,,,176,,,,,,,,,,,,5000,,,,,,,9,,,,,,,24
,,,,,2147,,,160000,10,,,381,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,5000,,,,,,,9,,,,,,,24
,,,,,2190,,,165000,10,,,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,9,,,,,,,25
,,,,,2234,,,170000,10,,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,9,,,,,,,25
,,,,,2279,,,175000,10,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,9,,,,,,,26
,,,,,2325,,,180000,10,,,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,,,,,,,10,,,,,,,26
,,,,,2372,,,185000,10,,,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,,,,,,,10,,,,,,,27
,,,,,2419,,,190000,10,,,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,,,,,,,10,,,,,,,27
,,,,,2467,,,195000,10,,,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,,,,,,,10,,,,,,,28
,,,,,2516,,,200000,10,,,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,,,,,,,10,,,,,,,29
,,,,,2566,,,,10,,,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,,,,,,12,,,,,,,29
