Barbarian,,,,,,,,,,,,,,,,,,
,,TRUE,1,,barbarian6_idle1,TRUE,TRUE,,,,,,,,,,,
,attack,TRUE,1,11,barbarian6_attack1,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,11,barbarian6_attack2,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,11,barbarian6_attack1,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,11,barbarian6_attack2,FALSE,TRUE,,,,,,,,,,,
,celebrate,TRUE,1,,barbarian6_cheer1,TRUE,TRUE,,,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,,,,,,,,,,,
,spawn,TRUE,1,,barbarian6_cheer1,TRUE,TRUE,,,,,,,,,,,
Barbarian7,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,,,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,,,,,,,,,,,
,walk,TRUE,,,barbarian7_run,TRUE,TRUE,,,,,,,,,,,
,idle,TRUE,1,,barbarian7_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,1,,barbarian7_idle1,TRUE,TRUE,,,,,,,,,,,
,attack,TRUE,1,11,barbarian7_attack1,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,11,barbarian7_attack2,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,11,barbarian7_attack1,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,11,barbarian7_attack2,FALSE,TRUE,,,,,,,,,,,
,celebrate,TRUE,1,,barbarian7_cheer1,TRUE,TRUE,,,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,,,,,,,,,,,
,spawn,TRUE,1,,barbarian7_cheer1,TRUE,TRUE,,,,,,,,,,,
Barbarian8,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,,,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,,,,,,,,,,,
,walk,TRUE,,,barbarian8_run,TRUE,TRUE,,,,,,,,,,,
,idle,TRUE,1,,barbarian8_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,1,,barbarian8_idle1,TRUE,TRUE,,,,,,,,,,,
,attack,TRUE,1,11,barbarian8_attack1,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,11,barbarian8_attack2,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,11,barbarian8_attack1,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,11,barbarian8_attack2,FALSE,TRUE,,,,,,,,,,,
,celebrate,TRUE,1,,barbarian8_cheer1,TRUE,TRUE,,,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,,,,,,,,,,,
,spawn,TRUE,1,,barbarian8_cheer1,TRUE,TRUE,,,,,,,,,,,
Barbarian9,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,,,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,,,,,,,,,,,
,walk,TRUE,,,barbarian9_run,TRUE,TRUE,,,,,,,,,,,
,idle,TRUE,1,,barbarian9_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,1,,barbarian9_idle1,TRUE,TRUE,,,,,,,,,,,
,attack,TRUE,1,11,barbarian9_attack1,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,11,barbarian9_attack2,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,11,barbarian9_attack1,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,11,barbarian9_attack2,FALSE,TRUE,,,,,,,,,,,
,celebrate,TRUE,1,,barbarian9_cheer1,TRUE,TRUE,,,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,,,,,,,,,,,
,spawn,TRUE,1,,barbarian9_cheer1,TRUE,TRUE,,,,,,,,,,,
Barbarian_new1,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,SWF,,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,String,,,,,,,,,,
,walk,TRUE,,,barbarian_special_lvl1_run,TRUE,TRUE,sc/characters.sc,,,,,,,,,,
,idle,TRUE,1,,barbarian_special_lvl1_idle1,TRUE,TRUE,sc/characters.sc,,,,,,,,,,
,,TRUE,1,,barbarian_special_lvl1_idle1,TRUE,TRUE,sc/characters.sc,,,,,,,,,,
,attack,TRUE,1,11,barbarian_special_lvl1_attack1,FALSE,TRUE,sc/characters.sc,,,,,,,,,,
,,TRUE,1,11,barbarian_special_lvl1_attack1,FALSE,TRUE,sc/characters.sc,,,,,,,,,,
,,TRUE,1,11,barbarian_special_lvl1_attack1,FALSE,TRUE,sc/characters.sc,,,,,,,,,,
,,TRUE,1,11,barbarian_special_lvl1_attack1,FALSE,TRUE,sc/characters.sc,,,,,,,,,,
,celebrate,TRUE,1,,barbarian_special_lvl1_cheer1,TRUE,TRUE,sc/characters.sc,,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,,,,,,,,,,,
,spawn,TRUE,1,,barbarian_special_lvl1_cheer1,TRUE,TRUE,sc/characters.sc,,,,,,,,,,
Barbarian_new2,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,Scale,SWF,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,int,String,,,,,,,,,
,walk,TRUE,,,barbarian_special_lvl2_run,TRUE,TRUE,105,sc/characters.sc,,,,,,,,,
,idle,TRUE,1,,barbarian_special_lvl2_idle1,TRUE,TRUE,105,sc/characters.sc,,,,,,,,,
,,TRUE,1,,barbarian_special_lvl2_idle1,TRUE,TRUE,,sc/characters.sc,,,,,,,,,
,attack,TRUE,1,11,barbarian_special_lvl2_attack1,FALSE,TRUE,105,sc/characters.sc,,,,,,,,,
,,TRUE,1,11,barbarian_special_lvl2_attack2,FALSE,TRUE,,sc/characters.sc,,,,,,,,,
,,TRUE,1,11,barbarian_special_lvl2_attack1,FALSE,TRUE,,sc/characters.sc,,,,,,,,,
,,TRUE,1,11,barbarian_special_lvl2_attack2,FALSE,TRUE,,sc/characters.sc,,,,,,,,,
,celebrate,TRUE,1,,barbarian_special_lvl2_cheer1,TRUE,TRUE,105,sc/characters.sc,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,105,,,,,,,,,,
,spawn,TRUE,1,,barbarian_special_lvl2_cheer1,TRUE,TRUE,105,sc/characters.sc,,,,,,,,,
Barbarian_new3,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,Scale,SWF,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,int,String,,,,,,,,,
,walk,TRUE,,,barbarian_special_lvl3_run,TRUE,TRUE,108,sc/characters.sc,,,,,,,,,
,idle,TRUE,1,,barbarian_special_lvl3_idle1,TRUE,TRUE,108,sc/characters.sc,,,,,,,,,
,,TRUE,1,,barbarian_special_lvl3_idle1,TRUE,TRUE,,sc/characters.sc,,,,,,,,,
,attack,TRUE,1,11,barbarian_special_lvl3_attack1,FALSE,TRUE,108,sc/characters.sc,,,,,,,,,
,,TRUE,1,11,barbarian_special_lvl3_attack2,FALSE,TRUE,,sc/characters.sc,,,,,,,,,
,,TRUE,1,11,barbarian_special_lvl3_attack1,FALSE,TRUE,,sc/characters.sc,,,,,,,,,
,,TRUE,1,11,barbarian_special_lvl3_attack2,FALSE,TRUE,,sc/characters.sc,,,,,,,,,
,celebrate,TRUE,1,,barbarian_special_lvl3_cheer1,TRUE,TRUE,108,sc/characters.sc,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,108,,,,,,,,,,
,spawn,TRUE,1,,barbarian_special_lvl1_cheer1,TRUE,TRUE,108,sc/characters.sc,,,,,,,,,
Barbarian_new4,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,Scale,SWF,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,int,String,,,,,,,,,
,walk,TRUE,,,barbarian_special_lvl4_run,TRUE,TRUE,110,sc/characters.sc,,,,,,,,,
,idle,TRUE,1,,barbarian_special_lvl4_idle1,TRUE,TRUE,110,sc/characters.sc,,,,,,,,,
,,TRUE,1,,barbarian_special_lvl4_idle1,TRUE,TRUE,,sc/characters.sc,,,,,,,,,
,attack,TRUE,1,11,barbarian_special_lvl4_attack1,FALSE,TRUE,110,sc/characters.sc,,,,,,,,,
,,TRUE,1,11,barbarian_special_lvl4_attack2,FALSE,TRUE,,sc/characters.sc,,,,,,,,,
,,TRUE,1,11,barbarian_special_lvl4_attack1,FALSE,TRUE,,sc/characters.sc,,,,,,,,,
,,TRUE,1,11,barbarian_special_lvl4_attack2,FALSE,TRUE,,sc/characters.sc,,,,,,,,,
,celebrate,TRUE,1,,barbarian_special_lvl4_cheer1,TRUE,TRUE,110,sc/characters.sc,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,110,,,,,,,,,,
,spawn,TRUE,1,,barbarian_special_lvl4_cheer1,TRUE,TRUE,110,sc/characters.sc,,,,,,,,,
Barbarian_new5,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,Scale,SWF,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,int,String,,,,,,,,,
,walk,TRUE,,,barbarian_special_lvl5_run,TRUE,TRUE,110,sc/characters.sc,,,,,,,,,
,idle,TRUE,1,,barbarian_special_lvl5_idle1,TRUE,TRUE,110,sc/characters.sc,,,,,,,,,
,,TRUE,1,,barbarian_special_lvl5_idle1,TRUE,TRUE,,sc/characters.sc,,,,,,,,,
,attack,TRUE,1,11,barbarian_special_lvl5_attack1,FALSE,TRUE,110,sc/characters.sc,,,,,,,,,
,,TRUE,1,11,barbarian_special_lvl5_attack2,FALSE,TRUE,,sc/characters.sc,,,,,,,,,
,,TRUE,1,11,barbarian_special_lvl5_attack1,FALSE,TRUE,,sc/characters.sc,,,,,,,,,
,,TRUE,1,11,barbarian_special_lvl5_attack2,FALSE,TRUE,,sc/characters.sc,,,,,,,,,
,celebrate,TRUE,1,,barbarian_special_lvl5_cheer1,TRUE,TRUE,110,sc/characters.sc,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,110,,,,,,,,,,
,spawn,TRUE,1,,barbarian_special_lvl5_cheer1,TRUE,TRUE,110,sc/characters.sc,,,,,,,,,
Archer_new_lvl1,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,SWF,,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,String,,,,,,,,,,
,walk,TRUE,,,archer_lvl1_run1,TRUE,TRUE,sc/characters.sc,,,,,,,,,,
,idle,TRUE,10,,archer_lvl1_idle1,TRUE,TRUE,sc/characters.sc,,,,,,,,,,
,attack,TRUE,1,5,archer_lvl1_attack1,FALSE,TRUE,sc/characters.sc,,,,,,,,,,
,celebrate,TRUE,1,,archer_lvl1_cheer1,TRUE,TRUE,sc/characters.sc,,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,,,,,,,,,,,
,spawn,TRUE,1,,archer_lvl1_cheer1,TRUE,TRUE,sc/characters.sc,,,,,,,,,,
Archer_new_lvl2,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,Scale,SWF,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,int,String,,,,,,,,,
,walk,TRUE,,,archer_lvl2_run1,TRUE,TRUE,103,sc/characters.sc,,,,,,,,,
,idle,TRUE,10,,archer_lvl2_idle1,TRUE,TRUE,103,sc/characters.sc,,,,,,,,,
,attack,TRUE,1,5,archer_lvl2_attack1,FALSE,TRUE,103,sc/characters.sc,,,,,,,,,
,celebrate,TRUE,1,,archer_lvl2_cheer1,TRUE,TRUE,103,sc/characters.sc,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,103,,,,,,,,,,
,spawn,TRUE,1,,archer_lvl2_cheer1,TRUE,TRUE,103,sc/characters.sc,,,,,,,,,
Archer_new_lvl3,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,Scale,SWF,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,int,String,,,,,,,,,
,walk,TRUE,,,archer_lvl3_run1,TRUE,TRUE,106,sc/characters.sc,,,,,,,,,
,idle,TRUE,10,,archer_lvl3_idle1,TRUE,TRUE,106,sc/characters.sc,,,,,,,,,
,attack,TRUE,1,5,archer_lvl3_attack1,FALSE,TRUE,106,sc/characters.sc,,,,,,,,,
,celebrate,TRUE,1,,archer_lvl3_cheer1,TRUE,TRUE,106,sc/characters.sc,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,106,,,,,,,,,,
,spawn,TRUE,1,,archer_lvl3_cheer1,TRUE,TRUE,106,sc/characters.sc,,,,,,,,,
Archer_new_lvl4,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,Scale,SWF,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,int,String,,,,,,,,,
,walk,TRUE,,,archer_lvl4_run1,TRUE,TRUE,110,sc/characters.sc,,,,,,,,,
,idle,TRUE,10,,archer_lvl4_idle1,TRUE,TRUE,110,sc/characters.sc,,,,,,,,,
,attack,TRUE,1,5,archer_lvl4_attack1,FALSE,TRUE,110,sc/characters.sc,,,,,,,,,
,celebrate,TRUE,1,,archer_lvl4_cheer1,TRUE,TRUE,110,sc/characters.sc,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,110,,,,,,,,,,
,spawn,TRUE,1,,archer_lvl4_cheer1,TRUE,TRUE,110,sc/characters.sc,,,,,,,,,
Archer_new_lvl5,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,Scale,SWF,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,int,String,,,,,,,,,
,walk,TRUE,,,archer_lvl5_run1,TRUE,TRUE,110,sc/characters.sc,,,,,,,,,
,idle,TRUE,10,,archer_lvl5_idle1,TRUE,TRUE,110,sc/characters.sc,,,,,,,,,
,attack,TRUE,1,5,archer_lvl5_attack1,FALSE,TRUE,110,sc/characters.sc,,,,,,,,,
,celebrate,TRUE,1,,archer_lvl5_cheer1,TRUE,TRUE,110,sc/characters.sc,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,110,,,,,,,,,,
,spawn,TRUE,1,,archer_lvl5_cheer1,TRUE,TRUE,110,sc/characters.sc,,,,,,,,,
Archer,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,,,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,,,,,,,,,,,
,walk,TRUE,,,archer1_run1,TRUE,TRUE,,,,,,,,,,,
,idle,TRUE,10,,archer1_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,2,,archer1_idle1,TRUE,TRUE,,,,,,,,,,,
,attack,TRUE,1,5,archer1_attack1,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,5,archer1_attack1,FALSE,TRUE,,,,,,,,,,,
,celebrate,TRUE,1,,archer1_cheer1,TRUE,TRUE,,,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,,,,,,,,,,,
,spawn,TRUE,1,,archer1_cheer1,TRUE,TRUE,,,,,,,,,,,
Archer2,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,,,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,,,,,,,,,,,
,walk,TRUE,,,archer2_run1,TRUE,TRUE,,,,,,,,,,,
,idle,TRUE,10,,archer2_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,2,,archer2_idle1,TRUE,TRUE,,,,,,,,,,,
,attack,TRUE,1,5,archer2_attack1,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,5,archer2_attack1,FALSE,TRUE,,,,,,,,,,,
,celebrate,TRUE,1,,archer2_cheer1,TRUE,TRUE,,,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,,,,,,,,,,,
,spawn,TRUE,1,,archer2_cheer1,TRUE,TRUE,,,,,,,,,,,
Archer3,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,,,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,,,,,,,,,,,
,walk,TRUE,,,archer3_run1,TRUE,TRUE,,,,,,,,,,,
,idle,TRUE,10,,archer3_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,2,,archer3_idle1,TRUE,TRUE,,,,,,,,,,,
,attack,TRUE,1,5,archer3_attack1,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,5,archer3_attack1,FALSE,TRUE,,,,,,,,,,,
,celebrate,TRUE,1,,archer3_cheer1,TRUE,TRUE,,,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,,,,,,,,,,,
,spawn,TRUE,1,,archer3_cheer1,TRUE,TRUE,,,,,,,,,,,
Archer6,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,,,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,,,,,,,,,,,
,walk,TRUE,,,archer6_run1,TRUE,TRUE,,,,,,,,,,,
,idle,TRUE,10,,archer6_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,2,,archer6_idle1,TRUE,TRUE,,,,,,,,,,,
,attack,TRUE,1,5,archer6_attack1,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,5,archer6_attack1,FALSE,TRUE,,,,,,,,,,,
,celebrate,TRUE,1,,archer6_cheer1,TRUE,TRUE,,,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,,,,,,,,,,,
,spawn,TRUE,1,,archer6_cheer1,TRUE,TRUE,,,,,,,,,,,
Archer7,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,,,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,,,,,,,,,,,
,walk,TRUE,,,archer7_run1,TRUE,TRUE,,,,,,,,,,,
,idle,TRUE,10,,archer7_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,2,,archer7_idle1,TRUE,TRUE,,,,,,,,,,,
,attack,TRUE,1,5,archer7_attack1,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,5,archer7_attack1,FALSE,TRUE,,,,,,,,,,,
,celebrate,TRUE,1,,archer7_cheer1,TRUE,TRUE,,,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,,,,,,,,,,,
,spawn,TRUE,1,,archer7_cheer1,TRUE,TRUE,,,,,,,,,,,
Archer8,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,,,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,,,,,,,,,,,
,walk,TRUE,,,archer8_run1,TRUE,TRUE,,,,,,,,,,,
,idle,TRUE,10,,archer8_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,2,,archer8_idle1,TRUE,TRUE,,,,,,,,,,,
,attack,TRUE,1,5,archer8_attack1,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,5,archer8_attack1,FALSE,TRUE,,,,,,,,,,,
,celebrate,TRUE,1,,archer8_cheer1,TRUE,TRUE,,,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,,,,,,,,,,,
,spawn,TRUE,1,,archer8_cheer1,TRUE,TRUE,,,,,,,,,,,
Archer9,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,,,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,,,,,,,,,,,
,walk,TRUE,,,archer9_run1,TRUE,TRUE,,,,,,,,,,,
,idle,TRUE,10,,archer9_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,2,,archer9_idle1,TRUE,TRUE,,,,,,,,,,,
,attack,TRUE,1,5,archer9_attack1,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,5,archer9_attack1,FALSE,TRUE,,,,,,,,,,,
,celebrate,TRUE,1,,archer9_cheer1,TRUE,TRUE,,,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,,,,,,,,,,,
,spawn,TRUE,1,,archer9_cheer1,TRUE,TRUE,,,,,,,,,,,
Giant,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,,,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,,,,,,,,,,,
,walk,TRUE,,,giant_walk1,TRUE,TRUE,,,,,,,,,,,
,idle,TRUE,10,,giant_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,2,,giant_idle1,TRUE,TRUE,,,,,,,,,,,
,attack,TRUE,1,14,giant_attack3,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,16,giant_attack2,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,14,giant_attack3,FALSE,TRUE,,,,,,,,,,,
,celebrate,TRUE,4,,giant_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,1,,giant_idle1,TRUE,TRUE,,,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,,,,,,,,,,,
Giant2,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,,,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,,,,,,,,,,,
,walk,TRUE,,,giant2_walk1,TRUE,TRUE,,,,,,,,,,,
,idle,TRUE,10,,giant2_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,2,,giant2_idle1,TRUE,TRUE,,,,,,,,,,,
,attack,TRUE,1,14,giant2_attack3,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,16,giant2_attack2,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,14,giant2_attack3,FALSE,TRUE,,,,,,,,,,,
,celebrate,TRUE,4,,giant2_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,1,,giant2_idle1,TRUE,TRUE,,,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,,,,,,,,,,,
Giant3,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,,,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,,,,,,,,,,,
,walk,TRUE,,,giant3_walk1,TRUE,TRUE,,,,,,,,,,,
,idle,TRUE,10,,giant3_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,2,,giant3_idle1,TRUE,TRUE,,,,,,,,,,,
,attack,TRUE,1,14,giant3_attack3,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,16,giant3_attack2,FALSE,TRUE,,,,,,,,,,,
,,TRUE,1,14,giant3_attack3,FALSE,TRUE,,,,,,,,,,,
,celebrate,TRUE,4,,giant3_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,1,,giant3_idle1,TRUE,TRUE,,,,,,,,,,,
,die,FALSE,1,,barbarian_death_1,FALSE,TRUE,,,,,,,,,,,
Giant6,,,,,,,,,,,,,,,,,,
,Name,HasDirections,VariationWeight,ActionFrame,ExportName,Looping,StopToLast,,,,,,,,,,,
,String,boolean,int,int,String,boolean,boolean,,,,,,,,,,,
,walk,TRUE,,,giant6_walk1,TRUE,TRUE,,,,,,,,,,,
,idle,TRUE,10,,giant6_idle1,TRUE,TRUE,,,,,,,,,,,
,,TRUE,2,,giant6_idle1,TRUE,TRUE,,,,,,,,,,,
,attack,TRUE,1,14,giant6_attack3,FALSE,TRUE,,,,,,,,,,,
