TID,PL
TID_ACHIEVEMENT_ACCOUNT_BOUND,"Chroń Osadę, łącząc ją z siecią społecznościową"
TID_ACHIEVEMENT_ACCOUNT_BOUND_COMPLETED,Ukończone!
TID_ACHIEVEMENT_ACCOUNT_BOUND_GAME_CENTER,Połącz z Game Center
TID_ACHIEVEMENT_ACCOUNT_BOUND_KUNLUN,Twoja Osada jest bezpieczna
TID_ACHIEVEMENT_ACCOUNT_BOUND_TENCENT,Powiąż z WeChat lub QQ
TID_ACHIEVEMENT_ACCOUNT_BOUND_TENCENT_AND_GAME_CENTER,"Powiąż z WeChat, QQ lub Game Center"
TID_ACHIEVEMENT_ACCOUNT_BOUND_TITLE,Zadbaj o bezpieczeństwo swojego konta!
TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP,Ulepsz superoddział <number> razy
TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP_COMPLETED,Oddziały ulepszono ogółem <value> razy.
TID_ACHIEVEMENT_ACTIVATE_SUPER_TROOP_TITLE,Superrobota
TID_ACHIEVEMENT_CASTLE_COMPLETED,Aktualny poz. zamku klanu: <value>
TID_ACHIEVEMENT_CASTLE_REPAIR,Odbuduj zamek klanu
TID_ACHIEVEMENT_CASTLE_TITLE,Budowniczy imperium
TID_ACHIEVEMENT_CASTLE_UPGRADE,Ulepsz zamek klanu do poziomu <number>.
TID_ACHIEVEMENT_CHALLENGE_BUTTON,Rzuć wyzwanie znajomym
TID_ACHIEVEMENT_CLAIM_BUTTON,Odbierz nagrodę
TID_ACHIEVEMENT_CLAN_GAMES_POINTS,Zdobądź <number> pkt. w grach klanowych
TID_ACHIEVEMENT_CLAN_GAMES_POINTS_COMPLETED,Punkty w grach klanowych ogółem: <value>
TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE,Mistrz gier
TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE_II,Mistrz gier II
TID_ACHIEVEMENT_CLAN_GAMES_POINTS_TITLE_III,Mistrz gier III
TID_ACHIEVEMENT_CLEAR_OBSTACLES,"Usuń przeszkody: drzewa, skały, krzaki (<number>)"
TID_ACHIEVEMENT_CLEAR_OBSTACLES_COMPLETED,Usunięte przeszkody ogółem: <value>
TID_ACHIEVEMENT_CLEAR_OBSTACLES_TITLE,Ładnie i czysto
TID_ACHIEVEMENT_COMPLETED,Osiągnięcie zdobyte!
TID_ACHIEVEMENT_DESTROY_ARTILLERY,Zniszcz orle artylerie lub artylerie inferno (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_ARTILLERY_COMPLETED,Zniszczone orle artylerie lub artylerie inferno ogółem: <value>
TID_ACHIEVEMENT_DESTROY_ARTILLERY_TITLE,Anty-artyleria
TID_ACHIEVEMENT_DESTROY_BUILDER,Zniszcz chaty budowniczych (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_BUILDER_COMPLETED,Zniszczone chaty budowniczego ogółem: <value>
TID_ACHIEVEMENT_DESTROY_BUILDER_TITLE,Pogromca unii
TID_ACHIEVEMENT_DESTROY_FIRESPITTER,Zniszcz ogniopluje (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_FIRESPITTER_COMPLETED,Zniszczone ogniopluje ogółem: <value>
TID_ACHIEVEMENT_DESTROY_FIRESPITTER_TITLE,Pogromca ognioplujów
TID_ACHIEVEMENT_DESTROY_INFERNO,Zniszcz wieże inferno (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_INFERNO_COMPLETED,Zniszczone wieże inferno ogółem: <value>
TID_ACHIEVEMENT_DESTROY_INFERNO_TITLE,Strażak
TID_ACHIEVEMENT_DESTROY_MONOLITH,Zniszcz monolity (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_MONOLITH_COMPLETED,Zniszczone monolity ogółem: <value>
TID_ACHIEVEMENT_DESTROY_MONOLITH_TITLE,Pogromca monolitów
TID_ACHIEVEMENT_DESTROY_MORTARS,Zniszcz moździerze (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_MORTARS_COMPLETED,Zniszczone moździerze ogółem: <value>
TID_ACHIEVEMENT_DESTROY_MORTARS_TITLE,Niszczyciel moździerzy
TID_ACHIEVEMENT_DESTROY_MULTI_ARCHER,Zniszcz multiwieże łucznicze (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_MULTI_ARCHER_COMPLETED,Zniszczone multiwieże łucznicze ogółem: <value>
TID_ACHIEVEMENT_DESTROY_MULTI_ARCHER_TITLE,Likwidator multiwież łuczniczych
TID_ACHIEVEMENT_DESTROY_MULTI_GEAR_TOWER,Zniszcz multibiegowe wieże (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_MULTI_GEAR_TOWER_COMPLETED,Zniszczone multibiegowe wieże ogółem: <value>
TID_ACHIEVEMENT_DESTROY_MULTI_GEAR_TOWER_TITLE,Niszczyciel multibiegowych wież
TID_ACHIEVEMENT_DESTROY_RICOCHET_CANNON,Zniszcz rykoszetujące działa (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_RICOCHET_CANNON_COMPLETED,Zniszczone rykoszetujące działa ogółem: <value>
TID_ACHIEVEMENT_DESTROY_RICOCHET_CANNON_TITLE,Miażdżyciel rykoszetujących dział
TID_ACHIEVEMENT_DESTROY_SCATTERSHOT,Zniszcz głazomioty (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_SCATTERSHOT_COMPLETED,Zniszczone głazomioty ogółem: <value>
TID_ACHIEVEMENT_DESTROY_SCATTERSHOT_TITLE,W rozsypce
TID_ACHIEVEMENT_DESTROY_SEASONAL_DEFENSE,Zniszcz nowatorskie systemy obronne (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_SEASONAL_DEFENSE_COMPLETED,Zniszczone systemy obronne ogółem: <value>
TID_ACHIEVEMENT_DESTROY_SEASONAL_DEFENSE_TITLE,Koszmar wytwórcy
TID_ACHIEVEMENT_DESTROY_SPELL_TOWER,Zniszcz wieże zaklęć (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_SPELL_TOWER_COMPLETED,Zniszczone wieże zaklęć ogółem: <value>
TID_ACHIEVEMENT_DESTROY_SPELL_TOWER_TITLE,Kontrzaklęcie
TID_ACHIEVEMENT_DESTROY_TOWNHALL,Zniszcz ratusze (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_TOWNHALL2,Zniszcz pracownie Budowniczego (<number>) podczas bitew budowniczych
TID_ACHIEVEMENT_DESTROY_TOWNHALL2_COMPLETED,Zniszczone pracownie ogółem: <value>
TID_ACHIEVEMENT_DESTROY_TOWNHALL2_TITLE,Zniszczara
TID_ACHIEVEMENT_DESTROY_TOWNHALL_COMPLETED,Zniszczone ratusze ogółem: <value>
TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE,Poniżyciel
TID_ACHIEVEMENT_DESTROY_WALLS,Zniszcz mury (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_WALLS_COMPLETED,Zniszczone mury ogółem: <value>
TID_ACHIEVEMENT_DESTROY_WALLS_TITLE,Niszczyciel murów
TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS,Zniszcz uzbrojone chaty budowniczego (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS_COMPLETED,Zniszczone uzbrojone chaty budowniczego ogółem: <value>
TID_ACHIEVEMENT_DESTROY_WEAPONISED_BUILDERS_TITLE,Zniszcz to!
TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH,Zniszcz uzbrojone ratusze (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH_COMPLETED,Zniszczone uzbrojone ratusze ogółem: <value>
TID_ACHIEVEMENT_DESTROY_WEAPONISED_TH_TITLE,Tym razem nie tak prosto
TID_ACHIEVEMENT_DESTROY_XBOW,Zniszcz kusze (<number>) w bitwach multiplayer
TID_ACHIEVEMENT_DESTROY_XBOW_COMPLETED,Zniszczone kusze ogółem: <value>
TID_ACHIEVEMENT_DESTROY_XBOW_ONE,Zniszcz kuszę w bitwie multiplayer
TID_ACHIEVEMENT_DESTROY_XBOW_TITLE,Pogromca kusz
TID_ACHIEVEMENT_DONATE_CAPITAL,Przekaż złoto stolicy (<number>) na ulepszenia Stolicy Klanu
TID_ACHIEVEMENT_DONATE_CAPITAL_COMPLETED,Przekazane złoto ogółem: <value>
TID_ACHIEVEMENT_DONATE_CAPITAL_TITLE,Najcenniejszy klanowicz
TID_ACHIEVEMENT_DONATE_SEIGES_COMPLETED,Przekazane maszyny oblężnicze ogółem: <value>
TID_ACHIEVEMENT_DONATE_SIEGES,Przekaż maszyny oblężnicze (<number>)
TID_ACHIEVEMENT_DONATE_SIEGES_TITLE,Udział w oblężeniu
TID_ACHIEVEMENT_DONATE_UNITS,Przekaż członkom klanu posiłki o równowartości <number> miejsc(a)
TID_ACHIEVEMENT_DONATE_UNITS_COMPLETED,Przekazane jednostki ogółem: <value>
TID_ACHIEVEMENT_DONATE_UNITS_TITLE,Przyjaciel w potrzebie
TID_ACHIEVEMENT_DRAGON_SLAYER,Pokonaj gigantycznego smoka na mapie kampanii
TID_ACHIEVEMENT_DRAGON_SLAYER_TITLE,Pogromca smoków
TID_ACHIEVEMENT_GEAR_UP,Zmodyfikuj struktury (<number>) z Mistrzem Budowniczym
TID_ACHIEVEMENT_GEAR_UP_COMPLETED,Zmodyfikowane struktury ogółem: <value>
TID_ACHIEVEMENT_GEAR_UP_ONE,Zmodyfikuj jedną strukturę z Mistrzem Budowniczym
TID_ACHIEVEMENT_GEAR_UP_TITLE,Mistrzowskie modyfikacje
TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED,Najwyższy poziom magazynu złota: <value>.
TID_ACHIEVEMENT_GOLDSTORAGE_TITLE,Większe szkatuły
TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE,Ulepsz magazyn złota do poziomu <number>.
TID_ACHIEVEMENT_LEAGUE_PROGRESS_1,Dołącz do kryształowej ligi
TID_ACHIEVEMENT_LEAGUE_PROGRESS_2,Dołącz do ligi mistrzów
TID_ACHIEVEMENT_LEAGUE_PROGRESS_3,Zostań czempionem!
TID_ACHIEVEMENT_LEAGUE_TITLE,Gwiazda ligi
TID_ACHIEVEMENT_LOOT_CAPITAL,Złup złoto stolicy (<number>) podczas ataków najazdu
TID_ACHIEVEMENT_LOOT_CAPITAL_COMPLETED,Złupione złoto stolicy ogółem: <value>
TID_ACHIEVEMENT_LOOT_CAPITAL_TITLE,Agresywny kapitalizm
TID_ACHIEVEMENT_LOOT_DARK_ELIXIR,Ukradnij mroczny eliksir (<number>)
TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_COMPLETED,Złupiony mroczny eliksir ogółem: <value>
TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_TITLE,Heroiczny skok
TID_ACHIEVEMENT_LOOT_ELIXIR,Ukradnij eliksir (<number>)
TID_ACHIEVEMENT_LOOT_ELIXIR_COMPLETED,Złupiony eliksir ogółem: <value>
TID_ACHIEVEMENT_LOOT_ELIXIR_TITLE,Eliksirowa eskapada
TID_ACHIEVEMENT_LOOT_GOLD,Ukradnij złoto (<number>)
TID_ACHIEVEMENT_LOOT_GOLD_COMPLETED,Złupione złoto ogółem: <value>
TID_ACHIEVEMENT_LOOT_GOLD_TITLE,Gorączka złota
TID_ACHIEVEMENT_MINI_LEVEL,Doładuj struktury <number> razy
TID_ACHIEVEMENT_MINI_LEVEL_COMPLETED,Doładowania ogółem: <value>
TID_ACHIEVEMENT_MINI_LEVEL_TITLE,Doładowywacz
TID_ACHIEVEMENT_NPC_STARS,Zdobądź gwiazdy (<number>) na mapie kampanii
TID_ACHIEVEMENT_NPC_STARS3_TITLE,Dorwij jeszcze więcej goblinów
TID_ACHIEVEMENT_NPC_STARS_COMPLETED,Gwiazdy z mapy kampanii: <value>
TID_ACHIEVEMENT_NPC_STARS_MORE_TITLE,Bierz te gobliny!
TID_ACHIEVEMENT_NPC_STARS_TITLE,Dorwij te gobliny!
TID_ACHIEVEMENT_PEKKA_SLAYER,Pokonaj M.O.M.M.A na mapie kampanii
TID_ACHIEVEMENT_PEKKA_SLAYER_TITLE,Niewdzięczne dziecko
TID_ACHIEVEMENT_PVP_ATTACKS,Wygraj bitwy multiplayer (<number>)
TID_ACHIEVEMENT_PVP_ATTACKS_COMPLETED,Wygrane bitwy multiplayer ogółem: <value>
TID_ACHIEVEMENT_PVP_ATTACKS_TITLE,Zdobywca
TID_ACHIEVEMENT_PVP_DEFENSES,Obroń się skutecznie przed <number> atakami
TID_ACHIEVEMENT_PVP_DEFENSES_COMPLETED,Skuteczne obrony ogółem: <value>
TID_ACHIEVEMENT_PVP_DEFENSES_TITLE,Niezniszczalny
TID_ACHIEVEMENT_RANKED_1_PROGRESS_1,Osiągnij ligę barbarzyńców 6
TID_ACHIEVEMENT_RANKED_1_PROGRESS_2,Osiągnij ligę łuczniczek 9
TID_ACHIEVEMENT_RANKED_1_PROGRESS_3,Osiągnij ligę magów 12
TID_ACHIEVEMENT_RANKED_2_PROGRESS_1,Osiągnij ligę walkirii 15
TID_ACHIEVEMENT_RANKED_2_PROGRESS_2,Osiągnij ligę wiedźm 18
TID_ACHIEVEMENT_RANKED_2_PROGRESS_3,Osiągnij ligę golemów 21
TID_ACHIEVEMENT_RANKED_3_PROGRESS_1,Osiągnij ligę P.E.K.K 24
TID_ACHIEVEMENT_RANKED_3_PROGRESS_2,Osiągnij ligę tytanek 27
TID_ACHIEVEMENT_RANKED_3_PROGRESS_3,Osiągnij ligę smoków 28
TID_ACHIEVEMENT_RANKED_4_PROGRESS_1,Osiągnij ligę smoków 29
TID_ACHIEVEMENT_RANKED_4_PROGRESS_2,Osiągnij ligę smoków 30
TID_ACHIEVEMENT_RANKED_4_PROGRESS_3,Osiągnij ligę elektro 31
TID_ACHIEVEMENT_RANKED_5_PROGRESS_1,Osiągnij ligę elektro 32
TID_ACHIEVEMENT_RANKED_5_PROGRESS_2,Osiągnij ligę elektro 33
TID_ACHIEVEMENT_RANKED_5_PROGRESS_3,Osiągnij ligę legend
TID_ACHIEVEMENT_RANKED_TITLE_1,Obserwator ligi
TID_ACHIEVEMENT_RANKED_TITLE_2,Entuzjasta ligi
TID_ACHIEVEMENT_RANKED_TITLE_3,Superfan ligi
TID_ACHIEVEMENT_RANKED_TITLE_4,Fanatyk ligi
TID_ACHIEVEMENT_RANKED_TITLE_5,Mistrz ligi
TID_ACHIEVEMENT_REPAIR_BUILDING,Odbuduj: <name>
TID_ACHIEVEMENT_REPAIR_BUILDING_TITLE,Ukryte skarby
TID_ACHIEVEMENT_REWARD_CLAIMED,Osiągnięcie zdobyte! Otrzymujesz <cb3f357>klejnoty: <number></c>.
TID_ACHIEVEMENT_SCID_BOUND_TITLE,"Powiąż swoje konto Supercell ID, by zadbać o bezpieczeństwo"
TID_ACHIEVEMENT_SEASONAL_DEFENSE,Ulepsz nowatorskie systemy obronne <number> razy
TID_ACHIEVEMENT_SEASONAL_DEFENSE_COMPLETED,Liczba ulepszeń systemów obronnych ogółem: <value>
TID_ACHIEVEMENT_SEASONAL_DEFENSE_TITLE,Koneser rękodzieła
TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS,Zdobądź <number> pkt. w wyzwaniach sezonowych
TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS_COMPLETED,Punkty z wyzwań sezonowych ogółem: <value>
TID_ACHIEVEMENT_SEASON_CHALLENGE_POINTS_TITLE,Owoce sezonowe
TID_ACHIEVEMENT_SPELL_DONATION,Przekaż zaklęcia o wartości <number> pojemności magazynu zaklęć
TID_ACHIEVEMENT_SPELL_DONATION_COMPLETED,Przekazane zaklęcia ogółem: <value>
TID_ACHIEVEMENT_SPELL_DONATION_TITLE,Troskliwy miś
TID_ACHIEVEMENT_TOWN_HALL,Ulepsz ratusz do poziomu <number>.
TID_ACHIEVEMENT_TOWN_HALL2,Ulepsz pracownię Budowniczego do poziomu <number>.
TID_ACHIEVEMENT_TOWN_HALL2_COMPLETED,Aktualny poz. pracowni: <value>.
TID_ACHIEVEMENT_TOWN_HALL2_TITLE,Mistrzowska inżynieria
TID_ACHIEVEMENT_TOWN_HALL_COMPLETED,Aktualny poz. ratusza: <value>.
TID_ACHIEVEMENT_TOWN_HALL_TITLE,Więcej i lepiej
TID_ACHIEVEMENT_UNIT_UNLOCK,Odblokuj jednostkę <name> w koszarach
TID_ACHIEVEMENT_UNIT_UNLOCK2,Odblokuj: <name> w koszarach Budowniczego
TID_ACHIEVEMENT_UNIT_UNLOCK2_TITLE,Model nowej generacji
TID_ACHIEVEMENT_UNIT_UNLOCK_TITLE,Odkryj nowe oddziały
TID_ACHIEVEMENT_VICTORY_POINTS,Zdobądź trofea (łącznie <number>) w bitwach multiplayer
TID_ACHIEVEMENT_VICTORY_POINTS_COMPLETED,Rekord trofeów: <value>
TID_ACHIEVEMENT_VICTORY_POINTS_TITLE,Słodka wygrana
TID_ACHIEVEMENT_VS_BATTLE_TROPHIES,Zdobądź trofea (łącznie <number>) w bitwach budowniczych
TID_ACHIEVEMENT_VS_BATTLE_TROPHIES_COMPLETED,Rekord trofeów Budowniczego: <value>
TID_ACHIEVEMENT_VS_BATTLE_TROPHIES_TITLE,Budowniczy-czempion
TID_ACHIEVEMENT_WAR_LOOT,Zbierz złoto (<number>) z zamku klanu
TID_ACHIEVEMENT_WAR_LOOT_COMPLETED,Złoto zdobyte z bonusów w wojnie klanów ogółem: <value>
